T[K]  Zbar   Δχ[eV]   χ[eV] 
5.000000e+03 5.784581e-06 9.679601e-03 1.212016e+01
5.091317e+03 7.556489e-06 1.096359e-02 1.211888e+01
5.184301e+03 9.828781e-06 1.239121e-02 1.211745e+01
5.278984e+03 1.272818e-05 1.397394e-02 1.211587e+01
5.375396e+03 1.641331e-05 1.572556e-02 1.211412e+01
5.473569e+03 2.107798e-05 1.766020e-02 1.211218e+01
5.573534e+03 2.695946e-05 1.979295e-02 1.211005e+01
5.675326e+03 3.434277e-05 2.213846e-02 1.210771e+01
5.778976e+03 4.357841e-05 2.471390e-02 1.210513e+01
5.884520e+03 5.508703e-05 2.753644e-02 1.210231e+01
5.991991e+03 6.937224e-05 3.062353e-02 1.209922e+01
6.101425e+03 8.704298e-05 3.399466e-02 1.209585e+01
6.212857e+03 1.088211e-04 3.766904e-02 1.209217e+01
6.326325e+03 1.355690e-04 4.166731e-02 1.208818e+01
6.441865e+03 1.683086e-04 4.601080e-02 1.208383e+01
6.559515e+03 2.082488e-04 5.072169e-02 1.207912e+01
6.679313e+03 2.568138e-04 5.582301e-02 1.207402e+01
6.801300e+03 3.156777e-04 6.133867e-02 1.206851e+01
6.925515e+03 3.868014e-04 6.729343e-02 1.206255e+01
7.051998e+03 4.724751e-04 7.371295e-02 1.205613e+01
7.180791e+03 5.753661e-04 8.062383e-02 1.204922e+01
7.311936e+03 6.985722e-04 8.805360e-02 1.204179e+01
7.445477e+03 8.456805e-04 9.603075e-02 1.203381e+01
7.581456e+03 1.020834e-03 1.045848e-01 1.202526e+01
7.719919e+03 1.228805e-03 1.137465e-01 1.201610e+01
7.860910e+03 1.475076e-03 1.235474e-01 1.200630e+01
8.004477e+03 1.765930e-03 1.340208e-01 1.199582e+01
8.150666e+03 2.108547e-03 1.452011e-01 1.198464e+01
8.299524e+03 2.511116e-03 1.571243e-01 1.197272e+01
8.451101e+03 2.982951e-03 1.698281e-01 1.196002e+01
8.605447e+03 3.534622e-03 1.833522e-01 1.194649e+01
8.762611e+03 4.178097e-03 1.977385e-01 1.193211e+01
8.922646e+03 4.926894e-03 2.130317e-01 1.191681e+01
9.085603e+03 5.796254e-03 2.292792e-01 1.190056e+01
9.251537e+03 6.803319e-03 2.465319e-01 1.188331e+01
9.420501e+03 7.967333e-03 2.648451e-01 1.186500e+01
9.592551e+03 9.309858e-03 2.842785e-01 1.184557e+01
9.767743e+03 1.085501e-02 3.048976e-01 1.182495e+01
9.946134e+03 1.262969e-02 3.267744e-01 1.180307e+01
1.012778e+04 1.466393e-02 3.499887e-01 1.177986e+01
1.031275e+04 1.699110e-02 3.746295e-01 1.175521e+01
1.050110e+04 1.964834e-02 4.007966e-01 1.172905e+01
1.069288e+04 2.267687e-02 4.286024e-01 1.170124e+01
1.088817e+04 2.612243e-02 4.581745e-01 1.167167e+01
1.108702e+04 3.003576e-02 4.896581e-01 1.164019e+01
1.128951e+04 3.447310e-02 5.232198e-01 1.160662e+01
1.149569e+04 3.949686e-02 5.590507e-01 1.157079e+01
1.170564e+04 4.517632e-02 5.973719e-01 1.153247e+01
1.191943e+04 5.158845e-02 6.384398e-01 1.149140e+01
1.213712e+04 5.881900e-02 6.825530e-01 1.144729e+01
1.235878e+04 6.696371e-02 7.300609e-01 1.139978e+01
1.258450e+04 7.612983e-02 7.813745e-01 1.134847e+01
1.281433e+04 8.643807e-02 8.369794e-01 1.129286e+01
1.304836e+04 9.802502e-02 8.974526e-01 1.123239e+01
1.328667e+04 1.110462e-01 9.634846e-01 1.116636e+01
1.352933e+04 1.256803e-01 1.035907e+00 1.109394e+01
1.377642e+04 1.421340e-01 1.115730e+00 1.101411e+01
1.402802e+04 1.606497e-01 1.204193e+00 1.092565e+01
1.428422e+04 1.815141e-01 1.302831e+00 1.082701e+01
1.454510e+04 2.050719e-01 1.413569e+00 1.071627e+01
1.481074e+04 2.317423e-01 1.538851e+00 1.059099e+01
1.508124e+04 2.620419e-01 1.681823e+00 1.044802e+01
1.535667e+04 2.966141e-01 1.846572e+00 1.028327e+01
1.563713e+04 3.362572e-01 2.038427e+00 1.009142e+01
