# Saha solution with Stewart-Pyat α=1 IPD
   n[1/cc]      T[K]         Zbar         x_0[eV]      x_1[eV]      x_2[eV]      χ_0[eV]      χ_1[eV]      χ_2[eV]      
   5.620e+20    8.881e+03    1.893e-04    9.998e-01    1.893e-04    2.235e-15    0.000e+00    1.569e+01    2.750e+01
   5.620e+20    9.553e+03    4.186e-04    9.996e-01    4.186e-04    3.336e-14    0.000e+00    1.566e+01    2.744e+01
   5.620e+20    1.028e+04    8.815e-04    9.991e-01    8.815e-04    4.199e-13    0.000e+00    1.562e+01    2.737e+01
   5.620e+20    1.105e+04    1.774e-03    9.982e-01    1.774e-03    4.511e-12    0.000e+00    1.558e+01    2.729e+01
   5.620e+20    1.189e+04    3.424e-03    9.966e-01    3.424e-03    4.182e-11    0.000e+00    1.552e+01    2.718e+01
   5.620e+20    1.279e+04    6.350e-03    9.936e-01    6.350e-03    3.377e-10    0.000e+00    1.545e+01    2.706e+01
   5.620e+20    1.376e+04    1.134e-02    9.887e-01    1.134e-02    2.396e-09    0.000e+00    1.537e+01    2.692e+01
   5.620e+20    1.480e+04    1.953e-02    9.805e-01    1.953e-02    1.505e-08    0.000e+00    1.527e+01    2.675e+01
   5.620e+20    1.592e+04    3.249e-02    9.675e-01    3.249e-02    8.422e-08    0.000e+00    1.517e+01    2.656e+01
   5.620e+20    1.712e+04    5.218e-02    9.478e-01    5.218e-02    4.225e-07    0.000e+00    1.505e+01    2.635e+01
   5.620e+20    1.842e+04    8.095e-02    9.191e-01    8.094e-02    1.909e-06    0.000e+00    1.492e+01    2.613e+01
   5.620e+20    1.982e+04    1.212e-01    8.788e-01    1.212e-01    7.799e-06    0.000e+00    1.478e+01    2.589e+01
   5.620e+20    2.132e+04    1.748e-01    8.252e-01    1.748e-01    2.891e-05    0.000e+00    1.464e+01    2.564e+01
   5.620e+20    2.293e+04    2.428e-01    7.573e-01    2.426e-01    9.754e-05    0.000e+00    1.449e+01    2.540e+01
