# Saha solution with Stewart-Pyat α=1 IPD
   n[1/cc]      T[K]         Zbar         x_0[eV]      x_1[eV]      x_2[eV]      x_3[eV]      x_4[eV]      x_5[eV]      x_6[eV]      χ_0[eV]      χ_1[eV]      χ_2[eV]      χ_3[eV]      χ_4[eV]      χ_5[eV]      χ_6[eV]      
   6.244e+19    1.776e+03    2.104e-22    1.000e+00    2.104e-22    1.505e-33    2.158e-47    1.831e-58    2.056e-58    2.423e-62    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    2.743e+03    2.222e-14    1.000e+00    2.222e-14    2.160e-21    7.223e-31    2.152e-51    2.245e-55    2.184e-58    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    4.237e+03    3.908e-09    1.000e+00    3.907e-09    2.021e-13    2.270e-19    1.184e-32    9.092e-41    6.702e-51    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   6.244e+19    6.543e+03    1.101e-05    1.000e+00    1.094e-05    3.704e-08    8.976e-12    2.579e-20    3.422e-25    1.375e-31    0.000e+00    1.575e+01    2.762e+01    4.071e+01    5.955e+01    7.481e+01    9.125e+01
   6.244e+19    1.011e+04    2.305e-03    9.978e-01    2.068e-03    1.166e-04    1.019e-06    3.818e-12    7.023e-15    8.236e-19    0.000e+00    1.568e+01    2.746e+01    4.049e+01    5.925e+01    7.443e+01    9.079e+01
   6.244e+19    1.561e+04    1.116e-01    9.151e-01    6.036e-02    2.243e-02    2.129e-03    8.854e-07    4.234e-08    2.089e-10    0.000e+00    1.522e+01    2.654e+01    3.911e+01    5.741e+01    7.213e+01    8.803e+01
   6.244e+19    2.411e+04    1.697e+00    1.921e-01    1.855e-01    3.642e-01    2.524e-01    3.449e-03    2.118e-03    1.834e-04    0.000e+00    1.363e+01    2.337e+01    3.434e+01    5.105e+01    6.418e+01    7.850e+01
   6.244e+19    3.723e+04    5.015e+00    1.453e-04    1.865e-03    2.516e-02    1.477e-01    4.531e-02    3.399e-01    4.399e-01    0.000e+00    1.136e+01    1.883e+01    2.754e+01    4.199e+01    5.285e+01    6.490e+01
   6.244e+19    5.750e+04    5.871e+00    1.830e-08    1.250e-06    5.849e-05    1.365e-03    3.127e-03    1.181e-01    8.773e-01    0.000e+00    1.171e+01    1.954e+01    2.860e+01    4.340e+01    5.462e+01    6.702e+01
   6.244e+19    8.881e+04    5.968e+00    6.767e-12    1.823e-09    2.552e-07    1.945e-05    2.188e-04    3.147e-02    9.683e-01    0.000e+00    1.246e+01    2.102e+01    3.082e+01    4.637e+01    5.832e+01    7.147e+01
   1.660e+20    1.776e+03    1.290e-22    1.000e+00    1.290e-22    5.661e-34    1.992e-47    1.708e-58    1.787e-58    1.965e-62    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   1.660e+20    2.743e+03    1.363e-14    1.000e+00    1.363e-14    8.122e-22    1.666e-31    3.046e-52    1.781e-55    1.544e-58    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   1.660e+20    4.237e+03    2.397e-09    1.000e+00    2.396e-09    7.602e-14    5.236e-20    1.675e-33    7.888e-42    3.567e-52    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   1.660e+20    6.543e+03    6.756e-06    1.000e+00    6.728e-06    1.401e-08    2.088e-12    3.691e-21    3.012e-26    7.445e-33    0.000e+00    1.575e+01    2.761e+01    4.071e+01    5.955e+01    7.480e+01    9.124e+01
   1.660e+20    1.011e+04    1.403e-03    9.986e-01    1.309e-03    4.669e-05    2.580e-07    6.115e-13    7.114e-16    5.276e-20    0.000e+00    1.566e+01    2.742e+01    4.042e+01    5.917e+01    7.432e+01    9.067e+01
   1.660e+20    1.561e+04    6.660e-02    9.457e-01    4.273e-02    1.088e-02    7.071e-04    2.014e-07    6.596e-09    2.229e-11    0.000e+00    1.510e+01    2.632e+01    3.877e+01    5.696e+01    7.157e+01    8.736e+01
   1.660e+20    2.411e+04    1.310e+00    3.152e-01    2.190e-01    3.093e-01    1.543e-01    1.517e-03    6.705e-04    4.177e-05    0.000e+00    1.282e+01    2.174e+01    3.191e+01    4.781e+01    6.013e+01    7.363e+01
   1.660e+20    3.723e+04    4.795e+00    3.044e-04    3.361e-03    3.899e-02    1.970e-01    5.196e-02    3.352e-01    3.732e-01    0.000e+00    8.851e+00    1.381e+01    2.001e+01    3.195e+01    4.030e+01    4.984e+01
   1.660e+20    5.750e+04    5.794e+00    2.772e-07    1.189e-05    3.491e-04    5.115e-03    7.353e-03    1.743e-01    8.128e-01    0.000e+00    9.242e+00    1.459e+01    2.118e+01    3.351e+01    4.225e+01    5.219e+01
   1.660e+20    8.881e+04    5.936e+00    4.470e-10    5.958e-08    4.125e-06    1.555e-04    8.657e-04    6.158e-02    9.374e-01    0.000e+00    1.040e+01    1.691e+01    2.465e+01    3.814e+01    4.804e+01    5.913e+01
   4.415e+20    1.776e+03    7.912e-23    1.000e+00    7.912e-23    2.129e-34    1.954e-47    1.990e-58    2.428e-58    3.110e-62    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   4.415e+20    2.743e+03    8.356e-15    1.000e+00    8.356e-15    3.054e-22    3.842e-32    4.338e-53    1.970e-55    1.796e-58    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   4.415e+20    4.237e+03    1.470e-09    1.000e+00    1.470e-09    2.859e-14    1.208e-20    2.370e-34    6.844e-43    1.906e-53    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
   4.415e+20    6.543e+03    4.149e-06    1.000e+00    4.138e-06    5.300e-09    4.858e-13    5.281e-22    2.650e-27    4.029e-34    0.000e+00    1.575e+01    2.761e+01    4.070e+01    5.954e+01    7.478e+01    9.122e+01
   4.415e+20    1.011e+04    8.635e-04    9.992e-01    8.262e-04    1.858e-05    6.476e-08    9.680e-14    7.103e-17    3.323e-21    0.000e+00    1.563e+01    2.737e+01    4.034e+01    5.906e+01    7.419e+01    9.050e+01
   4.415e+20    1.561e+04    4.093e-02    9.647e-01    2.984e-02    5.199e-03    2.314e-04    4.512e-08    1.012e-09    2.340e-12    0.000e+00    1.495e+01    2.602e+01    3.832e+01    5.636e+01    7.081e+01    8.646e+01
   4.415e+20    2.411e+04    1.155e+00    3.720e-01    2.260e-01    2.789e-01    1.216e-01    1.045e-03    4.037e-04    2.198e-05    0.000e+00    1.133e+01    1.876e+01    2.744e+01    4.185e+01    5.268e+01    6.469e+01
   4.415e+20    3.723e+04    5.509e+00    9.224e-06    1.994e-04    4.526e-03    4.475e-02    2.311e-02    2.918e-01    6.356e-01    0.000e+00    3.114e+00    2.339e+00    2.799e+00    8.999e+00    1.161e+01    1.542e+01
   4.415e+20    5.750e+04    5.758e+00    6.749e-07    2.481e-05    6.246e-04    7.845e-03    9.668e-03    1.965e-01    7.853e-01    0.000e+00    5.190e+00    6.491e+00    9.028e+00    1.730e+01    2.199e+01    2.788e+01
   4.415e+20    8.881e+04    5.892e+00    1.069e-08    8.329e-07    3.372e-05    7.435e-04    2.420e-03    1.007e-01    8.961e-01    0.000e+00    7.077e+00    1.027e+01    1.469e+01    2.485e+01    3.143e+01    3.920e+01
   1.174e+21    1.776e+03          nan          nan          nan          nan          nan          nan          nan          nan    0.000e+00    1.576e+01    2.763e+01    4.073e+01    5.958e+01    7.484e+01    9.129e+01
