# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.911e-11, Err(n_e)=9.820e-11, Err(IET)=9.475e-13, Q_net=-1.377e-07
# {"name":"Ar", "Z":18, "Zstar":0.3845654256864544, "A":39.948,  "μ[AU]": -1.2427240753e-01, "Te[AU]": 3.701e-02, "Ti[AU]": 3.701e-02, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.301576e+06   -5.078820e+00    7.301581e+06    0.000000e+00    1.799147e+05   -1.914950e+02    2.072988e+00    5.942356e+00   -3.183249e-05
   1.005935e-04    7.237056e+06   -6.091194e+00    7.237062e+06    0.000000e+00    1.788527e+05   -1.909301e+02    2.072988e+00    5.942336e+00   -3.183198e-05
   1.011905e-04    7.173109e+06   -3.834834e+00    7.173113e+06    0.000000e+00    1.777970e+05   -1.903669e+02    2.072988e+00    5.942315e+00   -3.183147e-05
   1.017911e-04    7.109726e+06   -2.428992e+00    7.109729e+06    0.000000e+00    1.767475e+05   -1.898053e+02    2.072988e+00    5.942295e+00   -3.183096e-05
   1.023952e-04    7.046903e+06   -1.852448e+00    7.046905e+06    0.000000e+00    1.757042e+05   -1.892454e+02    2.072988e+00    5.942274e+00   -3.183045e-05
   1.030029e-04    6.984634e+06   -2.083913e+00    6.984636e+06    0.000000e+00    1.746671e+05   -1.886871e+02    2.072988e+00    5.942253e+00   -3.182993e-05
   1.036142e-04    6.922914e+06   -3.112972e+00    6.922917e+06    0.000000e+00    1.736361e+05   -1.881304e+02    2.072988e+00    5.942233e+00   -3.182941e-05
   1.042292e-04    6.861739e+06   -4.889607e+00    6.861744e+06    0.000000e+00    1.726111e+05   -1.875754e+02    2.072988e+00    5.942212e+00   -3.182889e-05
   1.048478e-04    6.801104e+06   -6.226436e+00    6.801111e+06    0.000000e+00    1.715922e+05   -1.870220e+02    2.072988e+00    5.942190e+00   -3.182836e-05
   1.054700e-04    6.741009e+06   -4.042006e+00    6.741013e+06    0.000000e+00    1.705793e+05   -1.864703e+02    2.072988e+00    5.942169e+00   -3.182783e-05
   1.060960e-04    6.681444e+06   -2.658016e+00    6.681447e+06    0.000000e+00    1.695724e+05   -1.859202e+02    2.072988e+00    5.942148e+00   -3.182729e-05
   1.067257e-04    6.622405e+06   -2.054477e+00    6.622407e+06    0.000000e+00    1.685715e+05   -1.853717e+02    2.072988e+00    5.942126e+00   -3.182676e-05
   1.073591e-04    6.563886e+06   -2.211891e+00    6.563888e+06    0.000000e+00    1.675764e+05   -1.848249e+02    2.072988e+00    5.942104e+00   -3.182622e-05
   1.079962e-04    6.505884e+06   -3.110451e+00    6.505887e+06    0.000000e+00    1.665872e+05   -1.842796e+02    2.072988e+00    5.942083e+00   -3.182568e-05
   1.086372e-04    6.448393e+06   -4.731453e+00    6.448398e+06    0.000000e+00    1.656039e+05   -1.837360e+02    2.072988e+00    5.942061e+00   -3.182513e-05
   1.092819e-04    6.391411e+06   -6.346593e+00    6.391417e+06    0.000000e+00    1.646263e+05   -1.831939e+02    2.072988e+00    5.942039e+00   -3.182458e-05
   1.099305e-04    6.334935e+06   -4.225083e+00    6.334939e+06    0.000000e+00    1.636545e+05   -1.826535e+02    2.072988e+00    5.942017e+00   -3.182403e-05
   1.105830e-04    6.278958e+06   -2.865999e+00    6.278961e+06    0.000000e+00    1.626885e+05   -1.821147e+02    2.072988e+00    5.941994e+00   -3.182347e-05
   1.112393e-04    6.223474e+06   -2.250605e+00    6.223477e+06    0.000000e+00    1.617281e+05   -1.815774e+02    2.072988e+00    5.941972e+00   -3.182291e-05
   1.118995e-04    6.168480e+06   -2.337051e+00    6.168483e+06    0.000000e+00    1.607734e+05   -1.810418e+02    2.072988e+00    5.941949e+00   -3.182235e-05
   1.125636e-04    6.113972e+06   -3.122834e+00    6.113975e+06    0.000000e+00    1.598244e+05   -1.805077e+02    2.072988e+00    5.941927e+00   -3.182179e-05
   1.132316e-04    6.059944e+06   -4.592201e+00    6.059948e+06    0.000000e+00    1.588809e+05   -1.799752e+02    2.072988e+00    5.941904e+00   -3.182122e-05
   1.139037e-04    6.006393e+06   -6.426121e+00    6.006399e+06    0.000000e+00    1.579430e+05   -1.794442e+02    2.072988e+00    5.941881e+00   -3.182064e-05
   1.145797e-04    5.953319e+06   -4.394013e+00    5.953323e+06    0.000000e+00    1.570107e+05   -1.789149e+02    2.072988e+00    5.941858e+00   -3.182007e-05
   1.152597e-04    5.900713e+06   -3.054192e+00    5.900716e+06    0.000000e+00    1.560838e+05   -1.783871e+02    2.072988e+00    5.941834e+00   -3.181949e-05
   1.159437e-04    5.848572e+06   -2.414069e+00    5.848574e+06    0.000000e+00    1.551624e+05   -1.778608e+02    2.072988e+00    5.941811e+00   -3.181891e-05
   1.166319e-04    5.796890e+06   -2.448178e+00    5.796893e+06    0.000000e+00    1.542465e+05   -1.773362e+02    2.072988e+00    5.941787e+00   -3.181832e-05
   1.173241e-04    5.745664e+06   -3.141394e+00    5.745668e+06    0.000000e+00    1.533359e+05   -1.768130e+02    2.072988e+00    5.941764e+00   -3.181773e-05
   1.180204e-04    5.694891e+06   -4.470097e+00    5.694895e+06    0.000000e+00    1.524308e+05   -1.762914e+02    2.072988e+00    5.941740e+00   -3.181714e-05
   1.187208e-04    5.644565e+06   -6.424482e+00    5.644571e+06    0.000000e+00    1.515309e+05   -1.757713e+02    2.072988e+00    5.941716e+00   -3.181654e-05
   1.194254e-04    5.594688e+06   -4.524705e+00    5.594692e+06    0.000000e+00    1.506364e+05   -1.752528e+02    2.072988e+00    5.941692e+00   -3.181594e-05
   1.201342e-04    5.545251e+06   -3.223066e+00    5.545254e+06    0.000000e+00    1.497472e+05   -1.747358e+02    2.072988e+00    5.941668e+00   -3.181534e-05
   1.208472e-04    5.496250e+06   -2.576742e+00    5.496252e+06    0.000000e+00    1.488632e+05   -1.742204e+02    2.072988e+00    5.941643e+00   -3.181473e-05
   1.215644e-04    5.447681e+06   -2.556050e+00    5.447683e+06    0.000000e+00    1.479844e+05   -1.737064e+02    2.072988e+00    5.941619e+00   -3.181412e-05
   1.222859e-04    5.399541e+06   -3.160272e+00    5.399544e+06    0.000000e+00    1.471108e+05   -1.731940e+02    2.072988e+00    5.941594e+00   -3.181351e-05
   1.230117e-04    5.351825e+06   -4.368671e+00    5.351829e+06    0.000000e+00    1.462423e+05   -1.726831e+02    2.072988e+00    5.941569e+00   -3.181289e-05
   1.237417e-04    5.304531e+06   -6.153678e+00    5.304537e+06    0.000000e+00    1.453790e+05   -1.721736e+02    2.072988e+00    5.941544e+00   -3.181227e-05
   1.244761e-04    5.257657e+06   -4.643907e+00    5.257662e+06    0.000000e+00    1.445208e+05   -1.716657e+02    2.072988e+00    5.941519e+00   -3.181164e-05
   1.252149e-04    5.211198e+06   -3.379461e+00    5.211201e+06    0.000000e+00    1.436676e+05   -1.711593e+02    2.072988e+00    5.941494e+00   -3.181101e-05
   1.259580e-04    5.165148e+06   -2.719694e+00    5.165151e+06    0.000000e+00    1.428195e+05   -1.706544e+02    2.072988e+00    5.941469e+00   -3.181038e-05
   1.267056e-04    5.119505e+06   -2.660588e+00    5.119507e+06    0.000000e+00    1.419764e+05   -1.701510e+02    2.072988e+00    5.941443e+00   -3.180974e-05
   1.274576e-04    5.074264e+06   -3.180705e+00    5.074267e+06    0.000000e+00    1.411382e+05   -1.696491e+02    2.072988e+00    5.941417e+00   -3.180910e-05
   1.282140e-04    5.029422e+06   -4.267435e+00    5.029427e+06    0.000000e+00    1.403050e+05   -1.691486e+02    2.072988e+00    5.941391e+00   -3.180846e-05
   1.289750e-04    4.984976e+06   -5.908809e+00    4.984982e+06    0.000000e+00    1.394767e+05   -1.686496e+02    2.072988e+00    5.941365e+00   -3.180781e-05
   1.297404e-04    4.940926e+06   -4.744739e+00    4.940931e+06    0.000000e+00    1.386533e+05   -1.681521e+02    2.072988e+00    5.941339e+00   -3.180716e-05
   1.305104e-04    4.897265e+06   -3.507958e+00    4.897268e+06    0.000000e+00    1.378348e+05   -1.676560e+02    2.072988e+00    5.941313e+00   -3.180650e-05
   1.312850e-04    4.853989e+06   -2.850542e+00    4.853992e+06    0.000000e+00    1.370211e+05   -1.671615e+02    2.072988e+00    5.941286e+00   -3.180584e-05
   1.320642e-04    4.811095e+06   -2.749847e+00    4.811097e+06    0.000000e+00    1.362121e+05   -1.666684e+02    2.072988e+00    5.941260e+00   -3.180518e-05
   1.328480e-04    4.768579e+06   -3.199842e+00    4.768582e+06    0.000000e+00    1.354080e+05   -1.661767e+02    2.072988e+00    5.941233e+00   -3.180451e-05
   1.336364e-04    4.726438e+06   -4.184629e+00    4.726442e+06    0.000000e+00    1.346086e+05   -1.656865e+02    2.072988e+00    5.941206e+00   -3.180384e-05
   1.344295e-04    4.684669e+06   -5.693763e+00    4.684675e+06    0.000000e+00    1.338139e+05   -1.651977e+02    2.072988e+00    5.941179e+00   -3.180316e-05
   1.352274e-04    4.643272e+06   -4.828631e+00    4.643276e+06    0.000000e+00    1.330239e+05   -1.647104e+02    2.072988e+00    5.941152e+00   -3.180249e-05
   1.360299e-04    4.602240e+06   -3.625738e+00    4.602244e+06    0.000000e+00    1.322386e+05   -1.642245e+02    2.072988e+00    5.941124e+00   -3.180180e-05
   1.368372e-04    4.561571e+06   -2.970192e+00    4.561574e+06    0.000000e+00    1.314579e+05   -1.637401e+02    2.072988e+00    5.941096e+00   -3.180111e-05
   1.376494e-04    4.521260e+06   -2.835806e+00    4.521263e+06    0.000000e+00    1.306818e+05   -1.632570e+02    2.072988e+00    5.941069e+00   -3.180042e-05
   1.384663e-04    4.481305e+06   -3.223175e+00    4.481308e+06    0.000000e+00    1.299103e+05   -1.627755e+02    2.072988e+00    5.941041e+00   -3.179973e-05
   1.392881e-04    4.441703e+06   -4.110029e+00    4.441707e+06    0.000000e+00    1.291433e+05   -1.622953e+02    2.072988e+00    5.941013e+00   -3.179903e-05
   1.401148e-04    4.402450e+06   -5.486200e+00    4.402455e+06    0.000000e+00    1.283809e+05   -1.618165e+02    2.072988e+00    5.940984e+00   -3.179832e-05
   1.409463e-04    4.363545e+06   -4.901418e+00    4.363550e+06    0.000000e+00    1.276230e+05   -1.613392e+02    2.072988e+00    5.940956e+00   -3.179762e-05
   1.417828e-04    4.324985e+06   -3.728335e+00    4.324989e+06    0.000000e+00    1.268695e+05   -1.608632e+02    2.072988e+00    5.940927e+00   -3.179690e-05
