# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.990e-11, Err(n_e)=9.388e-11, Err(IET)=9.498e-13, Q_net=-1.167e-07
# {"name":"Ar", "Z":18, "Zstar":0.7192096220656622, "A":39.948,  "μ[AU]": -2.2813713861e-01, "Te[AU]": 6.411e-02, "Ti[AU]": 6.411e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -2.674815e-01    1.271693e+01    0.000000e+00
   1.371565e-01    3.652126e+00    4.488291e+00    0.000000e+00
   2.057347e-01    2.572404e+00    2.975407e+00    0.000000e+00
   2.743130e-01   -1.480185e-01    1.876540e+00    0.000000e+00
   3.428912e-01   -2.044094e-01    1.539366e+00    3.417899e-11
   4.114694e-01   -2.007129e-01    1.157825e+00    1.491911e-08
   4.800477e-01   -2.019250e-01    1.024257e+00    1.198590e-07
   5.486259e-01   -1.968710e-01    8.334083e-01    2.352750e-06
   6.172042e-01   -1.987276e-01    7.619999e-01    7.166464e-06
   6.857824e-01   -1.951452e-01    6.465941e-01    4.336048e-05
   7.543606e-01   -1.914249e-01    6.014878e-01    8.762510e-05
   8.229389e-01   -1.897654e-01    5.236713e-01    2.949565e-04
   8.915171e-01   -1.897930e-01    4.922973e-01    4.811206e-04
   9.600953e-01   -1.858501e-01    4.361041e-01    1.155809e-03
   1.028674e+00   -1.827435e-01    4.129253e-01    1.659035e-03
   1.097252e+00   -1.806612e-01    3.703954e-01    3.220455e-03
   1.165830e+00   -1.777694e-01    3.525495e-01    4.253543e-03
   1.234408e+00   -1.764590e-01    3.192328e-01    7.151366e-03
   1.302987e+00   -1.737269e-01    3.050690e-01    8.918052e-03
   1.371565e+00   -1.709733e-01    2.782687e-01    1.354426e-02
   1.440143e+00   -1.695095e-01    2.667599e-01    1.620477e-02
   1.508721e+00   -1.669110e-01    2.447414e-01    2.284156e-02
   1.577299e+00   -1.651099e-01    2.352121e-01    2.649698e-02
   1.645878e+00   -1.633589e-01    2.168077e-01    3.530114e-02
   1.714456e+00   -1.619893e-01    2.087946e-01    3.999270e-02
   1.783034e+00   -1.599433e-01    1.931887e-01    5.100433e-02
   1.851612e+00   -1.586538e-01    1.863632e-01    5.672140e-02
   1.920191e+00   -1.568646e-01    1.729691e-01    6.988482e-02
   1.988769e+00   -1.552786e-01    1.670916e-01    7.657625e-02
   2.057347e+00   -1.539088e-01    1.554762e-01    9.176436e-02
   2.125925e+00   -1.524803e-01    1.503678e-01    9.935016e-02
   2.194504e+00   -1.508998e-01    1.402044e-01    1.163873e-01
   2.263082e+00   -1.495678e-01    1.357289e-01    1.247690e-01
   2.331660e+00   -1.482777e-01    1.267666e-01    1.434504e-01
   2.400238e+00   -1.469092e-01    1.228184e-01    1.525193e-01
   2.468817e+00   -1.456652e-01    1.148609e-01    1.726260e-01
   2.537395e+00   -1.443513e-01    1.113569e-01    1.822698e-01
   2.605973e+00   -1.431135e-01    1.042491e-01    2.035802e-01
   2.674551e+00   -1.418919e-01    1.011229e-01    2.136875e-01
   2.743130e+00   -1.406710e-01    9.473986e-02    2.359850e-01
   2.811708e+00   -1.394116e-01    9.193797e-02    2.464487e-01
   2.880286e+00   -1.382006e-01    8.617847e-02    2.695274e-01
   2.948864e+00   -1.369926e-01    8.365711e-02    2.802464e-01
   3.017443e+00   -1.357725e-01    7.843802e-02    3.039142e-01
   3.086021e+00   -1.345741e-01    7.616109e-02    3.147952e-01
   3.154599e+00   -1.333914e-01    7.141357e-02    3.388756e-01
   3.223177e+00   -1.322262e-01    6.935103e-02    3.498331e-01
   3.291755e+00   -1.310825e-01    6.501755e-02    3.741661e-01
   3.360334e+00   -1.299624e-01    6.314420e-02    3.851233e-01
   3.428912e+00   -1.288690e-01    5.917632e-02    4.095652e-01
   3.497490e+00   -1.278021e-01    5.747083e-02    4.204535e-01
   3.566068e+00   -1.267634e-01    5.382748e-02    4.448765e-01
   3.634647e+00   -1.257509e-01    5.227170e-02    4.556351e-01
   3.703225e+00   -1.247645e-01    4.891780e-02    4.799268e-01
   3.771803e+00   -1.238027e-01    4.749617e-02    4.905025e-01
   3.840381e+00   -1.228644e-01    4.440158e-02    5.145644e-01
   3.908960e+00   -1.219483e-01    4.310068e-02    5.249110e-01
