# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.947e-11, Err(n_e)=9.566e-11, Err(IET)=9.136e-13, Q_net=-4.002e-08
# {"name":"Ar", "Z":18, "Zstar":0.25657025493881236, "A":39.948,  "μ[AU]": -9.4028612573e-02, "Te[AU]": 2.812e-02, "Ti[AU]": 2.812e-02, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.301579e+06    1.235726e-01    7.301579e+06    0.000000e+00    1.799147e+05   -1.914951e+02   -8.068406e-01    2.561713e+00   -8.556977e-04
   1.005935e-04    7.237060e+06   -3.877251e-01    7.237060e+06    0.000000e+00    1.788527e+05   -1.909301e+02    1.562082e+00    2.561704e+00   -8.556841e-04
   1.011905e-04    7.173109e+06   -1.703598e+00    7.173111e+06    0.000000e+00    1.777970e+05   -1.903669e+02    1.562082e+00    2.561695e+00   -8.556704e-04
   1.017911e-04    7.109723e+06   -3.813421e+00    7.109727e+06    0.000000e+00    1.767475e+05   -1.898053e+02    1.562082e+00    2.561685e+00   -8.556566e-04
   1.023952e-04    7.046899e+06   -3.659504e+00    7.046903e+06    0.000000e+00    1.757042e+05   -1.892453e+02    1.562082e+00    2.561676e+00   -8.556428e-04
   1.030029e-04    6.984632e+06   -1.651706e+00    6.984634e+06    0.000000e+00    1.746670e+05   -1.886871e+02    1.562082e+00    2.561667e+00   -8.556289e-04
   1.036142e-04    6.922915e+06   -4.781878e-01    6.922915e+06    0.000000e+00    1.736360e+05   -1.881304e+02    1.562082e+00    2.561658e+00   -8.556149e-04
   1.042292e-04    6.861742e+06   -1.091543e-01    6.861742e+06    0.000000e+00    1.726111e+05   -1.875754e+02    1.562082e+00    2.561649e+00   -8.556008e-04
   1.048478e-04    6.801108e+06   -5.238331e-01    6.801109e+06    0.000000e+00    1.715922e+05   -1.870221e+02    1.562082e+00    2.561639e+00   -8.555866e-04
   1.054700e-04    6.741010e+06   -1.709818e+00    6.741012e+06    0.000000e+00    1.705793e+05   -1.864703e+02    1.562082e+00    2.561630e+00   -8.555724e-04
   1.060960e-04    6.681442e+06   -3.625148e+00    6.681445e+06    0.000000e+00    1.695724e+05   -1.859202e+02    1.562082e+00    2.561620e+00   -8.555580e-04
   1.067257e-04    6.622401e+06   -3.837348e+00    6.622405e+06    0.000000e+00    1.685714e+05   -1.853717e+02    1.562082e+00    2.561611e+00   -8.555436e-04
   1.073591e-04    6.563885e+06   -1.899341e+00    6.563887e+06    0.000000e+00    1.675764e+05   -1.848249e+02    1.562082e+00    2.561601e+00   -8.555291e-04
   1.079962e-04    6.505884e+06   -7.401135e-01    6.505885e+06    0.000000e+00    1.665872e+05   -1.842796e+02    1.562082e+00    2.561592e+00   -8.555145e-04
   1.086372e-04    6.448396e+06   -3.322830e-01    6.448396e+06    0.000000e+00    1.656038e+05   -1.837360e+02    1.562082e+00    2.561582e+00   -8.554998e-04
   1.092819e-04    6.391415e+06   -6.594918e-01    6.391415e+06    0.000000e+00    1.646263e+05   -1.831939e+02    1.562082e+00    2.561572e+00   -8.554850e-04
   1.099305e-04    6.334936e+06   -1.712105e+00    6.334938e+06    0.000000e+00    1.636545e+05   -1.826535e+02    1.562082e+00    2.561562e+00   -8.554702e-04
   1.105830e-04    6.278955e+06   -3.469277e+00    6.278959e+06    0.000000e+00    1.626884e+05   -1.821146e+02    1.562082e+00    2.561552e+00   -8.554552e-04
   1.112393e-04    6.223471e+06   -4.008183e+00    6.223475e+06    0.000000e+00    1.617281e+05   -1.815774e+02    1.562082e+00    2.561543e+00   -8.554402e-04
   1.118995e-04    6.168479e+06   -2.121044e+00    6.168481e+06    0.000000e+00    1.607734e+05   -1.810418e+02    1.562082e+00    2.561533e+00   -8.554251e-04
   1.125636e-04    6.113972e+06   -9.698014e-01    6.113973e+06    0.000000e+00    1.598243e+05   -1.805077e+02    1.562082e+00    2.561522e+00   -8.554099e-04
   1.132316e-04    6.059946e+06   -5.414423e-01    6.059947e+06    0.000000e+00    1.588809e+05   -1.799752e+02    1.562082e+00    2.561512e+00   -8.553945e-04
   1.139037e-04    6.006397e+06   -7.904779e-01    6.006398e+06    0.000000e+00    1.579430e+05   -1.794443e+02    1.562082e+00    2.561502e+00   -8.553792e-04
   1.145797e-04    5.953320e+06   -1.724819e+00    5.953322e+06    0.000000e+00    1.570106e+05   -1.789149e+02    1.562082e+00    2.561492e+00   -8.553637e-04
   1.152597e-04    5.900711e+06   -3.318599e+00    5.900715e+06    0.000000e+00    1.560838e+05   -1.783871e+02    1.562082e+00    2.561482e+00   -8.553481e-04
   1.159437e-04    5.848568e+06   -4.139350e+00    5.848572e+06    0.000000e+00    1.551624e+05   -1.778608e+02    1.562082e+00    2.561471e+00   -8.553324e-04
   1.166319e-04    5.796889e+06   -2.318829e+00    5.796891e+06    0.000000e+00    1.542465e+05   -1.773361e+02    1.562082e+00    2.561461e+00   -8.553167e-04
   1.173241e-04    5.745665e+06   -1.186225e+00    5.745666e+06    0.000000e+00    1.533359e+05   -1.768130e+02    1.562082e+00    2.561450e+00   -8.553008e-04
   1.180204e-04    5.694893e+06   -7.245588e-01    5.694894e+06    0.000000e+00    1.524307e+05   -1.762914e+02    1.562082e+00    2.561440e+00   -8.552849e-04
   1.187208e-04    5.644569e+06   -9.164307e-01    5.644570e+06    0.000000e+00    1.515309e+05   -1.757714e+02    1.562082e+00    2.561429e+00   -8.552688e-04
   1.194254e-04    5.594689e+06   -1.747449e+00    5.594691e+06    0.000000e+00    1.506364e+05   -1.752528e+02    1.562082e+00    2.561419e+00   -8.552527e-04
   1.201342e-04    5.545249e+06   -3.195302e+00    5.545252e+06    0.000000e+00    1.497471e+05   -1.747358e+02    1.562082e+00    2.561408e+00   -8.552364e-04
   1.208472e-04    5.496246e+06   -4.257392e+00    5.496251e+06    0.000000e+00    1.488631e+05   -1.742203e+02    1.562082e+00    2.561397e+00   -8.552201e-04
   1.215644e-04    5.447679e+06   -2.497155e+00    5.447682e+06    0.000000e+00    1.479844e+05   -1.737064e+02    1.562082e+00    2.561386e+00   -8.552037e-04
   1.222859e-04    5.399541e+06   -1.384368e+00    5.399542e+06    0.000000e+00    1.471108e+05   -1.731940e+02    1.562082e+00    2.561375e+00   -8.551872e-04
   1.230117e-04    5.351827e+06   -9.029185e-01    5.351828e+06    0.000000e+00    1.462423e+05   -1.726831e+02    1.562082e+00    2.561364e+00   -8.551705e-04
   1.237417e-04    5.304534e+06   -1.039844e+00    5.304535e+06    0.000000e+00    1.453790e+05   -1.721737e+02    1.562082e+00    2.561353e+00   -8.551538e-04
   1.244761e-04    5.257658e+06   -1.776005e+00    5.257660e+06    0.000000e+00    1.445208e+05   -1.716658e+02    1.562082e+00    2.561342e+00   -8.551370e-04
   1.252149e-04    5.211196e+06   -3.094891e+00    5.211199e+06    0.000000e+00    1.436676e+05   -1.711593e+02    1.562082e+00    2.561331e+00   -8.551201e-04
   1.259580e-04    5.165145e+06   -4.355657e+00    5.165149e+06    0.000000e+00    1.428195e+05   -1.706544e+02    1.562082e+00    2.561320e+00   -8.551031e-04
   1.267056e-04    5.119503e+06   -2.661511e+00    5.119506e+06    0.000000e+00    1.419763e+05   -1.701510e+02    1.562082e+00    2.561309e+00   -8.550859e-04
   1.274576e-04    5.074264e+06   -1.564959e+00    5.074265e+06    0.000000e+00    1.411382e+05   -1.696491e+02    1.562082e+00    2.561297e+00   -8.550687e-04
   1.282140e-04    5.029424e+06   -1.068510e+00    5.029425e+06    0.000000e+00    1.403050e+05   -1.691486e+02    1.562082e+00    2.561286e+00   -8.550514e-04
   1.289750e-04    4.984980e+06   -1.151237e+00    4.984981e+06    0.000000e+00    1.394767e+05   -1.686496e+02    1.562082e+00    2.561274e+00   -8.550340e-04
   1.297404e-04    4.940927e+06   -1.803756e+00    4.940929e+06    0.000000e+00    1.386533e+05   -1.681521e+02    1.562082e+00    2.561263e+00   -8.550164e-04
   1.305104e-04    4.897264e+06   -2.995956e+00    4.897267e+06    0.000000e+00    1.378347e+05   -1.676560e+02    1.562082e+00    2.561251e+00   -8.549988e-04
   1.312850e-04    4.853986e+06   -4.435493e+00    4.853990e+06    0.000000e+00    1.370210e+05   -1.671614e+02    1.562082e+00    2.561239e+00   -8.549811e-04
   1.320642e-04    4.811093e+06   -2.795194e+00    4.811096e+06    0.000000e+00    1.362121e+05   -1.666683e+02    1.562082e+00    2.561228e+00   -8.549632e-04
   1.328480e-04    4.768579e+06   -1.728806e+00    4.768580e+06    0.000000e+00    1.354080e+05   -1.661767e+02    1.562082e+00    2.561216e+00   -8.549453e-04
   1.336364e-04    4.726439e+06   -1.221609e+00    4.726441e+06    0.000000e+00    1.346086e+05   -1.656865e+02    1.562082e+00    2.561204e+00   -8.549272e-04
   1.344295e-04    4.684672e+06   -1.259697e+00    4.684673e+06    0.000000e+00    1.338139e+05   -1.651977e+02    1.562082e+00    2.561192e+00   -8.549090e-04
   1.352274e-04    4.643273e+06   -1.829091e+00    4.643275e+06    0.000000e+00    1.330239e+05   -1.647104e+02    1.562082e+00    2.561180e+00   -8.548908e-04
   1.360299e-04    4.602239e+06   -2.921903e+00    4.602242e+06    0.000000e+00    1.322386e+05   -1.642245e+02    1.562082e+00    2.561168e+00   -8.548724e-04
   1.368372e-04    4.561568e+06   -4.498112e+00    4.561572e+06    0.000000e+00    1.314579e+05   -1.637400e+02    1.562082e+00    2.561155e+00   -8.548539e-04
   1.376494e-04    4.521259e+06   -2.917519e+00    4.521261e+06    0.000000e+00    1.306818e+05   -1.632570e+02    1.562082e+00    2.561143e+00   -8.548353e-04
   1.384663e-04    4.481305e+06   -1.876916e+00    4.481307e+06    0.000000e+00    1.299103e+05   -1.627754e+02    1.562082e+00    2.561131e+00   -8.548166e-04
   1.392881e-04    4.441704e+06   -1.362703e+00    4.441705e+06    0.000000e+00    1.291433e+05   -1.622953e+02    1.562082e+00    2.561118e+00   -8.547978e-04
   1.401148e-04    4.402452e+06   -1.361774e+00    4.402454e+06    0.000000e+00    1.283809e+05   -1.618165e+02    1.562082e+00    2.561106e+00   -8.547789e-04
   1.409463e-04    4.363547e+06   -1.860951e+00    4.363549e+06    0.000000e+00    1.276229e+05   -1.613392e+02    1.562082e+00    2.561093e+00   -8.547598e-04
   1.417828e-04    4.324985e+06   -2.847417e+00    4.324987e+06    0.000000e+00    1.268695e+05   -1.608632e+02    1.562082e+00    2.561081e+00   -8.547407e-04
   1.426243e-04    4.286763e+06   -4.308821e+00    4.286767e+06    0.000000e+00    1.261204e+05   -1.603887e+02    1.562082e+00    2.561068e+00   -8.547214e-04
   1.434708e-04    4.248881e+06   -3.029504e+00    4.248884e+06    0.000000e+00    1.253758e+05   -1.599156e+02    1.562082e+00    2.561055e+00   -8.547020e-04
   1.443223e-04    4.211334e+06   -2.010119e+00    4.211336e+06    0.000000e+00    1.246356e+05   -1.594439e+02    1.562082e+00    2.561042e+00   -8.546825e-04
