   ni[AU]          T[K]            Ke[AU]          Ue[AU]          Ee[AU]          Pe[AU]          Zbar           
   9.252571e-05    2.900000e+02    6.329687e+02   -1.260719e+03   -6.277502e+02    2.472445e-08    3.359618e-01
   9.252571e-05    3.044317e+02    6.329687e+02   -1.260719e+03   -6.277502e+02    2.535544e-08    3.356236e-01
   9.252571e-05    3.195817e+02    6.329687e+02   -1.260719e+03   -6.277501e+02    2.603740e-08    3.353034e-01
   9.252571e-05    3.354855e+02    6.329687e+02   -1.260719e+03   -6.277501e+02    2.677410e-08    3.350083e-01
   9.252571e-05    3.521808e+02    6.329687e+02   -1.260719e+03   -6.277501e+02    2.756934e-08    3.347432e-01
   9.252571e-05    3.697069e+02    6.329687e+02   -1.260719e+03   -6.277501e+02    2.842718e-08    3.345168e-01
   9.252571e-05    3.881053e+02    6.329687e+02   -1.260719e+03   -6.277500e+02    2.935212e-08    3.343337e-01
   9.252571e-05    4.074192e+02    6.329687e+02   -1.260719e+03   -6.277500e+02    3.034879e-08    3.342043e-01
   9.252571e-05    4.276942e+02    6.329687e+02   -1.260719e+03   -6.277500e+02    3.142239e-08    3.341346e-01
   9.252571e-05    4.489782e+02    6.329687e+02   -1.260719e+03   -6.277499e+02    3.257825e-08    3.341348e-01
   9.252571e-05    4.713214e+02    6.329687e+02   -1.260719e+03   -6.277499e+02    3.382216e-08    3.342070e-01
   9.252571e-05    4.947766e+02    6.329687e+02   -1.260719e+03   -6.277499e+02    3.516045e-08    3.343640e-01
   9.252571e-05    5.193989e+02    6.329687e+02   -1.260719e+03   -6.277498e+02    3.659987e-08    3.346180e-01
   9.252571e-05    5.452466e+02    6.329687e+02   -1.260718e+03   -6.277498e+02    3.814765e-08    3.349641e-01
   9.252571e-05    5.723806e+02    6.329687e+02   -1.260718e+03   -6.277497e+02    3.981155e-08    3.354215e-01
   9.252571e-05    6.008649e+02    6.329687e+02   -1.260718e+03   -6.277496e+02    4.160001e-08    3.359941e-01
   9.252571e-05    6.307667e+02    6.329687e+02   -1.260718e+03   -6.277496e+02    4.352208e-08    3.366867e-01
   9.252571e-05    6.621565e+02    6.329687e+02   -1.260718e+03   -6.277495e+02    4.558753e-08    3.375138e-01
   9.252571e-05    6.951084e+02    6.329687e+02   -1.260718e+03   -6.277494e+02    4.780684e-08    3.384765e-01
   9.252571e-05    7.297002e+02    6.329687e+02   -1.260718e+03   -6.277494e+02    5.019147e-08    3.395822e-01
   9.252571e-05    7.660135e+02    6.329687e+02   -1.260718e+03   -6.277493e+02    5.275371e-08    3.408445e-01
   9.252571e-05    8.041338e+02    6.329687e+02   -1.260718e+03   -6.277492e+02    5.550681e-08    3.422564e-01
   9.252571e-05    8.441512e+02    6.329687e+02   -1.260718e+03   -6.277491e+02    5.846505e-08    3.438387e-01
   9.252571e-05    8.861601e+02    6.329687e+02   -1.260718e+03   -6.277490e+02    6.164392e-08    3.455970e-01
   9.252571e-05    9.302594e+02    6.329687e+02   -1.260718e+03   -6.277488e+02    6.506017e-08    3.475192e-01
   9.252571e-05    9.765534e+02    6.329687e+02   -1.260717e+03   -6.277487e+02    6.873188e-08    3.496330e-01
   9.252571e-05    1.025151e+03    6.329687e+02   -1.260717e+03   -6.277485e+02    7.267861e-08    3.519433e-01
   9.252571e-05    1.076167e+03    6.329686e+02   -1.260717e+03   -6.277484e+02    7.692145e-08    3.544302e-01
   9.252571e-05    1.129722e+03    6.329686e+02   -1.260717e+03   -6.277482e+02    8.148330e-08    3.571333e-01
   9.252571e-05    1.185943e+03    6.329686e+02   -1.260717e+03   -6.277480e+02    8.638894e-08    3.600462e-01
   9.252571e-05    1.244961e+03    6.329686e+02   -1.260716e+03   -6.277478e+02    9.166502e-08    3.631547e-01
   9.252571e-05    1.306916e+03    6.329685e+02   -1.260716e+03   -6.277476e+02    9.734045e-08    3.665002e-01
   9.252571e-05    1.371954e+03    6.329685e+02   -1.260716e+03   -6.277474e+02    1.034467e-07    3.700686e-01
   9.252571e-05    1.440228e+03    6.329684e+02   -1.260716e+03   -6.277471e+02    1.100176e-07    3.738455e-01
   9.252571e-05    1.511901e+03    6.329684e+02   -1.260715e+03   -6.277468e+02    1.170897e-07    3.778802e-01
   9.252571e-05    1.587140e+03    6.329683e+02   -1.260715e+03   -6.277465e+02    1.247029e-07    3.821671e-01
   9.252571e-05    1.666123e+03    6.329683e+02   -1.260714e+03   -6.277462e+02    1.329000e-07    3.866687e-01
   9.252571e-05    1.749037e+03    6.329682e+02   -1.260714e+03   -6.277458e+02    1.417276e-07    3.914492e-01
   9.252571e-05    1.836077e+03    6.329681e+02   -1.260714e+03   -6.277455e+02    1.512362e-07    3.965001e-01
   9.252571e-05    1.927449e+03    6.329680e+02   -1.260713e+03   -6.277450e+02    1.614801e-07    4.017864e-01
   9.252571e-05    2.023368e+03    6.329679e+02   -1.260713e+03   -6.277446e+02    1.725187e-07    4.073721e-01
   9.252571e-05    2.124060e+03    6.329678e+02   -1.260712e+03   -6.277441e+02    1.844158e-07    4.132512e-01
   9.252571e-05    2.229763e+03    6.329677e+02   -1.260711e+03   -6.277435e+02    1.972410e-07    4.193797e-01
   9.252571e-05    2.340726e+03    6.329676e+02   -1.260711e+03   -6.277429e+02    2.110692e-07    4.258353e-01
   9.252571e-05    2.457211e+03    6.329674e+02   -1.260710e+03   -6.277423e+02    2.259817e-07    4.326111e-01
   9.252571e-05    2.579493e+03    6.329673e+02   -1.260709e+03   -6.277416e+02    2.420672e-07    4.396469e-01
   9.252571e-05    2.707861e+03    6.329671e+02   -1.260708e+03   -6.277409e+02    2.594202e-07    4.470374e-01
   9.252571e-05    2.842616e+03    6.329669e+02   -1.260707e+03   -6.277401e+02    2.781454e-07    4.547752e-01
   9.252571e-05    2.984078e+03    6.329666e+02   -1.260706e+03   -6.277392e+02    2.983548e-07    4.628107e-01
   9.252571e-05    3.132580e+03    6.329664e+02   -1.260705e+03   -6.277382e+02    3.201694e-07    4.712174e-01
   9.252571e-05    3.288471e+03    6.329661e+02   -1.260703e+03   -6.277372e+02    3.437211e-07    4.799953e-01
   9.252571e-05    3.452120e+03    6.329658e+02   -1.260702e+03   -6.277361e+02    3.691549e-07    4.891031e-01
   9.252571e-05    3.623914e+03    6.329655e+02   -1.260700e+03   -6.277348e+02    3.966217e-07    4.986225e-01
   9.252571e-05    3.804256e+03    6.329651e+02   -1.260699e+03   -6.277335e+02    4.262933e-07    5.085304e-01
   9.252571e-05    3.993574e+03    6.329647e+02   -1.260697e+03   -6.277320e+02    4.583522e-07    5.188055e-01
   9.252571e-05    4.192312e+03    6.329643e+02   -1.260695e+03   -6.277305e+02    4.929944e-07    5.295277e-01
   9.252571e-05    4.400941e+03    6.329638e+02   -1.260693e+03   -6.277288e+02    5.304323e-07    5.406725e-01
   9.252571e-05    4.619952e+03    6.329633e+02   -1.260690e+03   -6.277269e+02    5.709008e-07    5.522312e-01
   9.252571e-05    4.849862e+03    6.329627e+02   -1.260688e+03   -6.277249e+02    6.146490e-07    5.642572e-01
   9.252571e-05    5.091213e+03    6.329620e+02   -1.260685e+03   -6.277228e+02    6.619534e-07    5.767482e-01
   9.252571e-05    5.344576e+03    6.329613e+02   -1.260682e+03   -6.277204e+02    7.131115e-07    5.897026e-01
   9.252571e-05    5.610546e+03    6.329606e+02   -1.260678e+03   -6.277179e+02    7.684470e-07    6.031739e-01
   9.252571e-05    5.889753e+03    6.329598e+02   -1.260675e+03   -6.277151e+02    8.282936e-07    6.171407e-01
   9.252571e-05    6.182854e+03    6.329589e+02   -1.260671e+03   -6.277121e+02    8.930507e-07    6.316250e-01
   9.252571e-05    6.490541e+03    6.329579e+02   -1.260667e+03   -6.277088e+02    9.631144e-07    6.466615e-01
   9.252571e-05    6.813540e+03    6.329568e+02   -1.260662e+03   -6.277053e+02    1.038935e-06    6.622375e-01
   9.252571e-05    7.152613e+03    6.329556e+02   -1.260657e+03   -6.277015e+02    1.120995e-06    6.783960e-01
   9.252571e-05    7.508560e+03    6.329544e+02   -1.260652e+03   -6.276973e+02    1.209826e-06    6.951632e-01
   9.252571e-05    7.882221e+03    6.329530e+02   -1.260646e+03   -6.276928e+02    1.305975e-06    7.125156e-01
   9.252571e-05    8.274476e+03    6.329515e+02   -1.260639e+03   -6.276879e+02    1.410094e-06    7.305141e-01
   9.252571e-05    8.686252e+03    6.329498e+02   -1.260632e+03   -6.276826e+02    1.522820e-06    7.491732e-01
   9.252571e-05    9.118520e+03    6.329480e+02   -1.260625e+03   -6.276769e+02    1.644879e-06    7.684742e-01
   9.252571e-05    9.572299e+03    6.329461e+02   -1.260617e+03   -6.276706e+02    1.777088e-06    7.884854e-01
   9.252571e-05    1.004866e+04    6.329440e+02   -1.260608e+03   -6.276639e+02    1.920311e-06    8.092191e-01
   9.252571e-05    1.054873e+04    6.329417e+02   -1.260598e+03   -6.276566e+02    2.075422e-06    8.306557e-01
   9.252571e-05    1.107368e+04    6.329392e+02   -1.260588e+03   -6.276486e+02    2.243446e-06    8.528798e-01
   9.252571e-05    1.162476e+04    6.329365e+02   -1.260577e+03   -6.276400e+02    2.425488e-06    8.759016e-01
   9.252571e-05    1.220326e+04    6.329336e+02   -1.260564e+03   -6.276307e+02    2.622743e-06    8.996924e-01
   9.252571e-05    1.281055e+04    6.329304e+02   -1.260551e+03   -6.276206e+02    2.836491e-06    9.243458e-01
   9.252571e-05    1.344806e+04    6.329269e+02   -1.260537e+03   -6.276096e+02    3.068134e-06    9.498829e-01
   9.252571e-05    1.411730e+04    6.329232e+02   -1.260521e+03   -6.275977e+02    3.319175e-06    9.762592e-01
   9.252571e-05    1.481984e+04    6.329191e+02   -1.260504e+03   -6.275849e+02    3.591259e-06    1.003591e+00
   9.252571e-05    1.555734e+04    6.329148e+02   -1.260486e+03   -6.275709e+02    3.886175e-06    1.031888e+00
   9.252571e-05    1.633155e+04    6.329100e+02   -1.260466e+03   -6.275558e+02    4.205836e-06    1.061113e+00
   9.252571e-05    1.714428e+04    6.329048e+02   -1.260444e+03   -6.275394e+02    4.552355e-06    1.091385e+00
   9.252571e-05    1.799746e+04    6.328993e+02   -1.260421e+03   -6.275216e+02    4.928002e-06    1.122714e+00
   9.252571e-05    1.889310e+04    6.328932e+02   -1.260396e+03   -6.275024e+02    5.335262e-06    1.155060e+00
   9.252571e-05    1.983330e+04    6.328867e+02   -1.260368e+03   -6.274816e+02    5.776811e-06    1.188556e+00
   9.252571e-05    2.082030e+04    6.328797e+02   -1.260339e+03   -6.274590e+02    6.255561e-06    1.223206e+00
   9.252571e-05    2.185641e+04    6.328720e+02   -1.260307e+03   -6.274345e+02    6.774692e-06    1.258986e+00
   9.252571e-05    2.294409e+04    6.328638e+02   -1.260272e+03   -6.274080e+02    7.337629e-06    1.296026e+00
   9.252571e-05    2.408589e+04    6.328549e+02   -1.260234e+03   -6.273793e+02    7.948072e-06    1.334333e+00
   9.252571e-05    2.528452e+04    6.328453e+02   -1.260194e+03   -6.273483e+02    8.610008e-06    1.373890e+00
   9.252571e-05    2.654279e+04    6.328349e+02   -1.260149e+03   -6.273146e+02    9.327522e-06    1.414816e+00
   9.252571e-05    2.786368e+04    6.328237e+02   -1.260102e+03   -6.272781e+02    1.010565e-05    1.457118e+00
   9.252571e-05    2.925031e+04    6.328116e+02   -1.260050e+03   -6.272387e+02    1.094963e-05    1.500805e+00
   9.252571e-05    3.070594e+04    6.327985e+02   -1.259994e+03   -6.271959e+02    1.186510e-05    1.545986e+00
   9.252571e-05    3.223401e+04    6.327844e+02   -1.259934e+03   -6.271496e+02    1.285801e-05    1.592666e+00
   9.252571e-05    3.383812e+04    6.327692e+02   -1.259869e+03   -6.270996e+02    1.393430e-05    1.640895e+00
   9.252571e-05    3.552206e+04    6.327528e+02   -1.259798e+03   -6.270453e+02    1.510125e-05    1.690733e+00
