# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.942e-11, Err(n_e)=8.951e-11, Err(IET)=1.516e+90, Q_net=5.062e-07
# {"name":"Ar", "Z":18, "Zstar":0.3965000687248974, "A":39.948,  "μ[AU]": -4.0347543661e-03, "Te[AU]": 5.815e-03, "Ti[AU]": 5.815e-03, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.290098e+06    5.034422e+00    7.290093e+06    0.000000e+00    1.799172e+05    0.000000e+00   -1.412481e+01    6.581707e+00    1.289678e+01
   1.005935e-04    7.225646e+06    3.169740e+00    7.225643e+06    0.000000e+00    1.788552e+05    0.000000e+00   -1.039386e+01    6.581685e+00    1.289668e+01
   1.011905e-04    7.161763e+06    1.173703e+00    7.161761e+06    0.000000e+00    1.777995e+05    0.000000e+00   -5.392193e+00    6.581664e+00    1.289657e+01
   1.017911e-04    7.098449e+06    4.037644e+00    7.098445e+06    0.000000e+00    1.767500e+05    0.000000e+00   -1.220197e+01    6.581643e+00    1.289646e+01
   1.023952e-04    7.035693e+06    5.031602e+00    7.035688e+06    0.000000e+00    1.757067e+05    0.000000e+00   -1.411957e+01    6.581622e+00    1.289636e+01
   1.030029e-04    6.973490e+06    4.160163e+00    6.973485e+06    0.000000e+00    1.746696e+05    0.000000e+00   -1.244621e+01    6.581600e+00    1.289625e+01
   1.036142e-04    6.911834e+06    1.508385e+00    6.911833e+06    0.000000e+00    1.736386e+05    0.000000e+00   -6.361533e+00    6.581578e+00    1.289614e+01
   1.042292e-04    6.850728e+06    2.714549e+00    6.850725e+06    0.000000e+00    1.726136e+05    0.000000e+00   -9.379902e+00    6.581557e+00    1.289603e+01
   1.048478e-04    6.790162e+06    4.577076e+00    6.790157e+06    0.000000e+00    1.715947e+05    0.000000e+00   -1.326003e+01    6.581535e+00    1.289592e+01
   1.054700e-04    6.730130e+06    4.626863e+00    6.730125e+06    0.000000e+00    1.705818e+05    0.000000e+00   -1.335519e+01    6.581513e+00    1.289581e+01
   1.060960e-04    6.670626e+06    2.954249e+00    6.670624e+06    0.000000e+00    1.695749e+05    0.000000e+00   -9.920423e+00    6.581490e+00    1.289570e+01
   1.067257e-04    6.611649e+06    1.033325e+00    6.611648e+06    0.000000e+00    1.685740e+05    0.000000e+00   -4.958708e+00    6.581468e+00    1.289559e+01
   1.073591e-04    6.553197e+06    3.705187e+00    6.553193e+06    0.000000e+00    1.675789e+05    0.000000e+00   -1.152627e+01    6.581445e+00    1.289548e+01
