# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.822e-11, Err(n_e)=8.337e-11, Err(IET)=9.170e-13, Q_net=3.211e-07
# {"name":"Ar", "Z":18, "Zstar":1.2960264014935454, "A":39.948,  "μ[AU]": -2.3227460702e-01, "Te[AU]": 7.266e-02, "Ti[AU]": 7.266e-02, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.290096e+06   -1.080921e+01    7.290107e+06    0.000000e+00    1.799174e+05    0.000000e+00    4.183458e+00    6.972516e+01   -1.223573e-14
   1.005935e-04    7.225645e+06   -1.060921e+01    7.225656e+06    0.000000e+00    1.788555e+05    0.000000e+00    4.183458e+00    6.972493e+01   -1.223554e-14
   1.011905e-04    7.161765e+06   -1.011094e+01    7.161775e+06    0.000000e+00    1.777997e+05    0.000000e+00    4.183458e+00    6.972470e+01   -1.223534e-14
   1.017911e-04    7.098447e+06   -1.144822e+01    7.098458e+06    0.000000e+00    1.767502e+05    0.000000e+00    4.183458e+00    6.972446e+01   -1.223515e-14
   1.023952e-04    7.035691e+06   -9.692226e+00    7.035701e+06    0.000000e+00    1.757069e+05    0.000000e+00    4.183458e+00    6.972422e+01   -1.223495e-14
   1.030029e-04    6.973486e+06   -1.250571e+01    6.973499e+06    0.000000e+00    1.746698e+05    0.000000e+00    4.183458e+00    6.972398e+01   -1.223475e-14
   1.036142e-04    6.911837e+06   -9.523116e+00    6.911846e+06    0.000000e+00    1.736388e+05    0.000000e+00    4.183458e+00    6.972374e+01   -1.223455e-14
   1.042292e-04    6.850726e+06   -1.278197e+01    6.850738e+06    0.000000e+00    1.726138e+05    0.000000e+00    4.183458e+00    6.972350e+01   -1.223435e-14
   1.048478e-04    6.790161e+06   -9.601928e+00    6.790171e+06    0.000000e+00    1.715949e+05    0.000000e+00    4.183458e+00    6.972325e+01   -1.223415e-14
   1.054700e-04    6.730127e+06   -1.158776e+01    6.730138e+06    0.000000e+00    1.705821e+05    0.000000e+00    4.183458e+00    6.972301e+01   -1.223394e-14
   1.060960e-04    6.670627e+06   -9.920133e+00    6.670637e+06    0.000000e+00    1.695751e+05    0.000000e+00    4.183458e+00    6.972276e+01   -1.223374e-14
   1.067257e-04    6.611650e+06   -1.067960e+01    6.611661e+06    0.000000e+00    1.685742e+05    0.000000e+00    4.183458e+00    6.972252e+01   -1.223353e-14
   1.073591e-04    6.553196e+06   -1.045969e+01    6.553206e+06    0.000000e+00    1.675791e+05    0.000000e+00    4.183458e+00    6.972227e+01   -1.223332e-14
   1.079962e-04    6.495258e+06   -1.003733e+01    6.495268e+06    0.000000e+00    1.665899e+05    0.000000e+00    4.183458e+00    6.972201e+01   -1.223312e-14
