# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.033e-11, Err(n_e)=9.644e-11, Err(IET)=9.616e-13, Q_net=3.596e-07
# {"name":"Ar", "Z":18, "Zstar":1.3738902086460278, "A":39.948,  "μ[AU]": -2.6265285979e-01, "Te[AU]": 8.007e-02, "Ti[AU]": 8.007e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02    4.623093e+00    4.792917e+01    0.000000e+00
   1.371565e-01    3.472037e+00    1.758342e+01    0.000000e+00
   2.057347e-01   -3.906636e-01    1.150525e+01    0.000000e+00
   2.743130e-01   -4.297072e-01    7.290319e+00    0.000000e+00
   3.428912e-01   -3.991211e-01    5.878494e+00    0.000000e+00
   4.114694e-01   -3.956426e-01    4.419479e+00    0.000000e+00
   4.800477e-01   -3.906988e-01    3.866521e+00    0.000000e+00
   5.486259e-01   -3.887129e-01    3.151350e+00    0.000000e+00
   6.172042e-01   -3.743050e-01    2.864930e+00    0.000000e+00
   6.857824e-01   -3.668547e-01    2.440435e+00    0.000000e+00
   7.543606e-01   -3.586680e-01    2.264339e+00    0.000000e+00
   8.229389e-01   -3.518376e-01    1.981490e+00    1.569100e-11
   8.915171e-01   -3.444413e-01    1.861027e+00    8.369083e-11
   9.600953e-01   -3.385094e-01    1.658080e+00    1.097523e-09
   1.028674e+00   -3.319839e-01    1.569854e+00    3.309612e-09
   1.097252e+00   -3.271080e-01    1.416730e+00    2.241784e-08
   1.165830e+00   -3.218858e-01    1.349079e+00    5.217469e-08
   1.234408e+00   -3.178577e-01    1.229290e+00    2.328583e-07
   1.302987e+00   -3.124442e-01    1.175686e+00    4.546977e-07
   1.371565e+00   -3.072819e-01    1.079376e+00    1.513489e-06
   1.440143e+00   -3.041619e-01    1.035840e+00    2.606108e-06
   1.508721e+00   -2.997058e-01    9.567211e-01    6.998270e-06
   1.577299e+00   -2.959660e-01    9.206669e-01    1.097512e-05
   1.645878e+00   -2.924713e-01    8.545272e-01    2.506117e-05
   1.714456e+00   -2.884360e-01    8.241946e-01    3.659116e-05
   1.783034e+00   -2.857344e-01    7.680992e-01    7.370190e-05
   1.851612e+00   -2.820430e-01    7.422437e-01    1.017560e-04
   1.920191e+00   -2.789537e-01    6.940836e-01    1.856147e-04
   1.988769e+00   -2.760950e-01    6.717993e-01    2.450830e-04
   2.057347e+00   -2.735382e-01    6.300189e-01    4.128128e-04
   2.125925e+00   -2.706799e-01    6.106303e-01    5.257001e-04
   2.194504e+00   -2.682596e-01    5.740567e-01    8.297115e-04
   2.263082e+00   -2.656310e-01    5.570495e-01    1.025619e-03
   2.331660e+00   -2.632432e-01    5.247816e-01    1.533953e-03
   2.400238e+00   -2.610289e-01    5.097573e-01    1.849723e-03
   2.468817e+00   -2.586996e-01    4.810913e-01    2.644768e-03
   2.537395e+00   -2.566006e-01    4.677361e-01    3.123344e-03
   2.605973e+00   -2.545000e-01    4.421142e-01    4.299136e-03
   2.674551e+00   -2.524124e-01    4.301780e-01    4.987799e-03
   2.743130e+00   -2.504527e-01    4.071523e-01    6.646294e-03
   2.811708e+00   -2.485134e-01    3.964329e-01    7.594506e-03
   2.880286e+00   -2.466268e-01    3.756400e-01    9.841290e-03
   2.948864e+00   -2.448024e-01    3.659721e-01    1.109839e-02
   3.017443e+00   -2.430006e-01    3.471136e-01    1.403825e-02
   3.086021e+00   -2.412469e-01    3.383613e-01    1.565120e-02
   3.154599e+00   -2.395339e-01    3.211900e-01    1.938393e-02
   3.223177e+00   -2.378551e-01    3.132399e-01    2.139531e-02
   3.291755e+00   -2.362103e-01    2.975494e-01    2.601203e-02
   3.360334e+00   -2.345965e-01    2.903064e-01    2.845829e-02
   3.428912e+00   -2.330131e-01    2.759228e-01    3.403841e-02
   3.497490e+00   -2.314572e-01    2.693065e-01    3.694863e-02
   3.566068e+00   -2.299287e-01    2.560824e-01    4.355757e-02
   3.634647e+00   -2.284251e-01    2.500243e-01    4.695251e-02
   3.703225e+00   -2.269453e-01    2.378339e-01    5.464018e-02
   3.771803e+00   -2.254886e-01    2.322754e-01    5.853182e-02
   3.840381e+00   -2.240532e-01    2.210104e-01    6.733181e-02
   3.908960e+00   -2.226384e-01    2.159009e-01    7.172319e-02
   3.977538e+00   -2.212436e-01    2.054679e-01    8.165257e-02
   4.046116e+00   -2.198668e-01    2.007636e-01    8.653800e-02
   4.114694e+00   -2.185086e-01    1.910816e-01    9.759770e-02
   4.183273e+00   -2.171672e-01    1.867442e-01    1.029632e-01
   4.251851e+00   -2.158414e-01    1.777423e-01    1.151388e-01
   4.320429e+00   -2.145319e-01    1.737384e-01    1.209626e-01
