# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.870e-11, Err(n_e)=9.942e-11, Err(IET)=1.402e+01, Q_net=7.149e-07
# {"name":"Ar", "Z":18, "Zstar":0.4470374290898462, "A":39.948,  "μ[AU]": -9.8820298851e-03, "Te[AU]": 8.575e-03, "Ti[AU]": 8.575e-03, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02    4.349894e-01    5.272678e+00    0.000000e+00
   1.371565e-01    2.706981e-03    2.138268e+00    0.000000e+00
   2.057347e-01   -1.334902e-01    1.370283e+00    0.000000e+00
   2.743130e-01   -1.300989e-01    8.886545e-01    0.000000e+00
   3.428912e-01   -1.285126e-01    6.895113e-01    0.000000e+00
   4.114694e-01   -1.280453e-01    5.171617e-01    0.000000e+00
   4.800477e-01   -1.245901e-01    4.354789e-01    0.000000e+00
   5.486259e-01   -1.215315e-01    3.518860e-01    0.000000e+00
   6.172042e-01   -1.206673e-01    3.100647e-01    0.000000e+00
   6.857824e-01   -1.169930e-01    2.620028e-01    0.000000e+00
   7.543606e-01   -1.138305e-01    2.373170e-01    0.000000e+00
   8.229389e-01   -1.120266e-01    2.063986e-01    0.000000e+00
   8.915171e-01   -1.100938e-01    1.902698e-01    0.000000e+00
   9.600953e-01   -1.079087e-01    1.687366e-01    0.000000e+00
   1.028674e+00   -1.057800e-01    1.573777e-01    0.000000e+00
   1.097252e+00   -1.040769e-01    1.414875e-01    0.000000e+00
   1.165830e+00   -1.027705e-01    1.330283e-01    0.000000e+00
   1.234408e+00   -1.009959e-01    1.207872e-01    0.000000e+00
   1.302987e+00   -9.958266e-02    1.142185e-01    0.000000e+00
   1.371565e+00   -9.831754e-02    1.044766e-01    0.000000e+00
   1.440143e+00   -9.716483e-02    9.921225e-02    0.000000e+00
   1.508721e+00   -9.576997e-02    9.126228e-02    0.000000e+00
   1.577299e+00   -9.463821e-02    8.693989e-02    0.000000e+00
   1.645878e+00   -9.357963e-02    8.032251e-02    0.000000e+00
   1.714456e+00   -9.250862e-02    7.670585e-02    0.000000e+00
   1.783034e+00   -9.143881e-02    7.110923e-02    0.000000e+00
   1.851612e+00   -9.046728e-02    6.803713e-02    0.000000e+00
   1.920191e+00   -8.960254e-02    6.324148e-02    0.000000e+00
   1.988769e+00   -8.860715e-02    6.059977e-02    0.000000e+00
   2.057347e+00   -8.780145e-02    5.644530e-02    0.000000e+00
   2.125925e+00   -8.687646e-02    5.415049e-02    0.000000e+00
   2.194504e+00   -8.608311e-02    5.051793e-02    0.000000e+00
   2.263082e+00   -8.531487e-02    4.850737e-02    0.000000e+00
   2.331660e+00   -8.453143e-02    4.530572e-02    0.000000e+00
   2.400238e+00   -8.375681e-02    4.353131e-02    0.000000e+00
   2.468817e+00   -8.301867e-02    4.068985e-02    0.000000e+00
   2.537395e+00   -8.230829e-02    3.911398e-02    0.000000e+00
   2.605973e+00   -8.162202e-02    3.657685e-02    0.000000e+00
   2.674551e+00   -8.095747e-02    3.516966e-02    0.000000e+00
   2.743130e+00   -8.031699e-02    3.289209e-02    8.691860e-02
   2.811708e+00   -7.967136e-02    3.162953e-02    2.051425e-01
   2.880286e+00   -7.902614e-02    2.957523e-02    4.087069e-01
   2.948864e+00   -7.840852e-02    2.843769e-02    5.143616e-01
   3.017443e+00   -7.782736e-02    2.657691e-02    6.987026e-01
   3.086021e+00   -7.724159e-02    2.554825e-02    7.935125e-01
   3.154599e+00   -7.665479e-02    2.385635e-02    9.612820e-01
   3.223177e+00   -7.611382e-02    2.292314e-02    1.046668e+00
   3.291755e+00   -7.554858e-02    2.137955e-02    1.200062e+00
   3.360334e+00   -7.501516e-02    2.053054e-02    1.277200e+00
   3.428912e+00   -7.448515e-02    1.911795e-02    1.418043e+00
   3.497490e+00   -7.396745e-02    1.834361e-02    1.487908e+00
   3.566068e+00   -7.345671e-02    1.704734e-02    1.617717e+00
   3.634647e+00   -7.296390e-02    1.633958e-02    1.681118e+00
   3.703225e+00   -7.246390e-02    1.514708e-02    1.801159e+00
   3.771803e+00   -7.199385e-02    1.449897e-02    1.858771e+00
   3.840381e+00   -7.151000e-02    1.339949e-02    1.970099e+00
   3.908960e+00   -7.104242e-02    1.280504e-02    2.022483e+00
   3.977538e+00   -7.059286e-02    1.178926e-02    2.125979e+00
   4.046116e+00   -7.013491e-02    1.124329e-02    2.173604e+00
   4.114694e+00   -6.968690e-02    1.030315e-02    2.270006e+00
   4.183273e+00   -6.925106e-02    9.801152e-03    2.313265e+00
   4.251851e+00   -6.882465e-02    8.929590e-03    2.403191e+00
   4.320429e+00   -6.839778e-02    8.467605e-03    2.442415e+00
   4.389007e+00   -6.797508e-02    7.658440e-03    2.526383e+00
   4.457586e+00   -6.756021e-02    7.232993e-03    2.561851e+00
   4.526164e+00   -6.715225e-02    6.480778e-03    2.640300e+00
   4.594742e+00   -6.675004e-02    6.088799e-03    2.672252e+00
   4.663320e+00   -6.635314e-02    5.388718e-03    2.745554e+00
   4.731898e+00   -6.596107e-02    5.027482e-03    2.774194e+00
   4.800477e+00   -6.557369e-02    4.375257e-03    2.842665e+00
   4.869055e+00   -6.519073e-02    4.042339e-03    2.868172e+00
   4.937633e+00   -6.481244e-02    3.434159e-03    2.932088e+00
   5.006211e+00   -6.443858e-02    3.127392e-03    2.954620e+00
   5.074790e+00   -6.406925e-02    2.559849e-03    3.014218e+00
   5.143368e+00   -6.370475e-02    2.277287e-03    3.033916e+00
   5.211946e+00   -6.334430e-02    1.747323e-03    3.089407e+00
   5.280524e+00   -6.298489e-02    1.487218e-03    3.106399e+00
   5.349103e+00   -6.263002e-02    9.920803e-04    3.157972e+00
   5.417681e+00   -6.228022e-02    7.528511e-04    3.172376e+00
   5.486259e+00   -6.193326e-02    2.900553e-04    3.220201e+00
   5.554837e+00   -6.158861e-02    7.027208e-05    3.232129e+00
   5.623416e+00   -6.124889e-02   -3.624320e-04    3.276363e+00
   5.691994e+00   -6.091058e-02   -5.640686e-04    3.285919e+00
   5.760572e+00   -6.057663e-02   -9.687236e-04    3.326708e+00
   5.829150e+00   -6.024457e-02   -1.153397e-03    3.333992e+00
   5.897729e+00   -5.991618e-02   -1.531862e-03    3.371474e+00
   5.966307e+00   -5.959000e-02   -1.700653e-03    3.376584e+00
   6.034885e+00   -5.926650e-02   -2.054626e-03    3.410891e+00
   6.103463e+00   -5.894566e-02   -2.208524e-03    3.413921e+00
   6.172042e+00   -5.862738e-02   -2.539556e-03    3.445179e+00
   6.240620e+00   -5.831151e-02   -2.679471e-03    3.446222e+00
