# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.153e-11, Err(n_e)=8.333e-11, Err(IET)=9.920e-13, Q_net=5.100e-07
# {"name":"Ar", "Z":18, "Zstar":0.33530341265086605, "A":39.948,  "μ[AU]": 2.6724038630e-03, "Te[AU]": 1.012e-03, "Ti[AU]": 1.012e-03, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -2.112432e-01    2.945325e+00    0.000000e+00
   1.371565e-01   -1.721834e-01    1.300017e+00    0.000000e+00
   2.057347e-01   -1.520968e-01    8.279910e-01    0.000000e+00
   2.743130e-01   -1.390711e-01    5.520624e-01    0.000000e+00
   3.428912e-01   -1.297719e-01    4.212210e-01    0.000000e+00
   4.114694e-01   -1.225510e-01    3.187948e-01    0.000000e+00
   4.800477e-01   -1.167661e-01    2.622661e-01    0.000000e+00
   5.486259e-01   -1.119127e-01    2.115687e-01    0.000000e+00
   6.172042e-01   -1.085368e-01    1.816696e-01    0.000000e+00
   6.857824e-01   -1.048511e-01    1.524033e-01    0.000000e+00
   7.543606e-01   -1.016286e-01    1.345416e-01    0.000000e+00
   8.229389e-01   -9.882556e-02    1.158746e-01    0.000000e+00
   8.915171e-01   -9.627502e-02    1.042580e-01    0.000000e+00
   9.600953e-01   -9.395915e-02    9.146566e-02    0.000000e+00
   1.028674e+00   -9.182751e-02    8.340954e-02    0.000000e+00
   1.097252e+00   -8.988454e-02    7.415063e-02    0.000000e+00
   1.165830e+00   -8.811110e-02    6.827353e-02    0.000000e+00
   1.234408e+00   -8.641903e-02    6.127828e-02    0.000000e+00
   1.302987e+00   -8.486957e-02    5.681274e-02    0.000000e+00
   1.371565e+00   -8.341439e-02    5.134357e-02    0.000000e+00
   1.440143e+00   -8.205949e-02    4.783679e-02    0.000000e+00
   1.508721e+00   -8.075046e-02    4.344106e-02    0.000000e+00
   1.577299e+00   -7.953449e-02    4.061237e-02    0.000000e+00
   1.645878e+00   -7.837974e-02    3.699927e-02    0.000000e+00
   1.714456e+00   -7.727735e-02    3.466718e-02    0.000000e+00
   1.783034e+00   -7.622493e-02    3.164244e-02    0.000000e+00
   1.851612e+00   -7.522202e-02    2.968516e-02    0.000000e+00
   1.920191e+00   -7.426881e-02    2.711445e-02    0.000000e+00
   1.988769e+00   -7.334665e-02    2.544755e-02    0.000000e+00
   2.057347e+00   -7.246854e-02    2.323520e-02    0.000000e+00
   2.125925e+00   -7.161672e-02    2.179839e-02    0.000000e+00
   2.194504e+00   -7.080324e-02    1.987439e-02    0.000000e+00
   2.263082e+00   -7.001705e-02    1.862348e-02    0.000000e+00
   2.331660e+00   -6.925454e-02    1.693541e-02    0.000000e+00
   2.400238e+00   -6.851875e-02    1.583724e-02    0.000000e+00
   2.468817e+00   -6.780679e-02    1.434501e-02    0.000000e+00
   2.537395e+00   -6.711831e-02    1.337415e-02    0.000000e+00
   2.605973e+00   -6.644993e-02    1.204654e-02    0.000000e+00
   2.674551e+00   -6.580082e-02    1.118316e-02    0.000000e+00
   2.743130e+00   -6.516980e-02    9.995440e-03    0.000000e+00
   2.811708e+00   -6.455692e-02    9.223788e-03    0.000000e+00
   2.880286e+00   -6.396096e-02    8.156109e-03    4.341416e-12
   2.948864e+00   -6.337785e-02    7.463501e-03    1.177725e-11
   3.017443e+00   -6.280923e-02    6.499708e-03    3.617373e-11
   3.086021e+00   -6.225561e-02    5.875797e-03    7.189982e-11
   3.154599e+00   -6.171611e-02    5.002601e-03    1.805631e-10
   3.223177e+00   -6.118685e-02    4.438848e-03    3.290026e-10
   3.291755e+00   -6.067034e-02    3.645200e-03    7.513457e-10
   3.360334e+00   -6.016578e-02    3.134487e-03    1.294225e-09
   3.428912e+00   -5.967028e-02    2.411121e-03    2.751538e-09
   3.497490e+00   -5.918638e-02    1.947458e-03    4.525720e-09
   3.566068e+00   -5.871158e-02    1.286538e-03    9.051547e-09
   3.634647e+00   -5.824655e-02    8.648462e-04    1.429970e-08
   3.703225e+00   -5.778999e-02    2.596943e-04    2.709941e-08
   3.771803e+00   -5.734241e-02   -1.243680e-04    4.130504e-08
   3.840381e+00   -5.690248e-02   -6.794786e-04    7.460234e-08
   3.908960e+00   -5.647094e-02   -1.029646e-03    1.101172e-07
   3.977538e+00   -5.604613e-02   -1.539659e-03    1.904828e-07
   4.046116e+00   -5.562955e-02   -1.859164e-03    2.731533e-07
   4.114694e+00   -5.521902e-02   -2.328370e-03    4.544633e-07
   4.183273e+00   -5.481608e-02   -2.620028e-03    6.348943e-07
