# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.014e-11, Err(n_e)=9.842e-11, Err(IET)=9.615e-13, Q_net=6.530e-07
# {"name":"Ar", "Z":18, "Zstar":0.33751376246282305, "A":39.948,  "μ[AU]": 1.7907424042e-03, "Te[AU]": 2.097e-03, "Ti[AU]": 2.097e-03, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.290095e+06    2.088378e+00    7.290093e+06    0.000000e+00    1.799172e+05    0.000000e+00   -7.876954e+00    4.687530e+00   -3.107019e-22
   1.005935e-04    7.225646e+06    4.164395e+00    7.225642e+06    0.000000e+00    1.788552e+05    0.000000e+00   -1.244526e+01    4.687515e+00   -3.106970e-22
   1.011905e-04    7.161766e+06    5.392664e+00    7.161761e+06    0.000000e+00    1.777995e+05    0.000000e+00   -1.477413e+01    4.687501e+00   -3.106920e-22
   1.017911e-04    7.098450e+06    5.793187e+00    7.098444e+06    0.000000e+00    1.767500e+05    0.000000e+00   -1.549443e+01    4.687486e+00   -3.106871e-22
   1.023952e-04    7.035693e+06    5.397633e+00    7.035687e+06    0.000000e+00    1.757067e+05    0.000000e+00   -1.478308e+01    4.687471e+00   -3.106820e-22
   1.030029e-04    6.973489e+06    4.232346e+00    6.973485e+06    0.000000e+00    1.746696e+05    0.000000e+00   -1.257934e+01    4.687456e+00   -3.106770e-22
   1.036142e-04    6.911835e+06    2.296171e+00    6.911832e+06    0.000000e+00    1.736385e+05    0.000000e+00   -8.387369e+00    4.687441e+00   -3.106719e-22
   1.042292e-04    6.850726e+06    1.631989e+00    6.850725e+06    0.000000e+00    1.726136e+05    0.000000e+00   -6.691682e+00    4.687425e+00   -3.106668e-22
   1.048478e-04    6.790161e+06    3.699260e+00    6.790157e+06    0.000000e+00    1.715947e+05    0.000000e+00   -1.150459e+01    4.687410e+00   -3.106616e-22
   1.054700e-04    6.730130e+06    4.959270e+00    6.730125e+06    0.000000e+00    1.705818e+05    0.000000e+00   -1.397505e+01    4.687395e+00   -3.106565e-22
   1.060960e-04    6.670629e+06    5.438365e+00    6.670623e+06    0.000000e+00    1.695749e+05    0.000000e+00   -1.485745e+01    4.687379e+00   -3.106513e-22
   1.067257e-04    6.611653e+06    5.161843e+00    6.611647e+06    0.000000e+00    1.685739e+05    0.000000e+00   -1.435171e+01    4.687364e+00   -3.106460e-22
   1.073591e-04    6.553197e+06    4.161810e+00    6.553193e+06    0.000000e+00    1.675789e+05    0.000000e+00   -1.244014e+01    4.687348e+00   -3.106408e-22
   1.079962e-04    6.495257e+06    2.450732e+00    6.495255e+06    0.000000e+00    1.665897e+05    0.000000e+00   -8.757063e+00    4.687332e+00   -3.106355e-22
   1.086372e-04    6.437830e+06    1.212540e+00    6.437829e+06    0.000000e+00    1.656063e+05    0.000000e+00   -5.499524e+00    4.687316e+00   -3.106301e-22
   1.092819e-04    6.380914e+06    3.242759e+00    6.380911e+06    0.000000e+00    1.646288e+05    0.000000e+00   -1.054259e+01    4.687300e+00   -3.106248e-22
   1.099305e-04    6.324500e+06    4.532158e+00    6.324495e+06    0.000000e+00    1.636570e+05    0.000000e+00   -1.316419e+01    4.687284e+00   -3.106194e-22
   1.105830e-04    6.268584e+06    5.088296e+00    6.268579e+06    0.000000e+00    1.626910e+05    0.000000e+00   -1.421503e+01    4.687268e+00   -3.106140e-22
   1.112393e-04    6.213161e+06    4.929234e+00    6.213156e+06    0.000000e+00    1.617306e+05    0.000000e+00   -1.391838e+01    4.687252e+00   -3.106085e-22
   1.118995e-04    6.158228e+06    4.080115e+00    6.158224e+06    0.000000e+00    1.607759e+05    0.000000e+00   -1.227703e+01    4.687236e+00   -3.106030e-22
   1.125636e-04    6.103779e+06    2.559827e+00    6.103777e+06    0.000000e+00    1.598269e+05    0.000000e+00   -9.012909e+00    4.687219e+00   -3.105975e-22
   1.132316e-04    6.049812e+06    8.476055e-01    6.049811e+06    0.000000e+00    1.588834e+05    0.000000e+00   -4.344212e+00    4.687203e+00   -3.105919e-22
   1.139037e-04    5.996325e+06    2.834356e+00    5.996322e+06    0.000000e+00    1.579455e+05    0.000000e+00   -9.642584e+00    4.687186e+00   -3.105863e-22
   1.145797e-04    5.943310e+06    4.133455e+00    5.943306e+06    0.000000e+00    1.570132e+05    0.000000e+00   -1.238383e+01    4.687170e+00   -3.105807e-22
   1.152597e-04    5.890763e+06    4.750412e+00    5.890758e+06    0.000000e+00    1.560863e+05    0.000000e+00   -1.358135e+01    4.687153e+00   -3.105751e-22
   1.159437e-04    5.838680e+06    4.688149e+00    5.838675e+06    0.000000e+00    1.551649e+05    0.000000e+00   -1.346328e+01    4.687136e+00   -3.105694e-22
   1.166319e-04    5.787057e+06    3.972350e+00    5.787053e+06    0.000000e+00    1.542490e+05    0.000000e+00   -1.206108e+01    4.687119e+00   -3.105637e-22
