# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.103e-11, Err(n_e)=9.857e-11, Err(IET)=9.048e-13, Q_net=6.367e-07
# {"name":"Ar", "Z":18, "Zstar":0.6951631789111978, "A":39.948,  "μ[AU]": -5.2187940526e-02, "Te[AU]": 2.378e-02, "Ti[AU]": 2.378e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02    1.310955e+00    1.259190e+01    0.000000e+00
   1.371565e-01    1.498418e-01    4.849402e+00    0.000000e+00
   2.057347e-01   -1.674486e-01    3.133286e+00    0.000000e+00
   2.743130e-01   -1.818591e-01    2.002456e+00    0.000000e+00
   3.428912e-01   -1.920660e-01    1.580200e+00    0.000000e+00
   4.114694e-01   -1.888292e-01    1.184036e+00    0.000000e+00
   4.800477e-01   -1.871686e-01    1.016155e+00    0.000000e+00
   5.486259e-01   -1.810820e-01    8.243657e-01    0.000000e+00
   6.172042e-01   -1.794815e-01    7.389225e-01    0.000000e+00
   6.857824e-01   -1.760167e-01    6.274189e-01    2.087330e-12
   7.543606e-01   -1.726387e-01    5.763772e-01    3.272116e-11
   8.229389e-01   -1.700813e-01    5.034635e-01    7.392458e-10
   8.915171e-01   -1.687143e-01    4.694430e-01    3.095463e-09
   9.600953e-01   -1.655184e-01    4.178338e-01    2.712433e-08
   1.028674e+00   -1.627190e-01    3.933791e-01    7.583080e-08
   1.097252e+00   -1.603016e-01    3.547791e-01    3.842964e-07
   1.165830e+00   -1.579573e-01    3.362494e-01    8.373347e-07
   1.234408e+00   -1.558653e-01    3.062108e-01    2.960208e-06
   1.302987e+00   -1.536525e-01    2.916320e-01    5.462218e-06
   1.371565e+00   -1.518826e-01    2.675537e-01    1.502817e-05
   1.440143e+00   -1.495183e-01    2.557603e-01    2.466360e-05
   1.508721e+00   -1.481395e-01    2.360138e-01    5.655298e-05
   1.577299e+00   -1.460646e-01    2.262687e-01    8.514736e-05
   1.645878e+00   -1.443295e-01    2.097774e-01    1.702527e-04
   1.714456e+00   -1.427497e-01    2.015885e-01    2.400848e-04
   1.783034e+00   -1.413179e-01    1.876095e-01    4.318952e-04
   1.851612e+00   -1.398967e-01    1.806339e-01    5.787228e-04
   1.920191e+00   -1.382420e-01    1.686367e-01    9.577804e-04
   1.988769e+00   -1.370146e-01    1.626266e-01    1.232257e-03
   2.057347e+00   -1.355229e-01    1.522215e-01    1.907209e-03
   2.125925e+00   -1.342480e-01    1.469935e-01    2.374273e-03
   2.194504e+00   -1.330665e-01    1.378872e-01    3.479246e-03
   2.263082e+00   -1.318457e-01    1.333018e-01    4.215595e-03
   2.331660e+00   -1.306122e-01    1.252695e-01    5.904463e-03
   2.400238e+00   -1.294521e-01    1.212191e-01    6.994617e-03
   2.468817e+00   -1.283497e-01    1.140851e-01    9.433210e-03
   2.537395e+00   -1.272879e-01    1.104850e-01    1.096479e-02
   2.605973e+00   -1.261838e-01    1.041103e-01    1.432222e-02
   2.674551e+00   -1.251094e-01    1.008930e-01    1.638107e-02
   2.743130e+00   -1.241275e-01    9.516591e-02    2.082122e-02
   2.811708e+00   -1.231819e-01    9.227693e-02    2.348688e-02
   2.880286e+00   -1.221824e-01    8.710688e-02    2.916076e-02
   2.948864e+00   -1.213073e-01    8.450167e-02    3.250268e-02
   3.017443e+00   -1.203529e-01    7.981433e-02    3.954218e-02
   3.086021e+00   -1.194853e-01    7.745620e-02    4.361672e-02
   3.154599e+00   -1.186389e-01    7.319000e-02    5.213003e-02
   3.223177e+00   -1.177652e-01    7.104841e-02    5.697848e-02
   3.291755e+00   -1.169371e-01    6.715190e-02    6.704705e-02
   3.360334e+00   -1.161347e-01    6.520124e-02    7.269455e-02
   3.428912e+00   -1.153472e-01    6.163111e-02    8.437159e-02
   3.497490e+00   -1.145712e-01    5.984973e-02    9.082681e-02
   3.566068e+00   -1.138079e-01    5.656925e-02    1.041372e-01
   3.634647e+00   -1.130609e-01    5.493869e-02    1.113927e-01
   3.703225e+00   -1.123353e-01    5.191651e-02    1.263338e-01
   3.771803e+00   -1.116238e-01    5.042099e-02    1.343671e-01
   3.840381e+00   -1.109066e-01    4.763018e-02    1.509104e-01
   3.908960e+00   -1.102227e-01    4.625608e-02    1.596853e-01
   3.977538e+00   -1.095322e-01    4.367335e-02    1.777790e-01
   4.046116e+00   -1.088604e-01    4.240887e-02    1.872469e-01
   4.114694e+00   -1.082009e-01    4.001403e-02    2.068186e-01
   4.183273e+00   -1.075492e-01    3.884889e-02    2.169206e-01
   4.251851e+00   -1.069051e-01    3.662430e-02    2.378801e-01
   4.320429e+00   -1.062728e-01    3.554949e-02    2.485488e-01
   4.389007e+00   -1.056481e-01    3.347969e-02    2.707913e-01
   4.457586e+00   -1.050311e-01    3.248729e-02    2.819526e-01
   4.526164e+00   -1.044226e-01    3.055865e-02    3.053616e-01
   4.594742e+00   -1.038202e-01    2.964168e-02    3.169364e-01
   4.663320e+00   -1.032256e-01    2.784215e-02    3.413866e-01
   4.731898e+00   -1.026387e-01    2.699440e-02    3.532928e-01
   4.800477e+00   -1.020572e-01    2.531329e-02    3.786531e-01
   4.869055e+00   -1.014822e-01    2.452923e-02    3.908068e-01
   4.937633e+00   -1.009132e-01    2.295702e-02    4.169421e-01
   5.006211e+00   -1.003502e-01    2.223171e-02    4.292593e-01
   5.074790e+00   -9.979240e-02    2.075988e-02    4.560337e-01
   5.143368e+00   -9.924027e-02    2.008890e-02    4.684312e-01
   5.211946e+00   -9.869316e-02    1.870980e-02    4.957091e-01
   5.280524e+00   -9.815089e-02    1.808915e-02    5.081061e-01
   5.349103e+00   -9.761339e-02    1.679592e-02    5.357544e-01
   5.417681e+00   -9.708043e-02    1.622201e-02    5.480730e-01
   5.486259e+00   -9.655200e-02    1.500843e-02    5.759624e-01
   5.554837e+00   -9.602783e-02    1.447800e-02    5.881284e-01
   5.623416e+00   -9.550773e-02    1.333845e-02    6.161347e-01
   5.691994e+00   -9.499168e-02    1.284855e-02    6.280784e-01
   5.760572e+00   -9.447942e-02    1.177793e-02    6.560834e-01
   5.829150e+00   -9.397098e-02    1.132586e-02    6.677401e-01
   5.897729e+00   -9.346611e-02    1.031954e-02    6.956325e-01
   5.966307e+00   -9.296483e-02    9.902837e-03    7.069425e-01
   6.034885e+00   -9.246688e-02    8.956570e-03    7.346183e-01
   6.103463e+00   -9.197228e-02    8.572984e-03    7.455276e-01
   6.172042e+00   -9.148097e-02    7.682905e-03    7.728906e-01
   6.240620e+00   -9.099278e-02    7.330366e-03    7.833507e-01
   6.309198e+00   -9.050775e-02    6.492927e-03    8.103128e-01
