# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.932e-11, Err(n_e)=8.828e-11, Err(IET)=9.424e-13, Q_net=5.485e-07
# {"name":"Ar", "Z":18, "Zstar":0.7684741594156499, "A":39.948,  "μ[AU]": -6.8620928718e-02, "Te[AU]": 2.888e-02, "Ti[AU]": 2.888e-02, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.290094e+06   -3.415709e+00    7.290097e+06    0.000000e+00    1.799173e+05    0.000000e+00    1.607422e+00    2.479947e+01   -1.118702e-13
   1.005935e-04    7.225647e+06    3.431361e-01    7.225646e+06    0.000000e+00    1.788553e+05    0.000000e+00   -2.519357e+00    2.479939e+01   -1.118685e-13
   1.011905e-04    7.161765e+06   -1.425283e-01    7.161765e+06    0.000000e+00    1.777996e+05    0.000000e+00    1.607422e+00    2.479931e+01   -1.118667e-13
   1.017911e-04    7.098446e+06   -2.253179e+00    7.098449e+06    0.000000e+00    1.767501e+05    0.000000e+00    1.607422e+00    2.479922e+01   -1.118649e-13
   1.023952e-04    7.035692e+06    5.589315e-01    7.035692e+06    0.000000e+00    1.757068e+05    0.000000e+00   -3.421176e+00    2.479914e+01   -1.118631e-13
   1.030029e-04    6.973488e+06   -1.019449e+00    6.973489e+06    0.000000e+00    1.746696e+05    0.000000e+00    1.607422e+00    2.479906e+01   -1.118613e-13
   1.036142e-04    6.911835e+06   -1.153691e+00    6.911837e+06    0.000000e+00    1.736386e+05    0.000000e+00    1.607422e+00    2.479897e+01   -1.118594e-13
   1.042292e-04    6.850729e+06    4.939081e-01    6.850729e+06    0.000000e+00    1.726137e+05    0.000000e+00   -3.164155e+00    2.479889e+01   -1.118576e-13
   1.048478e-04    6.790159e+06   -2.127126e+00    6.790161e+06    0.000000e+00    1.715948e+05    0.000000e+00    1.607422e+00    2.479880e+01   -1.118557e-13
   1.054700e-04    6.730129e+06   -3.796552e-01    6.730129e+06    0.000000e+00    1.705819e+05    0.000000e+00    1.607422e+00    2.479872e+01   -1.118539e-13
   1.060960e-04    6.670627e+06    1.563453e-01    6.670627e+06    0.000000e+00    1.695750e+05    0.000000e+00   -1.562545e+00    2.479863e+01   -1.118520e-13
   1.067257e-04    6.611648e+06   -3.455498e+00    6.611651e+06    0.000000e+00    1.685740e+05    0.000000e+00    1.607422e+00    2.479854e+01   -1.118501e-13
   1.073591e-04    6.553197e+06    8.687054e-02    6.553197e+06    0.000000e+00    1.675790e+05    0.000000e+00   -1.112115e+00    2.479845e+01   -1.118482e-13
   1.079962e-04    6.495258e+06   -4.313560e-01    6.495259e+06    0.000000e+00    1.665898e+05    0.000000e+00    1.607422e+00    2.479837e+01   -1.118463e-13
   1.086372e-04    6.437831e+06   -2.209407e+00    6.437833e+06    0.000000e+00    1.656064e+05    0.000000e+00    1.607422e+00    2.479828e+01   -1.118444e-13
   1.092819e-04    6.380915e+06    2.696200e-01    6.380915e+06    0.000000e+00    1.646289e+05    0.000000e+00   -2.171090e+00    2.479819e+01   -1.118425e-13
   1.099305e-04    6.324498e+06   -1.241729e+00    6.324499e+06    0.000000e+00    1.636571e+05    0.000000e+00    1.607422e+00    2.479810e+01   -1.118405e-13
   1.105830e-04    6.268582e+06   -1.229284e+00    6.268583e+06    0.000000e+00    1.626910e+05    0.000000e+00    1.607422e+00    2.479801e+01   -1.118386e-13
   1.112393e-04    6.213161e+06    1.891553e-01    6.213160e+06    0.000000e+00    1.617307e+05    0.000000e+00   -1.750659e+00    2.479792e+01   -1.118366e-13
   1.118995e-04    6.158226e+06   -2.272066e+00    6.158228e+06    0.000000e+00    1.607760e+05    0.000000e+00    1.607422e+00    2.479783e+01   -1.118346e-13
   1.125636e-04    6.103780e+06   -5.503826e-01    6.103781e+06    0.000000e+00    1.598269e+05    0.000000e+00    1.607422e+00    2.479774e+01   -1.118326e-13
   1.132316e-04    6.049815e+06   -1.344601e-01    6.049815e+06    0.000000e+00    1.588835e+05    0.000000e+00    1.607422e+00    2.479764e+01   -1.118306e-13
   1.139037e-04    5.996323e+06   -3.325660e+00    5.996326e+06    0.000000e+00    1.579456e+05    0.000000e+00    1.607422e+00    2.479755e+01   -1.118286e-13
   1.145797e-04    5.943310e+06   -1.383683e-01    5.943310e+06    0.000000e+00    1.570132e+05    0.000000e+00    1.607422e+00    2.479746e+01   -1.118266e-13
   1.152597e-04    5.890762e+06   -6.850694e-01    5.890762e+06    0.000000e+00    1.560864e+05    0.000000e+00    1.607422e+00    2.479736e+01   -1.118246e-13
   1.159437e-04    5.838677e+06   -2.161763e+00    5.838679e+06    0.000000e+00    1.551650e+05    0.000000e+00    1.607422e+00    2.479727e+01   -1.118225e-13
   1.166319e-04    5.787056e+06    9.765003e-03    5.787056e+06    0.000000e+00    1.542490e+05    0.000000e+00   -3.895696e-01    2.479717e+01   -1.118205e-13
   1.173241e-04    5.735889e+06   -1.439438e+00    5.735890e+06    0.000000e+00    1.533385e+05    0.000000e+00    1.607422e+00    2.479708e+01   -1.118184e-13
   1.180204e-04    5.685174e+06   -1.288688e+00    5.685176e+06    0.000000e+00    1.524333e+05    0.000000e+00    1.607422e+00    2.479698e+01   -1.118163e-13
   1.187208e-04    5.634910e+06   -8.075600e-02    5.634910e+06    0.000000e+00    1.515335e+05    0.000000e+00    1.607422e+00    2.479688e+01   -1.118142e-13
   1.194254e-04    5.585085e+06   -2.390535e+00    5.585088e+06    0.000000e+00    1.506390e+05    0.000000e+00    1.607422e+00    2.479679e+01   -1.118121e-13
   1.201342e-04    5.535706e+06   -6.886551e-01    5.535706e+06    0.000000e+00    1.497497e+05    0.000000e+00    1.607422e+00    2.479669e+01   -1.118100e-13
   1.208472e-04    5.486761e+06   -3.921696e-01    5.486761e+06    0.000000e+00    1.488657e+05    0.000000e+00    1.607422e+00    2.479659e+01   -1.118078e-13
   1.215644e-04    5.438246e+06   -3.157047e+00    5.438249e+06    0.000000e+00    1.479869e+05    0.000000e+00    1.607422e+00    2.479649e+01   -1.118057e-13
   1.222859e-04    5.390165e+06   -3.391138e-01    5.390166e+06    0.000000e+00    1.471133e+05    0.000000e+00    1.607422e+00    2.479639e+01   -1.118035e-13
   1.230117e-04    5.342506e+06   -9.075589e-01    5.342507e+06    0.000000e+00    1.462449e+05    0.000000e+00    1.607422e+00    2.479629e+01   -1.118014e-13
   1.237417e-04    5.295267e+06   -2.112269e+00    5.295270e+06    0.000000e+00    1.453816e+05    0.000000e+00    1.607422e+00    2.479619e+01   -1.117992e-13
   1.244761e-04    5.248449e+06   -2.196598e-01    5.248450e+06    0.000000e+00    1.445234e+05    0.000000e+00    1.607422e+00    2.479609e+01   -1.117970e-13
   1.252149e-04    5.202042e+06   -1.611744e+00    5.202044e+06    0.000000e+00    1.436702e+05    0.000000e+00    1.607422e+00    2.479599e+01   -1.117948e-13
   1.259580e-04    5.156046e+06   -1.338985e+00    5.156048e+06    0.000000e+00    1.428221e+05    0.000000e+00    1.607422e+00    2.479588e+01   -1.117925e-13
   1.267056e-04    5.110458e+06   -3.239235e-01    5.110458e+06    0.000000e+00    1.419789e+05    0.000000e+00    1.607422e+00    2.479578e+01   -1.117903e-13
   1.274576e-04    5.065270e+06   -2.486535e+00    5.065272e+06    0.000000e+00    1.411408e+05    0.000000e+00    1.607422e+00    2.479568e+01   -1.117881e-13
   1.282140e-04    5.020484e+06   -8.092673e-01    5.020485e+06    0.000000e+00    1.403076e+05    0.000000e+00    1.607422e+00    2.479557e+01   -1.117858e-13
   1.289750e-04    4.976093e+06   -6.205390e-01    4.976094e+06    0.000000e+00    1.394793e+05    0.000000e+00    1.607422e+00    2.479547e+01   -1.117835e-13
   1.297404e-04    4.932092e+06   -2.989986e+00    4.932095e+06    0.000000e+00    1.386559e+05    0.000000e+00    1.607422e+00    2.479536e+01   -1.117812e-13
   1.305104e-04    4.888485e+06   -5.097403e-01    4.888485e+06    0.000000e+00    1.378373e+05    0.000000e+00    1.607422e+00    2.479525e+01   -1.117789e-13
   1.312850e-04    4.845260e+06   -1.106107e+00    4.845261e+06    0.000000e+00    1.370236e+05    0.000000e+00    1.607422e+00    2.479515e+01   -1.117766e-13
   1.320642e-04    4.802416e+06   -2.066636e+00    4.802418e+06    0.000000e+00    1.362147e+05    0.000000e+00    1.607422e+00    2.479504e+01   -1.117743e-13
   1.328480e-04    4.759954e+06   -4.221459e-01    4.759954e+06    0.000000e+00    1.354106e+05    0.000000e+00    1.607422e+00    2.479493e+01   -1.117719e-13
   1.336364e-04    4.717864e+06   -1.763093e+00    4.717866e+06    0.000000e+00    1.346112e+05    0.000000e+00    1.607422e+00    2.479482e+01   -1.117696e-13
   1.344295e-04    4.676148e+06   -1.377362e+00    4.676150e+06    0.000000e+00    1.338165e+05    0.000000e+00    1.607422e+00    2.479471e+01   -1.117672e-13
   1.352274e-04    4.634801e+06   -5.313875e-01    4.634802e+06    0.000000e+00    1.330265e+05    0.000000e+00    1.607422e+00    2.479460e+01   -1.117648e-13
