# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.906e-11, Err(n_e)=9.763e-11, Err(IET)=2.732e+01, Q_net=6.760e-07
# {"name":"Ar", "Z":18, "Zstar":0.34963303280314406, "A":39.948,  "μ[AU]": 5.6564576368e-04, "Te[AU]": 3.093e-03, "Ti[AU]": 3.093e-03, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.290094e+06    8.911300e-01    7.290093e+06    0.000000e+00    1.799172e+05    0.000000e+00   -4.490537e+00    5.063249e+00   2.171833e-163
   1.005935e-04    7.225646e+06    3.642436e+00    7.225642e+06    0.000000e+00    1.788552e+05    0.000000e+00   -1.138814e+01    5.063233e+00   2.171798e-163
   1.011905e-04    7.161766e+06    5.194882e+00    7.161761e+06    0.000000e+00    1.777995e+05    0.000000e+00   -1.441272e+01    5.063217e+00   2.171763e-163
   1.017911e-04    7.098450e+06    5.563083e+00    7.098444e+06    0.000000e+00    1.767500e+05    0.000000e+00   -1.508371e+01    5.063201e+00   2.171729e-163
   1.023952e-04    7.035692e+06    4.798905e+00    7.035687e+06    0.000000e+00    1.757067e+05    0.000000e+00   -1.367444e+01    5.063185e+00   2.171693e-163
   1.030029e-04    6.973488e+06    2.898709e+00    6.973485e+06    0.000000e+00    1.746696e+05    0.000000e+00   -9.787953e+00    5.063168e+00   2.171658e-163
   1.036142e-04    6.911834e+06    1.274479e+00    6.911833e+06    0.000000e+00    1.736385e+05    0.000000e+00   -5.684260e+00    5.063152e+00   2.171623e-163
   1.042292e-04    6.850729e+06    3.733915e+00    6.850725e+06    0.000000e+00    1.726136e+05    0.000000e+00   -1.157703e+01    5.063135e+00   2.171587e-163
   1.048478e-04    6.790162e+06    5.049234e+00    6.790157e+06    0.000000e+00    1.715947e+05    0.000000e+00   -1.414339e+01    5.063119e+00   2.171551e-163
   1.054700e-04    6.730130e+06    5.254194e+00    6.730125e+06    0.000000e+00    1.705818e+05    0.000000e+00   -1.452248e+01    5.063102e+00   2.171515e-163
   1.060960e-04    6.670628e+06    4.374879e+00    6.670623e+06    0.000000e+00    1.695749e+05    0.000000e+00   -1.286010e+01    5.063085e+00   2.171478e-163
   1.067257e-04    6.611650e+06    2.412881e+00    6.611647e+06    0.000000e+00    1.685739e+05    0.000000e+00   -8.668081e+00    5.063068e+00   2.171442e-163
   1.073591e-04    6.553194e+06    1.590988e+00    6.553193e+06    0.000000e+00    1.675789e+05    0.000000e+00   -6.580643e+00    5.063051e+00   2.171405e-163
   1.079962e-04    6.495259e+06    3.777587e+00    6.495255e+06    0.000000e+00    1.665897e+05    0.000000e+00   -1.166653e+01    5.063034e+00   2.171368e-163
   1.086372e-04    6.437834e+06    4.886898e+00    6.437829e+06    0.000000e+00    1.656063e+05    0.000000e+00   -1.383973e+01    5.063017e+00   2.171331e-163
   1.092819e-04    6.380916e+06    4.931772e+00    6.380911e+06    0.000000e+00    1.646288e+05    0.000000e+00   -1.392453e+01    5.062999e+00   2.171293e-163
   1.099305e-04    6.324499e+06    3.946050e+00    6.324496e+06    0.000000e+00    1.636570e+05    0.000000e+00   -1.200899e+01    5.062982e+00   2.171255e-163
   1.105830e-04    6.268581e+06    1.964295e+00    6.268579e+06    0.000000e+00    1.626910e+05    0.000000e+00   -7.564845e+00    5.062964e+00   2.171218e-163
   1.112393e-04    6.213158e+06    1.871262e+00    6.213156e+06    0.000000e+00    1.617306e+05    0.000000e+00   -7.325872e+00    5.062947e+00   2.171179e-163
   1.118995e-04    6.158228e+06    3.799103e+00    6.158224e+06    0.000000e+00    1.607759e+05    0.000000e+00   -1.171024e+01    5.062929e+00   2.171141e-163
   1.125636e-04    6.103782e+06    4.704643e+00    6.103777e+06    0.000000e+00    1.598269e+05    0.000000e+00   -1.349527e+01    5.062911e+00   2.171102e-163
   1.132316e-04    6.049816e+06    4.611627e+00    6.049811e+06    0.000000e+00    1.588834e+05    0.000000e+00   -1.331756e+01    5.062893e+00   2.171064e-163
   1.139037e-04    5.996326e+06    3.537019e+00    5.996322e+06    0.000000e+00    1.579455e+05    0.000000e+00   -1.116845e+01    5.062875e+00   2.171025e-163
   1.145797e-04    5.943308e+06    1.518579e+00    5.943306e+06    0.000000e+00    1.570132e+05    0.000000e+00   -6.381530e+00    5.062857e+00   2.170985e-163
   1.152597e-04    5.890761e+06    2.087312e+00    5.890759e+06    0.000000e+00    1.560863e+05    0.000000e+00   -7.875077e+00    5.062838e+00   2.170946e-163
   1.159437e-04    5.838679e+06    3.795125e+00    5.838675e+06    0.000000e+00    1.551649e+05    0.000000e+00   -1.170218e+01    5.062820e+00   2.170906e-163
   1.166319e-04    5.787057e+06    4.512803e+00    5.787053e+06    0.000000e+00    1.542490e+05    0.000000e+00   -1.312776e+01    5.062802e+00   2.170866e-163
   1.173241e-04    5.735890e+06    4.289123e+00    5.735886e+06    0.000000e+00    1.533384e+05    0.000000e+00   -1.269195e+01    5.062783e+00   2.170826e-163
   1.180204e-04    5.685175e+06    3.146077e+00    5.685172e+06    0.000000e+00    1.524333e+05    0.000000e+00   -1.033368e+01    5.062764e+00   2.170785e-163
   1.187208e-04    5.634907e+06    1.106296e+00    5.634906e+06    0.000000e+00    1.515334e+05    0.000000e+00   -5.177875e+00    5.062745e+00   2.170745e-163
   1.194254e-04    5.585086e+06    2.276174e+00    5.585084e+06    0.000000e+00    1.506389e+05    0.000000e+00   -8.339787e+00    5.062726e+00   2.170704e-163
   1.201342e-04    5.535706e+06    3.754036e+00    5.535703e+06    0.000000e+00    1.497497e+05    0.000000e+00   -1.161839e+01    5.062707e+00   2.170663e-163
   1.208472e-04    5.486762e+06    4.301559e+00    5.486758e+06    0.000000e+00    1.488657e+05    0.000000e+00   -1.271616e+01    5.062688e+00   2.170621e-163
   1.215644e-04    5.438249e+06    3.967447e+00    5.438245e+06    0.000000e+00    1.479869e+05    0.000000e+00   -1.205238e+01    5.062669e+00   2.170579e-163
   1.222859e-04    5.390165e+06    2.757498e+00    5.390162e+06    0.000000e+00    1.471133e+05    0.000000e+00   -9.469446e+00    5.062649e+00   2.170538e-163
   1.230117e-04    5.342504e+06    6.978819e-01    5.342503e+06    0.000000e+00    1.462448e+05    0.000000e+00   -3.824146e+00    5.062630e+00   2.170495e-163
   1.237417e-04    5.295268e+06    2.422716e+00    5.295266e+06    0.000000e+00    1.453815e+05    0.000000e+00   -8.691498e+00    5.062610e+00   2.170453e-163
   1.244761e-04    5.248450e+06    3.694517e+00    5.248446e+06    0.000000e+00    1.445233e+05    0.000000e+00   -1.149538e+01    5.062591e+00   2.170410e-163
   1.252149e-04    5.202044e+06    4.094192e+00    5.202040e+06    0.000000e+00    1.436701e+05    0.000000e+00   -1.230647e+01    5.062571e+00   2.170367e-163
   1.259580e-04    5.156048e+06    3.659650e+00    5.156044e+06    0.000000e+00    1.428220e+05    0.000000e+00   -1.142368e+01    5.062551e+00   2.170324e-163
   1.267056e-04    5.110457e+06    2.390217e+00    5.110455e+06    0.000000e+00    1.419789e+05    0.000000e+00   -8.613753e+00    5.062531e+00   2.170281e-163
   1.274576e-04    5.065269e+06    5.846984e-01    5.065268e+06    0.000000e+00    1.411407e+05    0.000000e+00   -3.405096e+00    5.062510e+00   2.170237e-163
   1.282140e-04    5.020484e+06    2.517824e+00    5.020481e+06    0.000000e+00    1.403075e+05    0.000000e+00   -8.915878e+00    5.062490e+00   2.170193e-163
   1.289750e-04    4.976094e+06    3.605616e+00    4.976090e+06    0.000000e+00    1.394792e+05    0.000000e+00   -1.131154e+01    5.062470e+00   2.170149e-163
   1.297404e-04    4.932095e+06    3.879537e+00    4.932091e+06    0.000000e+00    1.386558e+05    0.000000e+00   -1.187458e+01    5.062449e+00   2.170104e-163
   1.305104e-04    4.888485e+06    3.341050e+00    4.888482e+06    0.000000e+00    1.378373e+05    0.000000e+00   -1.075403e+01    5.062428e+00   2.170060e-163
   1.312850e-04    4.845259e+06    2.025290e+00    4.845257e+06    0.000000e+00    1.370236e+05    0.000000e+00   -7.719446e+00    5.062407e+00   2.170015e-163
   1.320642e-04    4.802416e+06    8.821442e-01    4.802415e+06    0.000000e+00    1.362146e+05    0.000000e+00   -4.460496e+00    5.062386e+00   2.169969e-163
   1.328480e-04    4.759954e+06    2.602130e+00    4.759951e+06    0.000000e+00    1.354105e+05    0.000000e+00   -9.112443e+00    5.062365e+00   2.169924e-163
   1.336364e-04    4.717866e+06    3.512127e+00    4.717862e+06    0.000000e+00    1.346111e+05    0.000000e+00   -1.111630e+01    5.062344e+00   2.169878e-163
   1.344295e-04    4.676150e+06    3.653987e+00    4.676146e+06    0.000000e+00    1.338164e+05    0.000000e+00   -1.141201e+01    5.062323e+00   2.169832e-163
   1.352274e-04    4.634801e+06    3.037641e+00    4.634798e+06    0.000000e+00    1.330264e+05    0.000000e+00   -1.009639e+01    5.062301e+00   2.169786e-163
   1.360299e-04    4.593818e+06    1.683290e+00    4.593816e+06    0.000000e+00    1.322411e+05    0.000000e+00   -6.830712e+00    5.062280e+00   2.169739e-163
   1.368372e-04    4.553197e+06    1.122275e+00    4.553196e+06    0.000000e+00    1.314604e+05    0.000000e+00   -5.227023e+00    5.062258e+00   2.169692e-163
   1.376494e-04    4.512938e+06    2.637641e+00    4.512935e+06    0.000000e+00    1.306843e+05    0.000000e+00   -9.194624e+00    5.062236e+00   2.169645e-163
   1.384663e-04    4.473033e+06    3.402806e+00    4.473030e+06    0.000000e+00    1.299128e+05    0.000000e+00   -1.088563e+01    5.062214e+00   2.169598e-163
   1.392881e-04    4.433481e+06    3.429807e+00    4.433478e+06    0.000000e+00    1.291458e+05    0.000000e+00   -1.094279e+01    5.062192e+00   2.169550e-163
   1.401148e-04    4.394278e+06    2.743340e+00    4.394275e+06    0.000000e+00    1.283834e+05    0.000000e+00   -9.437248e+00    5.062170e+00   2.169502e-163
   1.409463e-04    4.355420e+06    1.352820e+00    4.355418e+06    0.000000e+00    1.276254e+05    0.000000e+00   -5.912547e+00    5.062147e+00   2.169453e-163
   1.417828e-04    4.316907e+06    1.327979e+00    4.316906e+06    0.000000e+00    1.268720e+05    0.000000e+00   -5.840610e+00    5.062125e+00   2.169405e-163
   1.426243e-04    4.278736e+06    2.661816e+00    4.278733e+06    0.000000e+00    1.261230e+05    0.000000e+00   -9.250517e+00    5.062102e+00   2.169356e-163
   1.434708e-04    4.240901e+06    3.280806e+00    4.240898e+06    0.000000e+00    1.253784e+05    0.000000e+00   -1.062513e+01    5.062080e+00   2.169307e-163
   1.443223e-04    4.203401e+06    3.198608e+00    4.203397e+06    0.000000e+00    1.246381e+05    0.000000e+00   -1.044805e+01    5.062057e+00   2.169257e-163
