# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.154e-11, Err(n_e)=9.666e-11, Err(IET)=2.520e+03, Q_net=6.724e-07
# {"name":"Ar", "Z":18, "Zstar":0.3519432982318662, "A":39.948,  "μ[AU]": 3.4913186833e-04, "Te[AU]": 3.246e-03, "Ti[AU]": 3.246e-03, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -1.023310e-01    3.264837e+00    0.000000e+00
   1.371565e-01   -8.969193e-02    1.392054e+00    0.000000e+00
   2.057347e-01   -8.285600e-02    8.871656e-01    0.000000e+00
   2.743130e-01   -1.205064e-01    5.843486e-01    0.000000e+00
   3.428912e-01   -1.186047e-01    4.478136e-01    0.000000e+00
   4.114694e-01   -1.136421e-01    3.369988e-01    0.000000e+00
   4.800477e-01   -1.102823e-01    2.791570e-01    0.000000e+00
   5.486259e-01   -1.056116e-01    2.248279e-01    0.000000e+00
   6.172042e-01   -1.030300e-01    1.946705e-01    0.000000e+00
   6.857824e-01   -1.000841e-01    1.634399e-01    0.000000e+00
   7.543606e-01   -9.737400e-02    1.455664e-01    0.000000e+00
   8.229389e-01   -9.515348e-02    1.256350e-01    0.000000e+00
   8.915171e-01   -9.354783e-02    1.140331e-01    0.000000e+00
   9.600953e-01   -9.135379e-02    1.003176e-01    0.000000e+00
   1.028674e+00   -8.932380e-02    9.224925e-02    0.000000e+00
   1.097252e+00   -8.760264e-02    8.225938e-02    0.000000e+00
   1.165830e+00   -8.602835e-02    7.633885e-02    0.000000e+00
   1.234408e+00   -8.452209e-02    6.873666e-02    0.000000e+00
   1.302987e+00   -8.309404e-02    6.420476e-02    0.000000e+00
   1.371565e+00   -8.184248e-02    5.821796e-02    0.000000e+00
   1.440143e+00   -8.056748e-02    5.463139e-02    0.000000e+00
   1.508721e+00   -7.942014e-02    4.978740e-02    0.000000e+00
   1.577299e+00   -7.827328e-02    4.687301e-02    0.000000e+00
   1.645878e+00   -7.723539e-02    4.286813e-02    0.000000e+00
   1.714456e+00   -7.624191e-02    4.044964e-02    0.000000e+00
   1.783034e+00   -7.528532e-02    3.708029e-02    0.000000e+00
   1.851612e+00   -7.440682e-02    3.503918e-02    0.000000e+00
   1.920191e+00   -7.356404e-02    3.216386e-02    3.273573e-01
   1.988769e+00   -7.267648e-02    3.041755e-02    8.182904e-01
   2.057347e+00   -7.190734e-02    2.793476e-02    1.536899e+00
   2.125925e+00   -7.110663e-02    2.642387e-02    1.956911e+00
   2.194504e+00   -7.036322e-02    2.425877e-02    2.579180e+00
   2.263082e+00   -6.966707e-02    2.293940e-02    2.941657e+00
   2.331660e+00   -6.896863e-02    2.103553e-02    3.484859e+00
   2.400238e+00   -6.828362e-02    1.987443e-02    3.799927e+00
   2.468817e+00   -6.762551e-02    1.818827e-02    4.277365e+00
   2.537395e+00   -6.699170e-02    1.715976e-02    4.552847e+00
   2.605973e+00   -6.637933e-02    1.565718e-02    4.974950e+00
   2.674551e+00   -6.578588e-02    1.474102e-02    5.216998e+00
   2.743130e+00   -6.521080e-02    1.339484e-02    5.592070e+00
   2.811708e+00   -6.465304e-02    1.257488e-02    5.805599e+00
   2.880286e+00   -6.409410e-02    1.136314e-02    6.140338e+00
   2.948864e+00   -6.354983e-02    1.062626e-02    6.329329e+00
   3.017443e+00   -6.302666e-02    9.531035e-03    6.629208e+00
   3.086021e+00   -6.252468e-02    8.866494e-03    6.796922e+00
   3.154599e+00   -6.201956e-02    7.872969e-03    7.066456e+00
   3.223177e+00   -6.152710e-02    7.271854e-03    7.215592e+00
   3.291755e+00   -6.105698e-02    6.367681e-03    7.458543e+00
   3.360334e+00   -6.058238e-02    5.822538e-03    7.591359e+00
   3.428912e+00   -6.012525e-02    4.997336e-03    7.810886e+00
   3.497490e+00   -5.967732e-02    4.501874e-03    7.929283e+00
   3.566068e+00   -5.923385e-02    3.746848e-03    8.128061e+00
   3.634647e+00   -5.880572e-02    3.295719e-03    8.233652e+00
   3.703225e+00   -5.837718e-02    2.603362e-03    8.413961e+00
   3.771803e+00   -5.796371e-02    2.191990e-03    8.508126e+00
   3.840381e+00   -5.755168e-02    1.555859e-03    8.671921e+00
   3.908960e+00   -5.715029e-02    1.180299e-03    8.755844e+00
   3.977538e+00   -5.675555e-02    5.948263e-04    8.904811e+00
   4.046116e+00   -5.636441e-02    2.516622e-04    8.979520e+00
   4.114694e+00   -5.598535e-02   -2.879863e-04    9.115121e+00
   4.183273e+00   -5.560507e-02   -6.017319e-04    9.181505e+00
   4.251851e+00   -5.523463e-02   -1.099776e-03    9.305017e+00
   4.320429e+00   -5.487108e-02   -1.386710e-03    9.363854e+00
   4.389007e+00   -5.450821e-02   -1.846852e-03    9.476392e+00
   4.457586e+00   -5.415397e-02   -2.109267e-03    9.528366e+00
   4.526164e+00   -5.380575e-02   -2.534769e-03    9.630910e+00
   4.594742e+00   -5.345819e-02   -2.774690e-03    9.676622e+00
   4.663320e+00   -5.311762e-02   -3.168436e-03    9.770041e+00
   4.731898e+00   -5.278325e-02   -3.387662e-03    9.810023e+00
   4.800477e+00   -5.245080e-02   -3.752216e-03    9.895083e+00
   4.869055e+00   -5.212199e-02   -3.952349e-03    9.929807e+00
   4.937633e+00   -5.179896e-02   -4.289995e-03    1.000719e+01
   5.006211e+00   -5.148064e-02   -4.472466e-03    1.003708e+01
   5.074790e+00   -5.116486e-02   -4.785249e-03    1.010740e+01
   5.143368e+00   -5.085193e-02   -4.951344e-03    1.013282e+01
   5.211946e+00   -5.054336e-02   -5.241100e-03    1.019662e+01
   5.280524e+00   -5.023880e-02   -5.391976e-03    1.021792e+01
   5.349103e+00   -4.993799e-02   -5.660357e-03    1.027569e+01
   5.417681e+00   -4.964010e-02   -5.797060e-03    1.029317e+01
   5.486259e+00   -4.934434e-02   -6.045561e-03    1.034536e+01
   5.554837e+00   -4.905214e-02   -6.169038e-03    1.035929e+01
   5.623416e+00   -4.876318e-02   -6.399012e-03    1.040628e+01
   5.691994e+00   -4.847735e-02   -6.510125e-03    1.041691e+01
   5.760572e+00   -4.819450e-02   -6.722801e-03    1.045907e+01
   5.829150e+00   -4.791449e-02   -6.822335e-03    1.046663e+01
   5.897729e+00   -4.763718e-02   -7.018835e-03    1.050429e+01
   5.966307e+00   -4.736238e-02   -7.107508e-03    1.050897e+01
