   ni[AU]          T[K]            Ke[AU]          Ue[AU]          Ee[AU]          Pe[AU]          Zbar           
   9.252571e-05    2.900000e+02    6.534403e+02   -1.281595e+03   -6.281544e+02    1.498672e-12    3.938596e-01
   9.252571e-05    3.044317e+02    6.534924e+02   -1.281600e+03   -6.281074e+02    1.504149e-16    2.616935e-01
   9.252571e-05    3.195817e+02    6.534824e+02   -1.281585e+03   -6.281022e+02    5.404255e-16    2.700615e-01
   9.252571e-05    3.354855e+02    6.535436e+02   -1.281595e+03   -6.280511e+02    3.535268e-17    2.030022e-01
   9.252571e-05    3.521808e+02    6.576207e+02   -1.281577e+03   -6.239559e+02    5.352376e-05    7.107735e-02
   9.252571e-05    3.697069e+02    6.536976e+02   -1.281586e+03   -6.278879e+02    1.156775e-18    8.850678e-02
   9.252571e-05    3.881053e+02    6.534668e+02   -1.281605e+03   -6.281386e+02    4.324618e-13    3.285306e-01
   9.252571e-05    4.074192e+02    6.535932e+02   -1.281576e+03   -6.279831e+02    1.642879e-16    1.551671e-01
   9.252571e-05    4.276942e+02    6.535921e+02   -1.281576e+03   -6.279841e+02    4.362048e-16    1.564226e-01
   9.252571e-05    4.489782e+02    6.534913e+02   -1.281605e+03   -6.281141e+02    4.754894e-12    3.318583e-01
   9.252571e-05    4.713214e+02    6.535023e+02   -1.281600e+03   -6.280975e+02    3.014004e-13    2.715393e-01
   9.252571e-05    4.947766e+02    6.535433e+02   -1.281595e+03   -6.280513e+02    4.928653e-14    2.125026e-01
   9.252571e-05    5.193989e+02    6.536013e+02   -1.281590e+03   -6.279885e+02    1.267999e-14    1.550935e-01
   9.252571e-05    5.452466e+02    6.537676e+02   -1.281569e+03   -6.278018e+02    9.838430e-16    5.658319e-02
   9.252571e-05    5.723806e+02    6.536633e+02   -1.281573e+03   -6.279093e+02    1.285609e-14    1.087619e-01
   9.252571e-05    6.008649e+02    6.535458e+02   -1.281580e+03   -6.280344e+02    1.252554e-12    2.256657e-01
   9.252571e-05    6.307667e+02    6.535578e+02   -1.281600e+03   -6.280419e+02    2.888855e-11    2.796331e-01
   9.252571e-05    6.621565e+02    6.535668e+02   -1.281595e+03   -6.280277e+02    4.327423e-12    2.217254e-01
   9.252571e-05    6.951084e+02    6.536004e+02   -1.281576e+03   -6.279758e+02    1.550779e-12    1.723181e-01
   9.252571e-05    7.297002e+02    6.573970e+02   -1.281570e+03   -6.241734e+02    4.352315e-05    6.314323e-02
   9.252571e-05    7.660135e+02    6.537394e+02   -1.281569e+03   -6.278299e+02    3.503069e-13    7.382434e-02
   9.252571e-05    8.041338e+02    6.537507e+02   -1.281581e+03   -6.278308e+02    6.424887e-13    7.160085e-02
   9.252571e-05    8.441512e+02    6.536508e+02   -1.281594e+03   -6.279436e+02    1.775069e-10    2.287853e-01
   9.252571e-05    8.861601e+02    6.536771e+02   -1.281573e+03   -6.278954e+02    1.091839e-11    1.295194e-01
   9.252571e-05    9.302594e+02    6.536704e+02   -1.281590e+03   -6.279193e+02    8.811565e-11    1.779454e-01
   9.252571e-05    9.765534e+02    6.538179e+02   -1.281578e+03   -6.277598e+02    3.716701e-12    5.000892e-02
   9.252571e-05    1.025151e+03    6.537226e+02   -1.281590e+03   -6.278670e+02    3.662251e-10    1.803448e-01
   9.252571e-05    1.076167e+03    6.537640e+02   -1.281581e+03   -6.278173e+02    4.049586e-11    9.141154e-02
   9.252571e-05    1.129722e+03    6.538158e+02   -1.281576e+03   -6.277599e+02    1.830768e-09    1.810903e-01
   9.252571e-05    1.185943e+03    6.538135e+02   -1.281566e+03   -6.277526e+02    5.991631e-11    6.885070e-02
   9.252571e-05    1.244961e+03    6.538184e+02   -1.281585e+03   -6.277666e+02    1.007277e-09    1.390021e-01
   9.252571e-05    1.306916e+03    6.538412e+02   -1.281578e+03   -6.277364e+02    1.930409e-10    7.296032e-02
