# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.977e-11, Err(n_e)=9.534e-11, Err(IET)=9.370e-13, Q_net=3.118e-07
# {"name":"Ar", "Z":18, "Zstar":0.5802854177530214, "A":39.948,  "μ[AU]": -1.3922148461e-01, "Te[AU]": 4.259e-02, "Ti[AU]": 4.259e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02    7.928860e-01    8.385967e+00    5.785150e-12
   1.371565e-01    2.392536e+00    2.995749e+00    6.270651e-12
   2.057347e-01    6.297811e-01    1.965334e+00    6.362022e-12
   2.743130e-01   -1.499701e-01    1.232982e+00    6.767920e-12
   3.428912e-01   -1.577936e-01    9.993737e-01    8.874979e-11
   4.114694e-01   -1.627600e-01    7.458851e-01    3.165621e-08
   4.800477e-01   -1.605904e-01    6.541109e-01    2.730122e-07
   5.486259e-01   -1.610252e-01    5.285797e-01    5.202413e-06
   6.172042e-01   -1.589139e-01    4.802830e-01    1.616629e-05
   6.857824e-01   -1.565093e-01    4.049967e-01    9.467487e-05
   7.543606e-01   -1.547228e-01    3.748538e-01    1.920818e-04
   8.229389e-01   -1.522154e-01    3.243358e-01    6.287901e-04
   8.915171e-01   -1.498140e-01    3.035138e-01    1.024901e-03
   9.600953e-01   -1.487226e-01    2.671251e-01    2.407624e-03
   1.028674e+00   -1.465766e-01    2.517964e-01    3.449216e-03
   1.097252e+00   -1.449784e-01    2.242904e-01    6.576881e-03
   1.165830e+00   -1.442081e-01    2.125104e-01    8.668405e-03
   1.234408e+00   -1.420312e-01    1.909781e-01    1.436470e-02
   1.302987e+00   -1.406656e-01    1.816392e-01    1.787712e-02
   1.371565e+00   -1.394822e-01    1.643268e-01    2.682862e-02
   1.440143e+00   -1.381901e-01    1.567452e-01    3.203727e-02
   1.508721e+00   -1.369463e-01    1.425279e-01    4.470636e-02
   1.577299e+00   -1.355151e-01    1.362558e-01    5.176659e-02
   1.645878e+00   -1.342799e-01    1.243777e-01    6.837344e-02
   1.714456e+00   -1.332028e-01    1.191086e-01    7.732441e-02
   1.783034e+00   -1.321879e-01    1.090420e-01    9.787219e-02
   1.851612e+00   -1.308381e-01    1.045588e-01    1.086557e-01
   1.920191e+00   -1.299478e-01    9.592414e-02    1.329753e-01
   1.988769e+00   -1.286441e-01    9.206862e-02    1.454597e-01
   2.057347e+00   -1.275627e-01    8.458581e-02    1.732583e-01
   2.125925e+00   -1.265464e-01    8.123980e-02    1.872620e-01
   2.194504e+00   -1.255237e-01    7.469765e-02    2.181668e-01
   2.263082e+00   -1.244873e-01    7.177119e-02    2.334781e-01
   2.331660e+00   -1.235099e-01    6.600738e-02    2.670721e-01
   2.400238e+00   -1.226880e-01    6.343074e-02    2.834654e-01
   2.468817e+00   -1.216248e-01    5.831849e-02    3.193152e-01
   2.537395e+00   -1.208427e-01    5.603677e-02    3.365622e-01
   2.605973e+00   -1.198498e-01    5.147561e-02    3.742377e-01
   2.674551e+00   -1.189532e-01    4.944501e-02    3.921166e-01
   2.743130e+00   -1.180973e-01    4.535427e-02    4.312046e-01
   2.811708e+00   -1.172871e-01    4.353940e-02    4.495052e-01
   2.880286e+00   -1.164217e-01    3.985356e-02    4.896184e-01
   2.948864e+00   -1.156165e-01    3.822553e-02    5.081457e-01
   3.017443e+00   -1.147817e-01    3.489084e-02    5.489279e-01
   3.086021e+00   -1.139857e-01    3.342581e-02    5.675040e-01
   3.154599e+00   -1.131596e-01    3.039772e-02    6.086323e-01
   3.223177e+00   -1.123651e-01    2.907583e-02    6.270974e-01
   3.291755e+00   -1.115576e-01    2.631715e-02    6.682830e-01
   3.360334e+00   -1.107710e-01    2.512175e-02    6.864953e-01
   3.428912e+00   -1.099750e-01    2.260113e-02    7.274828e-01
   3.497490e+00   -1.091784e-01    2.151812e-02    7.453181e-01
   3.566068e+00   -1.083907e-01    1.920899e-02    7.858841e-01
   3.634647e+00   -1.076078e-01    1.822637e-02    8.032348e-01
   3.703225e+00   -1.068294e-01    1.610603e-02    8.431861e-01
   3.771803e+00   -1.060583e-01    1.521351e-02    8.599601e-01
   3.840381e+00   -1.052944e-01    1.326245e-02    8.991311e-01
   3.908960e+00   -1.045394e-01    1.245115e-02    9.152509e-01
   3.977538e+00   -1.037941e-01    1.065252e-02    9.535017e-01
   4.046116e+00   -1.030593e-01    9.914745e-03    9.689030e-01
   4.114694e+00   -1.023348e-01    8.253897e-03    1.006117e+00
   4.183273e+00   -1.016214e-01    7.582926e-03    1.020747e+00
   4.251851e+00   -1.009184e-01    6.047078e-03    1.056828e+00
   4.320429e+00   -1.002264e-01    5.437024e-03    1.070647e+00
   4.389007e+00   -9.954438e-02    4.014957e-03    1.105517e+00
   4.457586e+00   -9.887238e-02    3.460633e-03    1.118492e+00
   4.526164e+00   -9.820989e-02    2.142463e-03    1.152092e+00
   4.594742e+00   -9.755658e-02    1.639282e-03    1.164201e+00
   4.663320e+00   -9.691187e-02    4.162622e-04    1.196485e+00
   4.731898e+00   -9.627533e-02   -3.985087e-05    1.207712e+00
   4.800477e+00   -9.564659e-02   -1.175492e-03    1.238647e+00
