# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.991e-11, Err(n_e)=9.052e-11, Err(IET)=inf, Q_net=2.137e-07
# {"name":"Ar", "Z":18, "Zstar":0.10826161303503312, "A":39.948,  "μ[AU]": -2.1081748382e-02, "Te[AU]": 4.561e-03, "Ti[AU]": 4.561e-03, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -9.247998e-02    3.133065e-01    1.001000e+03
   1.371565e-01   -7.007459e-02    1.247914e-01    1.001000e+03
   2.057347e-01   -6.417183e-02    8.498499e-02    1.001000e+03
   2.743130e-01   -6.358224e-02    5.810999e-02    1.001000e+03
   3.428912e-01   -5.949018e-02    4.858099e-02    1.001000e+03
   4.114694e-01   -5.507825e-02    3.923346e-02    1.001000e+03
   4.800477e-01   -5.205769e-02    3.548104e-02    1.001000e+03
   5.486259e-01   -4.938140e-02    3.093444e-02    1.001000e+03
   6.172042e-01   -4.747391e-02    2.901172e-02    1.001000e+03
   6.857824e-01   -4.572201e-02    2.634107e-02    1.001000e+03
   7.543606e-01   -4.423477e-02    2.517512e-02    1.001000e+03
   8.229389e-01   -4.301272e-02    2.340942e-02    1.001000e+03
   8.915171e-01   -4.195779e-02    2.261925e-02    1.001000e+03
   9.600953e-01   -4.098445e-02    2.135727e-02    1.001000e+03
   1.028674e+00   -4.012981e-02    2.078045e-02    1.001000e+03
   1.097252e+00   -3.938257e-02    1.982875e-02    1.001000e+03
   1.165830e+00   -3.871380e-02    1.938553e-02    1.001000e+03
   1.234408e+00   -3.809963e-02    1.863940e-02    1.001000e+03
   1.302987e+00   -3.754292e-02    1.828598e-02    1.001000e+03
   1.371565e+00   -3.703150e-02    1.768355e-02    1.001000e+03
   1.440143e+00   -3.655746e-02    1.739369e-02    1.001000e+03
   1.508721e+00   -3.611968e-02    1.689585e-02    1.001000e+03
   1.577299e+00   -3.570733e-02    1.665271e-02    1.001000e+03
   1.645878e+00   -3.531960e-02    1.623340e-02    1.001000e+03
   1.714456e+00   -3.495510e-02    1.602562e-02    1.001000e+03
   1.783034e+00   -3.460955e-02    1.566676e-02    1.001000e+03
   1.851612e+00   -3.427989e-02    1.548636e-02    1.001000e+03
   1.920191e+00   -3.395904e-02    1.517499e-02    1.001000e+03
   1.988769e+00   -3.365740e-02    1.501618e-02    1.001000e+03
   2.057347e+00   -3.336019e-02    1.474274e-02    1.001000e+03
   2.125925e+00   -3.307905e-02    1.460121e-02    1.001000e+03
   2.194504e+00   -3.279576e-02    1.435852e-02    1.001000e+03
   2.263082e+00   -3.252890e-02    1.423099e-02    1.001000e+03
   2.331660e+00   -3.226360e-02    1.401353e-02    1.001000e+03
   2.400238e+00   -3.199842e-02    1.389746e-02    1.001000e+03
   2.468817e+00   -3.173794e-02    1.370092e-02    1.001000e+03
   2.537395e+00   -3.148645e-02    1.359433e-02    1.001000e+03
   2.605973e+00   -3.123427e-02    1.341529e-02    1.001000e+03
   2.674551e+00   -3.098147e-02    1.331657e-02    1.001000e+03
   2.743130e+00   -3.072783e-02    1.315230e-02    1.001000e+03
   2.811708e+00   -3.047161e-02    1.306019e-02    1.001000e+03
   2.880286e+00   -3.021441e-02    1.290845e-02    1.001000e+03
   2.948864e+00   -2.995381e-02    1.282189e-02    1.001000e+03
   3.017443e+00   -2.969341e-02    1.268088e-02    1.001000e+03
   3.086021e+00   -2.942641e-02    1.259901e-02    1.001000e+03
   3.154599e+00   -2.914988e-02    1.246722e-02    1.001000e+03
   3.223177e+00   -2.886743e-02    1.238933e-02    1.001000e+03
   3.291755e+00   -2.857872e-02    1.226548e-02    1.001000e+03
   3.360334e+00   -2.827650e-02    1.219097e-02    1.001000e+03
   3.428912e+00   -2.796594e-02    1.207402e-02    1.001000e+03
   3.497490e+00   -2.764212e-02    1.200239e-02    1.001000e+03
   3.566068e+00   -2.730299e-02    1.189144e-02    1.001000e+03
   3.634647e+00   -2.694919e-02    1.182226e-02    1.001000e+03
   3.703225e+00   -2.658025e-02    1.171655e-02    1.001000e+03
   3.771803e+00   -2.619210e-02    1.164945e-02    1.001000e+03
   3.840381e+00   -2.578970e-02    1.154833e-02    1.001000e+03
   3.908960e+00   -2.536449e-02    1.148300e-02    1.001000e+03
   3.977538e+00   -3.966865e-02    1.138590e-02    1.001000e+03
   4.046116e+00   -4.271856e-02    1.132207e-02    1.001000e+03
   4.114694e+00   -4.225941e-02    1.122850e-02    1.001000e+03
   4.183273e+00   -4.181523e-02    1.116595e-02    1.001000e+03
   4.251851e+00   -4.138527e-02    1.107548e-02    1.001000e+03
   4.320429e+00   -4.096921e-02    1.101400e-02    1.001000e+03
   4.389007e+00   -4.056613e-02    1.092628e-02    1.001000e+03
   4.457586e+00   -4.017527e-02    1.086568e-02    1.001000e+03
   4.526164e+00   -3.979645e-02    1.078037e-02    1.001000e+03
   4.594742e+00   -3.942880e-02    1.072051e-02    1.001000e+03
   4.663320e+00   -3.907202e-02    1.063733e-02    1.001000e+03
   4.731898e+00   -3.872547e-02    1.057807e-02    1.001000e+03
   4.800477e+00   -3.838908e-02    1.049678e-02    1.001000e+03
   4.869055e+00   -3.806172e-02    1.043800e-02    1.001000e+03
   4.937633e+00   -3.774402e-02    1.035836e-02    1.001000e+03
   5.006211e+00   -3.743475e-02    1.029996e-02    1.001000e+03
   5.074790e+00   -3.713376e-02    1.022178e-02    1.001000e+03
   5.143368e+00   -3.684095e-02    1.016366e-02    1.001000e+03
   5.211946e+00   -3.655575e-02    1.008677e-02    1.001000e+03
   5.280524e+00   -3.627796e-02    1.002886e-02    1.001000e+03
   5.349103e+00   -3.600734e-02    9.953090e-03    1.001000e+03
   5.417681e+00   -3.574339e-02    9.895310e-03    1.001000e+03
   5.486259e+00   -3.548626e-02    9.820533e-03    1.001000e+03
   5.554837e+00   -3.523553e-02    9.762821e-03    1.001000e+03
   5.623416e+00   -3.499069e-02    9.688910e-03    1.001000e+03
   5.691994e+00   -3.475198e-02    9.631211e-03    1.001000e+03
   5.760572e+00   -3.451874e-02    9.558053e-03    1.001000e+03
   5.829150e+00   -3.429114e-02    9.500318e-03    1.001000e+03
   5.897729e+00   -3.406873e-02    9.427815e-03    1.001000e+03
   5.966307e+00   -3.385151e-02    9.369999e-03    1.001000e+03
   6.034885e+00   -3.363912e-02    9.298061e-03    1.001000e+03
   6.103463e+00   -3.343161e-02    9.240127e-03    1.001000e+03
   6.172042e+00   -3.322849e-02    9.168674e-03    1.001000e+03
   6.240620e+00   -3.303017e-02    9.110588e-03    1.001000e+03
   6.309198e+00   -3.283588e-02    9.039549e-03    1.001000e+03
   6.377776e+00   -3.264611e-02    8.981281e-03    1.001000e+03
   6.446354e+00   -3.246012e-02    8.910591e-03    1.001000e+03
   6.514933e+00   -3.227799e-02    8.852116e-03    1.001000e+03
   6.583511e+00   -3.209981e-02    8.781718e-03    1.001000e+03
   6.652089e+00   -3.192520e-02    8.723013e-03    1.001000e+03
   6.720667e+00   -3.175429e-02    8.652856e-03    1.001000e+03
   6.789246e+00   -3.158675e-02    8.593903e-03    1.001000e+03
   6.857824e+00   -3.142238e-02    8.523939e-03    1.001000e+03
   6.926402e+00   -3.126160e-02    8.464722e-03    1.001000e+03
   6.994980e+00   -3.110385e-02    8.394911e-03    1.001000e+03
   7.063559e+00   -3.094899e-02    8.335417e-03    1.001000e+03
   7.132137e+00   -3.079730e-02    8.265722e-03    1.001000e+03
   7.200715e+00   -3.064849e-02    8.205938e-03    1.001000e+03
   7.269293e+00   -3.050245e-02    8.136327e-03    1.001000e+03
   7.337872e+00   -3.035900e-02    8.076245e-03    1.001000e+03
   7.406450e+00   -3.021841e-02    8.006688e-03    1.001000e+03
   7.475028e+00   -3.008045e-02    7.946301e-03    1.001000e+03
   7.543606e+00   -2.994470e-02    7.876774e-03    1.001000e+03
   7.612185e+00   -2.981157e-02    7.816076e-03    1.001000e+03
   7.680763e+00   -2.968081e-02    7.746555e-03    1.001000e+03
   7.749341e+00   -2.955255e-02    7.685544e-03    1.001000e+03
   7.817919e+00   -2.942621e-02    7.616011e-03    1.001000e+03
   7.886497e+00   -2.930220e-02    7.554684e-03    1.001000e+03
   7.955076e+00   -2.918032e-02    7.485121e-03    1.001000e+03
   8.023654e+00   -2.906074e-02    7.423478e-03    1.001000e+03
   8.092232e+00   -2.894296e-02    7.353871e-03    1.001000e+03
   8.160810e+00   -2.882715e-02    7.291912e-03    1.001000e+03
   8.229389e+00   -2.871321e-02    7.222249e-03    1.001000e+03
   8.297967e+00   -2.860128e-02    7.159976e-03    1.001000e+03
   8.366545e+00   -2.849134e-02    7.090247e-03    1.001000e+03
   8.435123e+00   -2.838298e-02    7.027664e-03    1.001000e+03
   8.503702e+00   -2.827637e-02    6.957860e-03    1.001000e+03
   8.572280e+00   -2.817141e-02    6.894970e-03    1.001000e+03
   8.640858e+00   -2.806811e-02    6.825085e-03    1.001000e+03
   8.709436e+00   -2.796669e-02    6.761894e-03    1.001000e+03
   8.778015e+00   -2.786678e-02    6.691923e-03    1.001000e+03
   8.846593e+00   -2.776828e-02    6.628437e-03    1.001000e+03
   8.915171e+00   -2.767133e-02    6.558377e-03    1.001000e+03
   8.983749e+00   -2.757582e-02    6.494602e-03    1.001000e+03
   9.052328e+00   -2.748173e-02    6.424451e-03    1.001000e+03
   9.120906e+00   -2.738918e-02    6.360395e-03    1.001000e+03
   9.189484e+00   -2.729812e-02    6.290152e-03    1.001000e+03
   9.258062e+00   -2.720831e-02    6.225823e-03    1.001000e+03
   9.326640e+00   -2.711973e-02    6.155489e-03    1.001000e+03
   9.395219e+00   -2.703240e-02    6.090896e-03    1.001000e+03
   9.463797e+00   -2.694640e-02    6.020472e-03    1.001000e+03
   9.532375e+00   -2.686160e-02    5.955626e-03    1.001000e+03
   9.600953e+00   -2.677811e-02    5.885115e-03    1.001000e+03
   9.669532e+00   -2.669579e-02    5.820024e-03    1.001000e+03
   9.738110e+00   -2.661467e-02    5.749431e-03    1.001000e+03
   9.806688e+00   -2.653468e-02    5.684107e-03    1.001000e+03
   9.875266e+00   -2.645575e-02    5.613435e-03    1.001000e+03
   9.943845e+00   -2.637785e-02    5.547890e-03    1.001000e+03
   1.001242e+01   -2.630097e-02    5.477144e-03    1.001000e+03
   1.008100e+01   -2.622509e-02    5.411390e-03    1.001000e+03
   1.014958e+01   -2.615037e-02    5.340578e-03    1.001000e+03
   1.021816e+01   -2.607678e-02    5.274626e-03    1.001000e+03
   1.028674e+01   -2.600414e-02    5.203755e-03    1.001000e+03
   1.035531e+01   -2.593242e-02    5.137620e-03    1.001000e+03
   1.042389e+01   -2.586162e-02    5.066697e-03    9.899463e+02
   1.049247e+01   -2.579171e-02    5.000392e-03    9.710742e+02
   1.056105e+01   -2.572269e-02    4.929427e-03    9.522333e+02
   1.062963e+01   -2.565453e-02    4.862965e-03    9.334239e+02
   1.069821e+01   -2.558723e-02    4.791969e-03    9.146503e+02
   1.076678e+01   -2.552082e-02    4.725364e-03    8.959124e+02
   1.083536e+01   -2.545524e-02    4.654346e-03    8.772146e+02
   1.090394e+01   -2.539059e-02    4.587614e-03    8.585570e+02
   1.097252e+01   -2.532677e-02    4.516584e-03    8.399436e+02
   1.104110e+01   -2.526373e-02    4.449741e-03    8.213747e+02
   1.110967e+01   -2.520145e-02    4.378711e-03    8.028542e+02
   1.117825e+01   -2.513992e-02    4.311772e-03    7.843825e+02
   1.124683e+01   -2.507913e-02    4.240754e-03    7.659634e+02
   1.131541e+01   -2.501906e-02    4.173735e-03    7.475972e+02
   1.138399e+01   -2.495970e-02    4.102741e-03    7.292878e+02
   1.145257e+01   -2.490104e-02    4.035658e-03    7.110354e+02
   1.152114e+01   -2.484307e-02    3.964702e-03    6.928439e+02
   1.158972e+01   -2.478577e-02    3.897571e-03    6.747135e+02
   1.165830e+01   -2.472914e-02    3.826665e-03    6.566480e+02
   1.172688e+01   -2.467316e-02    3.759504e-03    6.386476e+02
   1.179546e+01   -2.461788e-02    3.688663e-03    6.207161e+02
