# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.991e-11, Err(n_e)=9.052e-11, Err(IET)=inf, Q_net=2.137e-07
# {"name":"Ar", "Z":18, "Zstar":0.10826161303503312, "A":39.948,  "μ[AU]": -2.1081748382e-02, "Te[AU]": 4.561e-03, "Ti[AU]": 4.561e-03, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298703e+06    9.476315e+00    7.298694e+06    0.000000e+00    1.799152e+05   -1.434897e+02   -1.987427e+01    5.015467e-01    1.001000e+03
   1.005935e-04    7.234195e+06    2.654648e+00    7.234192e+06    0.000000e+00    1.788533e+05   -1.430663e+02   -8.170701e+00    5.015451e-01    1.001000e+03
   1.011905e-04    7.170268e+06    8.236380e+00    7.170260e+06    0.000000e+00    1.777975e+05   -1.426442e+02   -1.803350e+01    5.015434e-01    1.001000e+03
   1.017911e-04    7.106901e+06    8.509550e+00    7.106893e+06    0.000000e+00    1.767480e+05   -1.422234e+02   -1.844625e+01    5.015418e-01    1.001000e+03
   1.023952e-04    7.044087e+06    1.686099e+00    7.044086e+06    0.000000e+00    1.757047e+05   -1.418037e+02   -5.922640e+00    5.015401e-01    1.001000e+03
   1.030029e-04    6.981842e+06    8.884566e+00    6.981834e+06    0.000000e+00    1.746676e+05   -1.413854e+02   -1.900643e+01    5.015385e-01    1.001000e+03
   1.036142e-04    6.920139e+06    7.145365e+00    6.920131e+06    0.000000e+00    1.736366e+05   -1.409682e+02   -1.634047e+01    5.015368e-01    1.001000e+03
   1.042292e-04    6.858978e+06    4.018237e+00    6.858974e+06    0.000000e+00    1.726116e+05   -1.405523e+02   -1.093542e+01    5.015351e-01    1.001000e+03
   1.048478e-04    6.798367e+06    9.031031e+00    6.798358e+06    0.000000e+00    1.715927e+05   -1.401376e+02   -1.922198e+01    5.015334e-01    1.001000e+03
   1.054700e-04    6.738282e+06    5.411261e+00    6.738277e+06    0.000000e+00    1.705799e+05   -1.397241e+02   -1.346561e+01    5.015317e-01    1.001000e+03
   1.060960e-04    6.678732e+06    5.786549e+00    6.678727e+06    0.000000e+00    1.695729e+05   -1.393118e+02   -1.410987e+01    5.015300e-01    1.001000e+03
   1.067257e-04    6.619712e+06    8.753460e+00    6.619703e+06    0.000000e+00    1.685720e+05   -1.389008e+02   -1.881073e+01    5.015282e-01    1.001000e+03
   1.073591e-04    6.561204e+06    3.340491e+00    6.561200e+06    0.000000e+00    1.675769e+05   -1.384910e+02   -9.605911e+00    5.015265e-01    1.001000e+03
   1.079962e-04    6.503222e+06    7.027544e+00    6.503215e+06    0.000000e+00    1.665877e+05   -1.380824e+02   -1.615191e+01    5.015247e-01    1.001000e+03
   1.086372e-04    6.445750e+06    8.058503e+00    6.445742e+06    0.000000e+00    1.656044e+05   -1.376750e+02   -1.776316e+01    5.015230e-01    1.001000e+03
   1.092819e-04    6.388777e+06    9.433042e-01    6.388776e+06    0.000000e+00    1.646268e+05   -1.372687e+02   -3.906473e+00    5.015212e-01    1.001000e+03
   1.099305e-04    6.332322e+06    7.804016e+00    6.332314e+06    0.000000e+00    1.636550e+05   -1.368638e+02   -1.737204e+01    5.015194e-01    1.001000e+03
   1.105830e-04    6.276358e+06    6.975090e+00    6.276351e+06    0.000000e+00    1.626890e+05   -1.364600e+02   -1.606868e+01    5.015176e-01    1.001000e+03
   1.112393e-04    6.220886e+06    2.825070e+00    6.220883e+06    0.000000e+00    1.617286e+05   -1.360573e+02   -8.537293e+00    5.015158e-01    1.001000e+03
   1.118995e-04    6.165912e+06    8.115877e+00    6.165904e+06    0.000000e+00    1.607739e+05   -1.356560e+02   -1.785080e+01    5.015140e-01    1.001000e+03
   1.125636e-04    6.111417e+06    5.544111e+00    6.111412e+06    0.000000e+00    1.598249e+05   -1.352557e+02   -1.369527e+01    5.015122e-01    1.001000e+03
   1.132316e-04    6.057405e+06    4.605284e+00    6.057400e+06    0.000000e+00    1.588814e+05   -1.348566e+02   -1.203128e+01    5.015103e-01    1.001000e+03
   1.139037e-04    6.003874e+06    8.013374e+00    6.003866e+06    0.000000e+00    1.579435e+05   -1.344588e+02   -1.769379e+01    5.015085e-01    1.001000e+03
   1.145797e-04    5.950809e+06    3.804639e+00    5.950806e+06    0.000000e+00    1.570112e+05   -1.340620e+02   -1.052503e+01    5.015066e-01    1.001000e+03
   1.152597e-04    5.898219e+06    5.907874e+00    5.898213e+06    0.000000e+00    1.560843e+05   -1.336665e+02   -1.431549e+01    5.015048e-01    1.001000e+03
   1.159437e-04    5.846094e+06    7.541493e+00    5.846086e+06    0.000000e+00    1.551630e+05   -1.332722e+02   -1.696415e+01    5.015029e-01    1.001000e+03
   1.166319e-04    5.794421e+06    1.782893e+00    5.794419e+06    0.000000e+00    1.542470e+05   -1.328789e+02   -6.162642e+00    5.015010e-01    1.001000e+03
   1.173241e-04    5.743216e+06    6.766990e+00    5.743209e+06    0.000000e+00    1.533365e+05   -1.324869e+02   -1.573385e+01    5.014991e-01    1.001000e+03
   1.180204e-04    5.692458e+06    6.709021e+00    5.692451e+06    0.000000e+00    1.524313e+05   -1.320960e+02   -1.564027e+01    5.014972e-01    1.001000e+03
   1.187208e-04    5.642144e+06    1.733224e+00    5.642142e+06    0.000000e+00    1.515315e+05   -1.317063e+02   -6.039879e+00    5.014953e-01    1.001000e+03
   1.194254e-04    5.592284e+06    7.220618e+00    5.592277e+06    0.000000e+00    1.506369e+05   -1.313177e+02   -1.645936e+01    5.014933e-01    1.001000e+03
   1.201342e-04    5.542859e+06    5.554256e+00    5.542853e+06    0.000000e+00    1.497477e+05   -1.309303e+02   -1.371278e+01    5.014914e-01    1.001000e+03
   1.208472e-04    5.493869e+06    3.524319e+00    5.493866e+06    0.000000e+00    1.488637e+05   -1.305440e+02   -9.974546e+00    5.014894e-01    1.001000e+03
   1.215644e-04    5.445318e+06    7.279664e+00    5.445311e+06    0.000000e+00    1.479849e+05   -1.301589e+02   -1.655263e+01    5.014874e-01    1.001000e+03
   1.222859e-04    5.397189e+06    4.112444e+00    5.397185e+06    0.000000e+00    1.471113e+05   -1.297748e+02   -1.111486e+01    5.014855e-01    1.001000e+03
   1.230117e-04    5.349490e+06    4.866434e+00    5.349485e+06    0.000000e+00    1.462429e+05   -1.293919e+02   -1.250385e+01    5.014835e-01    1.001000e+03
   1.237417e-04    5.302213e+06    6.987317e+00    5.302206e+06    0.000000e+00    1.453795e+05   -1.290102e+02   -1.608814e+01    5.014815e-01    1.001000e+03
   1.244761e-04    5.255347e+06    2.400955e+00    5.255345e+06    0.000000e+00    1.445213e+05   -1.286296e+02   -7.611085e+00    5.014794e-01    1.001000e+03
   1.252149e-04    5.208904e+06    5.802264e+00    5.208898e+06    0.000000e+00    1.436681e+05   -1.282501e+02   -1.413640e+01    5.014774e-01    1.001000e+03
   1.259580e-04    5.162868e+06    6.383973e+00    5.162861e+06    0.000000e+00    1.428200e+05   -1.278717e+02   -1.510866e+01    5.014754e-01    1.001000e+03
   1.267056e-04    5.117232e+06    7.601028e-01    5.117232e+06    0.000000e+00    1.419769e+05   -1.274944e+02   -3.341644e+00    5.014733e-01    1.001000e+03
   1.274576e-04    5.072011e+06    6.352981e+00    5.072005e+06    0.000000e+00    1.411387e+05   -1.271183e+02   -1.505793e+01    5.014712e-01    1.001000e+03
   1.282140e-04    5.027183e+06    5.474228e+00    5.027178e+06    0.000000e+00    1.403055e+05   -1.267433e+02   -1.357407e+01    5.014692e-01    1.001000e+03
   1.289750e-04    4.982749e+06    2.541148e+00    4.982747e+06    0.000000e+00    1.394772e+05   -1.263693e+02   -7.922454e+00    5.014671e-01    1.001000e+03
   1.297404e-04    4.938715e+06    6.559935e+00    4.938709e+06    0.000000e+00    1.386538e+05   -1.259965e+02   -1.539748e+01    5.014650e-01    1.001000e+03
   1.305104e-04    4.895064e+06    4.281625e+00    4.895059e+06    0.000000e+00    1.378353e+05   -1.256248e+02   -1.143276e+01    5.014628e-01    1.001000e+03
   1.312850e-04    4.851800e+06    3.907967e+00    4.851796e+06    0.000000e+00    1.370216e+05   -1.252541e+02   -1.072445e+01    5.014607e-01    1.001000e+03
   1.320642e-04    4.808921e+06    6.431456e+00    4.808914e+06    0.000000e+00    1.362127e+05   -1.248846e+02   -1.518683e+01    5.014586e-01    1.001000e+03
   1.328480e-04    4.766415e+06    2.854544e+00    4.766412e+06    0.000000e+00    1.354085e+05   -1.245161e+02   -8.599595e+00    5.014564e-01    1.001000e+03
   1.336364e-04    4.724290e+06    4.899434e+00    4.724285e+06    0.000000e+00    1.346091e+05   -1.241488e+02   -1.256331e+01    5.014543e-01    1.001000e+03
   1.344295e-04    4.682537e+06    6.005542e+00    4.682531e+06    0.000000e+00    1.338144e+05   -1.237826e+02   -1.447932e+01    5.014521e-01    1.001000e+03
   1.352274e-04    4.641146e+06    1.195754e+00    4.641145e+06    0.000000e+00    1.330244e+05   -1.234173e+02   -4.632872e+00    5.014499e-01    1.001000e+03
   1.360299e-04    4.600131e+06    5.540108e+00    4.600125e+06    0.000000e+00    1.322391e+05   -1.230532e+02   -1.368835e+01    5.014477e-01    1.001000e+03
   1.368372e-04    4.559473e+06    5.304303e+00    4.559467e+06    0.000000e+00    1.314584e+05   -1.226902e+02   -1.327879e+01    5.014455e-01    1.001000e+03
   1.376494e-04    4.519171e+06    1.649937e+00    4.519169e+06    0.000000e+00    1.306823e+05   -1.223282e+02   -5.832101e+00    5.014432e-01    1.001000e+03
   1.384663e-04    4.479233e+06    5.856901e+00    4.479227e+06    0.000000e+00    1.299108e+05   -1.219673e+02   -1.422889e+01    5.014410e-01    1.001000e+03
   1.392881e-04    4.439642e+06    4.342208e+00    4.439638e+06    0.000000e+00    1.291438e+05   -1.216075e+02   -1.154629e+01    5.014387e-01    1.001000e+03
   1.401148e-04    4.400401e+06    3.037869e+00    4.400398e+06    0.000000e+00    1.283814e+05   -1.212487e+02   -8.985063e+00    5.014364e-01    1.001000e+03
   1.409463e-04    4.361511e+06    5.862209e+00    4.361506e+06    0.000000e+00    1.276235e+05   -1.208910e+02   -1.423794e+01    5.014342e-01    1.001000e+03
   1.417828e-04    4.322960e+06    3.153561e+00    4.322957e+06    0.000000e+00    1.268700e+05   -1.205344e+02   -9.224900e+00    5.014319e-01    1.001000e+03
   1.426243e-04    4.284752e+06    4.068237e+00    4.284748e+06    0.000000e+00    1.261210e+05   -1.201788e+02   -1.103118e+01    5.014295e-01    1.001000e+03
   1.434708e-04    4.246883e+06    5.589175e+00    4.246877e+06    0.000000e+00    1.253764e+05   -1.198242e+02   -1.377280e+01    5.014272e-01    1.001000e+03
   1.443223e-04    4.209343e+06    1.754733e+00    4.209341e+06    0.000000e+00    1.246362e+05   -1.194707e+02   -6.093463e+00    5.014249e-01    1.001000e+03
   1.451788e-04    4.172141e+06    4.765905e+00    4.172136e+06    0.000000e+00    1.239003e+05   -1.191182e+02   -1.232312e+01    5.014225e-01    1.001000e+03
   1.460404e-04    4.135266e+06    5.071027e+00    4.135261e+06    0.000000e+00    1.231688e+05   -1.187668e+02   -1.286903e+01    5.014202e-01    1.001000e+03
   1.469072e-04    4.098712e+06    8.382812e-01    4.098711e+06    0.000000e+00    1.224416e+05   -1.184164e+02   -3.587172e+00    5.014178e-01    1.001000e+03
   1.477791e-04    4.062489e+06    5.169813e+00    4.062484e+06    0.000000e+00    1.217188e+05   -1.180671e+02   -1.304307e+01    5.014154e-01    1.001000e+03
   1.486561e-04    4.026581e+06    4.306764e+00    4.026577e+06    0.000000e+00    1.210001e+05   -1.177188e+02   -1.148006e+01    5.014130e-01    1.001000e+03
   1.495384e-04    3.990989e+06    2.231224e+00    3.990987e+06    0.000000e+00    1.202857e+05   -1.173714e+02   -7.226037e+00    5.014105e-01    1.001000e+03
   1.504259e-04    3.955717e+06    5.295134e+00    3.955712e+06    0.000000e+00    1.195756e+05   -1.170252e+02   -1.326292e+01    5.014081e-01    1.001000e+03
   1.513187e-04    3.920752e+06    3.330381e+00    3.920749e+06    0.000000e+00    1.188696e+05   -1.166799e+02   -9.585344e+00    5.014056e-01    1.001000e+03
   1.522167e-04    3.886097e+06    3.287288e+00    3.886094e+06    0.000000e+00    1.181678e+05   -1.163357e+02   -9.498497e+00    5.014032e-01    1.001000e+03
   1.531201e-04    3.851751e+06    5.157444e+00    3.851746e+06    0.000000e+00    1.174701e+05   -1.159925e+02   -1.302107e+01    5.014007e-01    1.001000e+03
   1.540289e-04    3.817703e+06    2.154739e+00    3.817701e+06    0.000000e+00    1.167765e+05   -1.156503e+02   -7.049547e+00    5.013982e-01    1.001000e+03
   1.549430e-04    3.783961e+06    4.034822e+00    3.783957e+06    0.000000e+00    1.160870e+05   -1.153091e+02   -1.096732e+01    5.013957e-01    1.001000e+03
   1.558626e-04    3.750516e+06    4.785460e+00    3.750511e+06    0.000000e+00    1.154016e+05   -1.149690e+02   -1.235838e+01    5.013932e-01    1.001000e+03
   1.567877e-04    3.717362e+06    8.056461e-01    3.717361e+06    0.000000e+00    1.147203e+05   -1.146297e+02   -3.485550e+00    5.013906e-01    1.001000e+03
   1.577182e-04    3.684508e+06    4.514047e+00    3.684503e+06    0.000000e+00    1.140429e+05   -1.142916e+02   -1.186393e+01    5.013881e-01    1.001000e+03
   1.586542e-04    3.651941e+06    4.197817e+00    3.651936e+06    0.000000e+00    1.133696e+05   -1.139544e+02   -1.127613e+01    5.013855e-01    1.001000e+03
   1.595958e-04    3.619659e+06    1.485612e+00    3.619657e+06    0.000000e+00    1.127002e+05   -1.136182e+02   -5.411394e+00    5.013829e-01    1.001000e+03
   1.605430e-04    3.587668e+06    4.735739e+00    3.587663e+06    0.000000e+00    1.120348e+05   -1.132831e+02   -1.226843e+01    5.013803e-01    1.001000e+03
   1.614958e-04    3.555955e+06    3.409325e+00    3.555952e+06    0.000000e+00    1.113733e+05   -1.129489e+02   -9.744881e+00    5.013777e-01    1.001000e+03
   1.624543e-04    3.524523e+06    2.562905e+00    3.524521e+06    0.000000e+00    1.107157e+05   -1.126156e+02   -7.970380e+00    5.013750e-01    1.001000e+03
   1.634185e-04    3.493372e+06    4.714346e+00    3.493367e+06    0.000000e+00    1.100620e+05   -1.122834e+02   -1.222943e+01    5.013724e-01    1.001000e+03
   1.643883e-04    3.462492e+06    2.434272e+00    3.462489e+06    0.000000e+00    1.094122e+05   -1.119521e+02   -7.685296e+00    5.013697e-01    1.001000e+03
   1.653640e-04    3.431887e+06    3.361049e+00    3.431884e+06    0.000000e+00    1.087661e+05   -1.116219e+02   -9.647719e+00    5.013670e-01    1.001000e+03
   1.663454e-04    3.401553e+06    4.474663e+00    3.401549e+06    0.000000e+00    1.081239e+05   -1.112926e+02   -1.179161e+01    5.013643e-01    1.001000e+03
   1.673327e-04    3.371483e+06    1.297743e+00    3.371482e+06    0.000000e+00    1.074855e+05   -1.109642e+02   -4.912977e+00    5.013616e-01    1.001000e+03
   1.683258e-04    3.341685e+06    3.891823e+00    3.341681e+06    0.000000e+00    1.068509e+05   -1.106369e+02   -1.069313e+01    5.013589e-01    1.001000e+03
   1.693248e-04    3.312147e+06    4.034524e+00    3.312143e+06    0.000000e+00    1.062200e+05   -1.103105e+02   -1.096675e+01    5.013561e-01    1.001000e+03
   1.703297e-04    3.282867e+06    8.182447e-01    3.282866e+06    0.000000e+00    1.055928e+05   -1.099851e+02   -3.524818e+00    5.013534e-01    1.001000e+03
   1.713406e-04    3.253853e+06    4.192030e+00    3.253848e+06    0.000000e+00    1.049693e+05   -1.096606e+02   -1.126522e+01    5.013506e-01    1.001000e+03
   1.723575e-04    3.225090e+06    3.412941e+00    3.225087e+06    0.000000e+00    1.043495e+05   -1.093371e+02   -9.752103e+00    5.013478e-01    1.001000e+03
   1.733804e-04    3.196581e+06    1.901205e+00    3.196579e+06    0.000000e+00    1.037333e+05   -1.090145e+02   -6.450517e+00    5.013450e-01    1.001000e+03
   1.744094e-04    3.168328e+06    4.268125e+00    3.168323e+06    0.000000e+00    1.031208e+05   -1.086930e+02   -1.140749e+01    5.013422e-01    1.001000e+03
   1.754445e-04    3.140320e+06    2.613590e+00    3.140317e+06    0.000000e+00    1.025119e+05   -1.083723e+02   -8.081183e+00    5.013393e-01    1.001000e+03
   1.764858e-04    3.112562e+06    2.726406e+00    3.112559e+06    0.000000e+00    1.019066e+05   -1.080526e+02   -8.326001e+00    5.013365e-01    1.001000e+03
   1.775332e-04    3.085050e+06    4.143457e+00    3.085046e+06    0.000000e+00    1.013049e+05   -1.077338e+02   -1.117302e+01    5.013336e-01    1.001000e+03
   1.785869e-04    3.057777e+06    1.662871e+00    3.057776e+06    0.000000e+00    1.007067e+05   -1.074160e+02   -5.864605e+00    5.013307e-01    1.001000e+03
   1.796468e-04    3.030750e+06    3.301738e+00    3.030746e+06    0.000000e+00    1.001120e+05   -1.070991e+02   -9.527746e+00    5.013278e-01    1.001000e+03
   1.807130e-04    3.003960e+06    3.830305e+00    3.003956e+06    0.000000e+00    9.952086e+04   -1.067832e+02   -1.057492e+01    5.013248e-01    1.001000e+03
   1.817855e-04    2.977403e+06    5.730112e-01    2.977402e+06    0.000000e+00    9.893320e+04   -1.064681e+02   -2.719963e+00    5.013219e-01    1.001000e+03
   1.828644e-04    2.951087e+06    3.667273e+00    2.951083e+06    0.000000e+00    9.834900e+04   -1.061541e+02   -1.025667e+01    5.013189e-01    1.001000e+03
