# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.105e-11, Err(n_e)=9.970e-11, Err(IET)=9.364e-13, Q_net=2.380e-07
# {"name":"Ar", "Z":18, "Zstar":0.0713484970915772, "A":39.948,  "μ[AU]": -2.6749541841e-02, "Te[AU]": 6.726e-03, "Ti[AU]": 6.726e-03, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298696e+06    1.502420e+00    7.298694e+06    0.000000e+00    1.799153e+05   -1.434897e+02   -5.432790e+00    2.094664e-01   -2.667457e-02
   1.005935e-04    7.234201e+06    8.431173e+00    7.234193e+06    0.000000e+00    1.788533e+05   -1.430664e+02   -1.830573e+01    2.094657e-01   -2.667413e-02
   1.011905e-04    7.170268e+06    7.179276e+00    7.170261e+06    0.000000e+00    1.777975e+05   -1.426442e+02   -1.637109e+01    2.094650e-01   -2.667370e-02
   1.017911e-04    7.106896e+06    2.323321e+00    7.106893e+06    0.000000e+00    1.767481e+05   -1.422233e+02   -7.413629e+00    2.094642e-01   -2.667326e-02
   1.023952e-04    7.044095e+06    8.406557e+00    7.044086e+06    0.000000e+00    1.757048e+05   -1.418038e+02   -1.826826e+01    2.094635e-01   -2.667282e-02
   1.030029e-04    6.981841e+06    6.530702e+00    6.981834e+06    0.000000e+00    1.746676e+05   -1.413853e+02   -1.532693e+01    2.094628e-01   -2.667237e-02
   1.036142e-04    6.920135e+06    3.054262e+00    6.920132e+06    0.000000e+00    1.736366e+05   -1.409682e+02   -8.997166e+00    2.094621e-01   -2.667193e-02
   1.042292e-04    6.858983e+06    8.326015e+00    6.858975e+06    0.000000e+00    1.726116e+05   -1.405523e+02   -1.814744e+01    2.094614e-01   -2.667148e-02
   1.048478e-04    6.798364e+06    5.884424e+00    6.798358e+06    0.000000e+00    1.715927e+05   -1.401376e+02   -1.425342e+01    2.094606e-01   -2.667103e-02
   1.054700e-04    6.738281e+06    3.667711e+00    6.738277e+06    0.000000e+00    1.705799e+05   -1.397241e+02   -1.023543e+01    2.094599e-01   -2.667058e-02
   1.060960e-04    6.678735e+06    8.201476e+00    6.678727e+06    0.000000e+00    1.695730e+05   -1.393119e+02   -1.795838e+01    2.094592e-01   -2.667012e-02
   1.067257e-04    6.619708e+06    5.192187e+00    6.619703e+06    0.000000e+00    1.685720e+05   -1.389008e+02   -1.306041e+01    2.094584e-01   -2.666966e-02
   1.073591e-04    6.561205e+06    4.215695e+00    6.561201e+06    0.000000e+00    1.675769e+05   -1.384910e+02   -1.128697e+01    2.094577e-01   -2.666920e-02
   1.079962e-04    6.503223e+06    8.010880e+00    6.503215e+06    0.000000e+00    1.665877e+05   -1.380824e+02   -1.766785e+01    2.094569e-01   -2.666873e-02
   1.086372e-04    6.445747e+06    4.492521e+00    6.445742e+06    0.000000e+00    1.656044e+05   -1.376750e+02   -1.180164e+01    2.094562e-01   -2.666827e-02
   1.092819e-04    6.388782e+06    4.686864e+00    6.388777e+06    0.000000e+00    1.646268e+05   -1.372688e+02   -1.215722e+01    2.094554e-01   -2.666779e-02
   1.099305e-04    6.332323e+06    7.785269e+00    6.332315e+06    0.000000e+00    1.636550e+05   -1.368638e+02   -1.732067e+01    2.094547e-01   -2.666732e-02
   1.105830e-04    6.276356e+06    3.795740e+00    6.276352e+06    0.000000e+00    1.626890e+05   -1.364600e+02   -1.048541e+01    2.094539e-01   -2.666685e-02
   1.112393e-04    6.220888e+06    5.075916e+00    6.220883e+06    0.000000e+00    1.617286e+05   -1.360574e+02   -1.285494e+01    2.094531e-01   -2.666637e-02
   1.118995e-04    6.165912e+06    7.528031e+00    6.165905e+06    0.000000e+00    1.607740e+05   -1.356560e+02   -1.692088e+01    2.094523e-01   -2.666589e-02
