# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.187e-11, Err(n_e)=7.859e-11, Err(IET)=9.963e-13, Q_net=3.118e-07
# {"name":"Ar", "Z":18, "Zstar":1.1312110600032739, "A":39.948,  "μ[AU]": -3.4246215931e-01, "Te[AU]": 9.263e-02, "Ti[AU]": 9.263e-02, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298694e+06   -1.978568e+01    7.298714e+06    0.000000e+00    1.799156e+05   -1.434897e+02    5.339422e+00    5.208010e+01   -5.241828e-11
   1.005935e-04    7.234197e+06   -1.498112e+01    7.234212e+06    0.000000e+00    1.788536e+05   -1.430663e+02    5.339422e+00    5.207993e+01   -5.241744e-11
   1.011905e-04    7.170268e+06   -1.264081e+01    7.170280e+06    0.000000e+00    1.777979e+05   -1.426442e+02    5.339422e+00    5.207975e+01   -5.241661e-11
   1.017911e-04    7.106900e+06   -1.295992e+01    7.106913e+06    0.000000e+00    1.767484e+05   -1.422234e+02    5.339422e+00    5.207957e+01   -5.241576e-11
   1.023952e-04    7.044090e+06   -1.583489e+01    7.044106e+06    0.000000e+00    1.757051e+05   -1.418037e+02    5.339422e+00    5.207939e+01   -5.241492e-11
   1.030029e-04    6.981835e+06   -1.821156e+01    6.981854e+06    0.000000e+00    1.746680e+05   -1.413853e+02    5.339422e+00    5.207921e+01   -5.241406e-11
   1.036142e-04    6.920137e+06   -1.406390e+01    6.920151e+06    0.000000e+00    1.736369e+05   -1.409682e+02    5.339422e+00    5.207903e+01   -5.241321e-11
   1.042292e-04    6.858982e+06   -1.251407e+01    6.858994e+06    0.000000e+00    1.726120e+05   -1.405523e+02    5.339422e+00    5.207885e+01   -5.241234e-11
   1.048478e-04    6.798364e+06   -1.347509e+01    6.798378e+06    0.000000e+00    1.715931e+05   -1.401376e+02    5.339422e+00    5.207866e+01   -5.241148e-11
   1.054700e-04    6.738280e+06   -1.689245e+01    6.738297e+06    0.000000e+00    1.705802e+05   -1.397241e+02    5.339422e+00    5.207848e+01   -5.241060e-11
   1.060960e-04    6.678730e+06   -1.669517e+01    6.678746e+06    0.000000e+00    1.695733e+05   -1.393118e+02    5.339422e+00    5.207829e+01   -5.240972e-11
   1.067257e-04    6.619709e+06   -1.339188e+01    6.619722e+06    0.000000e+00    1.685723e+05   -1.389008e+02    5.339422e+00    5.207810e+01   -5.240884e-11
   1.073591e-04    6.561207e+06   -1.255582e+01    6.561220e+06    0.000000e+00    1.675773e+05   -1.384910e+02    5.339422e+00    5.207791e+01   -5.240795e-11
   1.079962e-04    6.503220e+06   -1.411864e+01    6.503234e+06    0.000000e+00    1.665881e+05   -1.380824e+02    5.339422e+00    5.207772e+01   -5.240706e-11
   1.086372e-04    6.445743e+06   -1.802244e+01    6.445761e+06    0.000000e+00    1.656047e+05   -1.376750e+02    5.339422e+00    5.207753e+01   -5.240616e-11
   1.092819e-04    6.388780e+06   -1.547142e+01    6.388796e+06    0.000000e+00    1.646272e+05   -1.372688e+02    5.339422e+00    5.207734e+01   -5.240526e-11
   1.099305e-04    6.332321e+06   -1.294259e+01    6.332334e+06    0.000000e+00    1.636554e+05   -1.368638e+02    5.339422e+00    5.207715e+01   -5.240435e-11
   1.105830e-04    6.276358e+06   -1.276276e+01    6.276371e+06    0.000000e+00    1.626893e+05   -1.364600e+02    5.339422e+00    5.207695e+01   -5.240343e-11
   1.112393e-04    6.220887e+06   -1.486090e+01    6.220902e+06    0.000000e+00    1.617290e+05   -1.360574e+02    5.339422e+00    5.207676e+01   -5.240251e-11
   1.118995e-04    6.165905e+06   -1.860830e+01    6.165923e+06    0.000000e+00    1.607743e+05   -1.356559e+02    5.339422e+00    5.207656e+01   -5.240158e-11
   1.125636e-04    6.111416e+06   -1.448791e+01    6.111431e+06    0.000000e+00    1.598252e+05   -1.352557e+02    5.339422e+00    5.207636e+01   -5.240065e-11
   1.132316e-04    6.057407e+06   -1.267329e+01    6.057419e+06    0.000000e+00    1.588818e+05   -1.348566e+02    5.339422e+00    5.207616e+01   -5.239972e-11
   1.139037e-04    6.003872e+06   -1.309557e+01    6.003885e+06    0.000000e+00    1.579439e+05   -1.344588e+02    5.339422e+00    5.207596e+01   -5.239877e-11
   1.145797e-04    5.950809e+06   -1.568371e+01    5.950824e+06    0.000000e+00    1.570115e+05   -1.340620e+02    5.339422e+00    5.207576e+01   -5.239783e-11
   1.152597e-04    5.898215e+06   -1.708685e+01    5.898232e+06    0.000000e+00    1.560847e+05   -1.336665e+02    5.339422e+00    5.207556e+01   -5.239687e-11
   1.159437e-04    5.846091e+06   -1.373904e+01    5.846105e+06    0.000000e+00    1.551633e+05   -1.332721e+02    5.339422e+00    5.207536e+01   -5.239591e-11
   1.166319e-04    5.794425e+06   -1.257707e+01    5.794438e+06    0.000000e+00    1.542474e+05   -1.328790e+02    5.339422e+00    5.207515e+01   -5.239495e-11
   1.173241e-04    5.743214e+06   -1.354074e+01    5.743228e+06    0.000000e+00    1.533368e+05   -1.324869e+02    5.339422e+00    5.207495e+01   -5.239398e-11
   1.180204e-04    5.692453e+06   -1.657846e+01    5.692470e+06    0.000000e+00    1.524316e+05   -1.320960e+02    5.339422e+00    5.207474e+01   -5.239300e-11
   1.187208e-04    5.642145e+06   -1.583690e+01    5.642160e+06    0.000000e+00    1.515318e+05   -1.317063e+02    5.339422e+00    5.207453e+01   -5.239202e-11
   1.194254e-04    5.592282e+06   -1.319169e+01    5.592296e+06    0.000000e+00    1.506373e+05   -1.313177e+02    5.339422e+00    5.207432e+01   -5.239103e-11
   1.201342e-04    5.542859e+06   -1.263025e+01    5.542871e+06    0.000000e+00    1.497480e+05   -1.309303e+02    5.339422e+00    5.207411e+01   -5.239004e-11
   1.208472e-04    5.493870e+06   -1.408447e+01    5.493884e+06    0.000000e+00    1.488640e+05   -1.305440e+02    5.339422e+00    5.207390e+01   -5.238904e-11
   1.215644e-04    5.445312e+06   -1.750881e+01    5.445329e+06    0.000000e+00    1.479853e+05   -1.301588e+02    5.339422e+00    5.207368e+01   -5.238803e-11
   1.222859e-04    5.397189e+06   -1.482978e+01    5.397204e+06    0.000000e+00    1.471117e+05   -1.297748e+02    5.339422e+00    5.207347e+01   -5.238702e-11
   1.230117e-04    5.349490e+06   -1.282720e+01    5.349503e+06    0.000000e+00    1.462432e+05   -1.293919e+02    5.339422e+00    5.207325e+01   -5.238600e-11
   1.237417e-04    5.302212e+06   -1.280274e+01    5.302224e+06    0.000000e+00    1.453799e+05   -1.290102e+02    5.339422e+00    5.207304e+01   -5.238498e-11
   1.244761e-04    5.255349e+06   -1.470731e+01    5.255363e+06    0.000000e+00    1.445217e+05   -1.286296e+02    5.339422e+00    5.207282e+01   -5.238395e-11
   1.252149e-04    5.208899e+06   -1.736149e+01    5.208916e+06    0.000000e+00    1.436685e+05   -1.282500e+02    5.339422e+00    5.207260e+01   -5.238291e-11
   1.259580e-04    5.162865e+06   -1.401759e+01    5.162879e+06    0.000000e+00    1.428204e+05   -1.278717e+02    5.339422e+00    5.207238e+01   -5.238187e-11
   1.267056e-04    5.117237e+06   -1.261050e+01    5.117250e+06    0.000000e+00    1.419772e+05   -1.274944e+02    5.339422e+00    5.207215e+01   -5.238082e-11
   1.274576e-04    5.072010e+06   -1.308675e+01    5.072023e+06    0.000000e+00    1.411391e+05   -1.271183e+02    5.339422e+00    5.207193e+01   -5.237977e-11
   1.282140e-04    5.027180e+06   -1.539458e+01    5.027196e+06    0.000000e+00    1.403059e+05   -1.267432e+02    5.339422e+00    5.207170e+01   -5.237871e-11
   1.289750e-04    4.982749e+06   -1.611458e+01    4.982765e+06    0.000000e+00    1.394776e+05   -1.263693e+02    5.339422e+00    5.207148e+01   -5.237764e-11
   1.297404e-04    4.938713e+06   -1.340008e+01    4.938726e+06    0.000000e+00    1.386542e+05   -1.259965e+02    5.339422e+00    5.207125e+01   -5.237657e-11
   1.305104e-04    4.895064e+06   -1.253520e+01    4.895077e+06    0.000000e+00    1.378356e+05   -1.256248e+02    5.339422e+00    5.207102e+01   -5.237549e-11
   1.312850e-04    4.851800e+06   -1.346466e+01    4.851813e+06    0.000000e+00    1.370219e+05   -1.252541e+02    5.339422e+00    5.207079e+01   -5.237440e-11
   1.320642e-04    4.808916e+06   -1.613883e+01    4.808932e+06    0.000000e+00    1.362130e+05   -1.248846e+02    5.339422e+00    5.207056e+01   -5.237331e-11
   1.328480e-04    4.766415e+06   -1.507139e+01    4.766430e+06    0.000000e+00    1.354089e+05   -1.245161e+02    5.339422e+00    5.207032e+01   -5.237221e-11
   1.336364e-04    4.724290e+06   -1.294827e+01    4.724303e+06    0.000000e+00    1.346095e+05   -1.241488e+02    5.339422e+00    5.207009e+01   -5.237110e-11
   1.344295e-04    4.682536e+06   -1.257931e+01    4.682548e+06    0.000000e+00    1.338148e+05   -1.237825e+02    5.339422e+00    5.206985e+01   -5.236999e-11
   1.352274e-04    4.641148e+06   -1.391554e+01    4.641162e+06    0.000000e+00    1.330248e+05   -1.234173e+02    5.339422e+00    5.206962e+01   -5.236887e-11
   1.360299e-04    4.600125e+06   -1.690955e+01    4.600142e+06    0.000000e+00    1.322395e+05   -1.230532e+02    5.339422e+00    5.206938e+01   -5.236775e-11
   1.368372e-04    4.559471e+06   -1.422900e+01    4.559485e+06    0.000000e+00    1.314588e+05   -1.226902e+02    5.339422e+00    5.206914e+01   -5.236661e-11
   1.376494e-04    4.519174e+06   -1.264292e+01    4.519186e+06    0.000000e+00    1.306827e+05   -1.223282e+02    5.339422e+00    5.206889e+01   -5.236548e-11
   1.384663e-04    4.479232e+06   -1.273002e+01    4.479244e+06    0.000000e+00    1.299112e+05   -1.219673e+02    5.339422e+00    5.206865e+01   -5.236433e-11
   1.392881e-04    4.439640e+06   -1.443810e+01    4.439655e+06    0.000000e+00    1.291442e+05   -1.216075e+02    5.339422e+00    5.206841e+01   -5.236318e-11
   1.401148e-04    4.400399e+06   -1.628664e+01    4.400415e+06    0.000000e+00    1.283818e+05   -1.212487e+02    5.339422e+00    5.206816e+01   -5.236202e-11
   1.409463e-04    4.361509e+06   -1.356134e+01    4.361523e+06    0.000000e+00    1.276238e+05   -1.208910e+02    5.339422e+00    5.206791e+01   -5.236085e-11
   1.417828e-04    4.322961e+06   -1.246893e+01    4.322974e+06    0.000000e+00    1.268704e+05   -1.205344e+02    5.339422e+00    5.206766e+01   -5.235968e-11
   1.426243e-04    4.284752e+06   -1.296279e+01    4.284765e+06    0.000000e+00    1.261213e+05   -1.201788e+02    5.339422e+00    5.206741e+01   -5.235850e-11
   1.434708e-04    4.246879e+06   -1.499927e+01    4.246894e+06    0.000000e+00    1.253767e+05   -1.198242e+02    5.339422e+00    5.206716e+01   -5.235731e-11
   1.443223e-04    4.209343e+06   -1.524707e+01    4.209358e+06    0.000000e+00    1.246365e+05   -1.194707e+02    5.339422e+00    5.206691e+01   -5.235612e-11
   1.451788e-04    4.172140e+06   -1.304443e+01    4.172153e+06    0.000000e+00    1.239007e+05   -1.191182e+02    5.339422e+00    5.206665e+01   -5.235492e-11
   1.460404e-04    4.135265e+06   -1.240158e+01    4.135277e+06    0.000000e+00    1.231692e+05   -1.187668e+02    5.339422e+00    5.206640e+01   -5.235371e-11
   1.469072e-04    4.098714e+06   -1.326976e+01    4.098727e+06    0.000000e+00    1.224420e+05   -1.184164e+02    5.339422e+00    5.206614e+01   -5.235250e-11
