# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.013e-11, Err(n_e)=8.996e-11, Err(IET)=2.853e-02, Q_net=6.146e-08
# {"name":"Ar", "Z":18, "Zstar":0.07107734863743431, "A":39.948,  "μ[AU]": 7.2158792884e-02, "Te[AU]": 1.115e-03, "Ti[AU]": 1.115e-03, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298704e+06    9.076142e+00    7.298695e+06    0.000000e+00    1.799153e+05   -1.434897e+02   -1.914421e+01    4.070718e-01    4.679809e-02
   1.005935e-04    7.234196e+06    2.902181e+00    7.234193e+06    0.000000e+00    1.788533e+05   -1.430663e+02   -8.556519e+00    4.070711e-01    4.679741e-02
   1.011905e-04    7.170269e+06    7.727131e+00    7.170261e+06    0.000000e+00    1.777976e+05   -1.426443e+02   -1.710802e+01    4.070704e-01    4.679672e-02
   1.017911e-04    7.106901e+06    6.595655e+00    7.106894e+06    0.000000e+00    1.767481e+05   -1.422234e+02   -1.531116e+01    4.070697e-01    4.679603e-02
   1.023952e-04    7.044092e+06    4.619169e+00    7.044087e+06    0.000000e+00    1.757048e+05   -1.418037e+02   -1.191219e+01    4.070690e-01    4.679534e-02
   1.030029e-04    6.981843e+06    8.376417e+00    6.981835e+06    0.000000e+00    1.746676e+05   -1.413854e+02   -1.810185e+01    4.070683e-01    4.679464e-02
   1.036142e-04    6.920133e+06   -1.561060e-01    6.920133e+06    0.000000e+00    1.736366e+05   -1.409682e+02    1.088260e-01    4.070676e-01    4.679394e-02
   1.042292e-04    6.858984e+06    8.339601e+00    6.858976e+06    0.000000e+00    1.726117e+05   -1.405523e+02   -1.804615e+01    4.070669e-01    4.679323e-02
   1.048478e-04    6.798363e+06    3.896398e+00    6.798359e+06    0.000000e+00    1.715928e+05   -1.401376e+02   -1.055766e+01    4.070662e-01    4.679252e-02
   1.054700e-04    6.738285e+06    6.577108e+00    6.738278e+06    0.000000e+00    1.705799e+05   -1.397241e+02   -1.528111e+01    4.070654e-01    4.679181e-02
