# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.051e-11, Err(n_e)=9.328e-11, Err(IET)=4.621e+01, Q_net=-3.102e-07
# {"name":"Ar", "Z":18, "Zstar":0.10876189959224547, "A":39.948,  "μ[AU]": -2.5628343787e-02, "Te[AU]": 1.813e-03, "Ti[AU]": 1.813e-03, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -1.401702e-01    3.343802e-01    0.000000e+00
   1.371565e-01   -1.032805e-01    1.484220e-01    0.000000e+00
   2.057347e-01   -8.630091e-02    1.032090e-01    0.000000e+00
   2.743130e-01   -7.637531e-02    7.474499e-02    0.000000e+00
   3.428912e-01   -6.975952e-02    6.306066e-02    0.000000e+00
   4.114694e-01   -6.484784e-02    5.288853e-02    0.000000e+00
   4.800477e-01   -6.143950e-02    4.810354e-02    0.000000e+00
   5.486259e-01   -5.851181e-02    4.316740e-02    0.000000e+00
   6.172042e-01   -5.606568e-02    4.071455e-02    0.000000e+00
   6.857824e-01   -5.407262e-02    3.786964e-02    0.000000e+00
   7.543606e-01   -5.239164e-02    3.641548e-02    7.143227e-01
   8.229389e-01   -5.095021e-02    3.457764e-02    1.709989e+00
   8.915171e-01   -4.969369e-02    3.362039e-02    2.218533e+00
   9.600953e-01   -4.860706e-02    3.233293e-02    2.907930e+00
   1.028674e+00   -4.763955e-02    3.165165e-02    3.261575e+00
   1.097252e+00   -4.677921e-02    3.069450e-02    3.766077e+00
   1.165830e+00   -4.600321e-02    3.018025e-02    4.024902e+00
   1.234408e+00   -4.530039e-02    2.943618e-02    4.409174e+00
   1.302987e+00   -4.465802e-02    2.903020e-02    4.605580e+00
   1.371565e+00   -4.406815e-02    2.843155e-02    4.906937e+00
   1.440143e+00   -4.352305e-02    2.809972e-02    5.059752e+00
   1.508721e+00   -4.301560e-02    2.760483e-02    5.301179e+00
   1.577299e+00   -4.254071e-02    2.732602e-02    5.422063e+00
   1.645878e+00   -4.209648e-02    2.690782e-02    5.618507e+00
   1.714456e+00   -4.167722e-02    2.666822e-02    5.715079e+00
   1.783034e+00   -4.127744e-02    2.630830e-02    5.876706e+00
   1.851612e+00   -4.089934e-02    2.609850e-02    5.954178e+00
   1.920191e+00   -4.053673e-02    2.578386e-02    6.088169e+00
   1.988769e+00   -4.018953e-02    2.559718e-02    6.150243e+00
   2.057347e+00   -3.985414e-02    2.531836e-02    6.261829e+00
   2.125925e+00   -3.953061e-02    2.514990e-02    6.311224e+00
   2.194504e+00   -3.921697e-02    2.489986e-02    6.404318e+00
   2.263082e+00   -3.890986e-02    2.474594e-02    6.443080e+00
   2.331660e+00   -3.861172e-02    2.451928e-02    6.520674e+00
   2.400238e+00   -3.832014e-02    2.437708e-02    6.550382e+00
   2.468817e+00   -3.803231e-02    2.416962e-02    6.614809e+00
   2.537395e+00   -3.774746e-02    2.403693e-02    6.636701e+00
   2.605973e+00   -3.746602e-02    2.384535e-02    6.689809e+00
   2.674551e+00   -3.718677e-02    2.372043e-02    6.704876e+00
   2.743130e+00   -3.690832e-02    2.354209e-02    6.748152e+00
   2.811708e+00   -3.662940e-02    2.342353e-02    6.757196e+00
   2.880286e+00   -3.634902e-02    2.325628e-02    6.791850e+00
   2.948864e+00   -3.606604e-02    2.314292e-02    6.795531e+00
   3.017443e+00   -3.577975e-02    2.298501e-02    6.822559e+00
   3.086021e+00   -3.548853e-02    2.287592e-02    6.821425e+00
   3.154599e+00   -3.519016e-02    2.272589e-02    6.841659e+00
   3.223177e+00   -3.488392e-02    2.262029e-02    6.836170e+00
   3.291755e+00   -3.456781e-02    2.247693e-02    6.850307e+00
   3.360334e+00   -3.424234e-02    2.237417e-02    6.840855e+00
   3.428912e+00   -3.390310e-02    2.223646e-02    6.849488e+00
   3.497490e+00   -3.355051e-02    2.213598e-02    6.836407e+00
   3.566068e+00   -3.318197e-02    2.200308e-02    6.840043e+00
   3.634647e+00   -3.279753e-02    2.190442e-02    6.823623e+00
   3.703225e+00   -3.239431e-02    2.177558e-02    6.822700e+00
   3.771803e+00   -3.197211e-02    2.167834e-02    6.803194e+00
