# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.991e-11, Err(n_e)=8.580e-11, Err(IET)=2.354e+08, Q_net=-3.850e-07
# {"name":"Ar", "Z":18, "Zstar":0.22566570330867108, "A":39.948,  "μ[AU]": -1.8421471668e-02, "Te[AU]": 1.903e-03, "Ti[AU]": 1.903e-03, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298701e+06    7.812585e+00    7.298693e+06    0.000000e+00    1.799152e+05   -1.434897e+02   -1.745627e+01    2.076055e+00   -3.550607e-05
   1.005935e-04    7.234198e+06    6.688053e+00    7.234192e+06    0.000000e+00    1.788532e+05   -1.430663e+02   -1.567717e+01    2.076049e+00   -3.550550e-05
   1.011905e-04    7.170270e+06    1.029618e+01    7.170260e+06    0.000000e+00    1.777975e+05   -1.426443e+02   -2.111948e+01    2.076042e+00   -3.550493e-05
   1.017911e-04    7.106895e+06    2.205017e+00    7.106892e+06    0.000000e+00    1.767480e+05   -1.422233e+02   -7.236769e+00    2.076035e+00   -3.550436e-05
   1.023952e-04    7.044095e+06    9.756513e+00    7.044085e+06    0.000000e+00    1.757047e+05   -1.418038e+02   -2.034996e+01    2.076028e+00   -3.550379e-05
   1.030029e-04    6.981841e+06    7.556488e+00    6.981833e+06    0.000000e+00    1.746676e+05   -1.413853e+02   -1.705871e+01    2.076022e+00   -3.550321e-05
   1.036142e-04    6.920137e+06    6.351992e+00    6.920131e+06    0.000000e+00    1.736366e+05   -1.409682e+02   -1.512692e+01    2.076015e+00   -3.550263e-05
   1.042292e-04    6.858984e+06    9.870858e+00    6.858974e+06    0.000000e+00    1.726116e+05   -1.405523e+02   -2.051323e+01    2.076008e+00   -3.550205e-05
   1.048478e-04    6.798360e+06    2.235202e+00    6.798357e+06    0.000000e+00    1.715927e+05   -1.401375e+02   -7.306273e+00    2.076001e+00   -3.550146e-05
   1.054700e-04    6.738286e+06    9.317536e+00    6.738276e+06    0.000000e+00    1.705798e+05   -1.397241e+02   -1.971365e+01    2.075994e+00   -3.550087e-05
   1.060960e-04    6.678734e+06    7.318418e+00    6.678726e+06    0.000000e+00    1.695729e+05   -1.393119e+02   -1.668525e+01    2.075987e+00   -3.550027e-05
   1.067257e-04    6.619708e+06    6.025168e+00    6.619702e+06    0.000000e+00    1.685720e+05   -1.389008e+02   -1.458344e+01    2.075980e+00   -3.549968e-05
   1.073591e-04    6.561209e+06    9.487316e+00    6.561200e+06    0.000000e+00    1.675769e+05   -1.384910e+02   -1.996086e+01    2.075973e+00   -3.549907e-05
   1.079962e-04    6.503217e+06    2.260878e+00    6.503214e+06    0.000000e+00    1.665877e+05   -1.380824e+02   -7.365028e+00    2.075965e+00   -3.549847e-05
   1.086372e-04    6.445750e+06    8.904243e+00    6.445741e+06    0.000000e+00    1.656044e+05   -1.376750e+02   -1.910626e+01    2.075958e+00   -3.549786e-05
   1.092819e-04    6.388783e+06    7.062771e+00    6.388776e+06    0.000000e+00    1.646268e+05   -1.372688e+02   -1.627973e+01    2.075951e+00   -3.549725e-05
   1.099305e-04    6.332320e+06    5.717360e+00    6.332314e+06    0.000000e+00    1.636550e+05   -1.368638e+02   -1.406318e+01    2.075944e+00   -3.549663e-05
   1.105830e-04    6.276360e+06    9.109562e+00    6.276351e+06    0.000000e+00    1.626890e+05   -1.364600e+02   -1.940944e+01    2.075936e+00   -3.549601e-05
   1.112393e-04    6.220885e+06    2.282574e+00    6.220882e+06    0.000000e+00    1.617286e+05   -1.360573e+02   -7.414148e+00    2.075929e+00   -3.549539e-05
   1.118995e-04    6.165912e+06    8.511934e+00    6.165904e+06    0.000000e+00    1.607739e+05   -1.356560e+02   -1.852112e+01    2.075921e+00   -3.549476e-05
   1.125636e-04    6.111418e+06    6.834091e+00    6.111411e+06    0.000000e+00    1.598249e+05   -1.352557e+02   -1.591305e+01    2.075914e+00   -3.549413e-05
   1.132316e-04    6.057405e+06    5.404680e+00    6.057400e+06    0.000000e+00    1.588814e+05   -1.348566e+02   -1.352501e+01    2.075906e+00   -3.549349e-05
   1.139037e-04    6.003875e+06    8.742098e+00    6.003866e+06    0.000000e+00    1.579435e+05   -1.344588e+02   -1.886508e+01    2.075899e+00   -3.549286e-05
   1.145797e-04    5.950807e+06    2.291488e+00    5.950805e+06    0.000000e+00    1.570112e+05   -1.340620e+02   -7.434571e+00    2.075891e+00   -3.549221e-05
   1.152597e-04    5.898221e+06    8.133089e+00    5.898213e+06    0.000000e+00    1.560843e+05   -1.336665e+02   -1.794758e+01    2.075883e+00   -3.549157e-05
   1.159437e-04    5.846092e+06    6.617169e+00    5.846086e+06    0.000000e+00    1.551629e+05   -1.332722e+02   -1.556161e+01    2.075876e+00   -3.549092e-05
   1.166319e-04    5.794424e+06    5.126109e+00    5.794419e+06    0.000000e+00    1.542470e+05   -1.328789e+02   -1.303666e+01    2.075868e+00   -3.549026e-05
   1.173241e-04    5.743217e+06    8.395216e+00    5.743209e+06    0.000000e+00    1.533364e+05   -1.324869e+02   -1.834510e+01    2.075860e+00   -3.548961e-05
   1.180204e-04    5.692453e+06    2.305106e+00    5.692451e+06    0.000000e+00    1.524313e+05   -1.320960e+02   -7.465717e+00    2.075852e+00   -3.548895e-05
   1.187208e-04    5.642149e+06    7.765089e+00    5.642141e+06    0.000000e+00    1.515314e+05   -1.317063e+02   -1.738275e+01    2.075844e+00   -3.548828e-05
   1.194254e-04    5.592283e+06    6.395382e+00    5.592277e+06    0.000000e+00    1.506369e+05   -1.313177e+02   -1.519831e+01    2.075837e+00   -3.548761e-05
   1.201342e-04    5.542857e+06    4.853243e+00    5.542853e+06    0.000000e+00    1.497477e+05   -1.309303e+02   -1.255117e+01    2.075829e+00   -3.548694e-05
   1.208472e-04    5.493873e+06    8.064476e+00    5.493865e+06    0.000000e+00    1.488637e+05   -1.305440e+02   -1.784326e+01    2.075820e+00   -3.548626e-05
   1.215644e-04    5.445313e+06    2.322585e+00    5.445310e+06    0.000000e+00    1.479849e+05   -1.301588e+02   -7.505421e+00    2.075812e+00   -3.548558e-05
   1.222859e-04    5.397192e+06    7.417783e+00    5.397185e+06    0.000000e+00    1.471113e+05   -1.297748e+02   -1.684110e+01    2.075804e+00   -3.548489e-05
   1.230117e-04    5.349491e+06    6.190743e+00    5.349485e+06    0.000000e+00    1.462428e+05   -1.293919e+02   -1.485963e+01    2.075796e+00   -3.548420e-05
   1.237417e-04    5.302210e+06    4.585104e+00    5.302206e+06    0.000000e+00    1.453795e+05   -1.290102e+02   -1.206530e+01    2.075788e+00   -3.548351e-05
   1.244761e-04    5.255352e+06    7.740083e+00    5.255345e+06    0.000000e+00    1.445213e+05   -1.286296e+02   -1.734385e+01    2.075780e+00   -3.548281e-05
   1.252149e-04    5.208900e+06    2.328702e+00    5.208898e+06    0.000000e+00    1.436681e+05   -1.282501e+02   -7.519244e+00    2.075771e+00   -3.548211e-05
   1.259580e-04    5.162868e+06    7.090061e+00    5.162861e+06    0.000000e+00    1.428200e+05   -1.278717e+02   -1.632337e+01    2.075763e+00   -3.548141e-05
   1.267056e-04    5.117237e+06    5.990864e+00    5.117231e+06    0.000000e+00    1.419769e+05   -1.274944e+02   -1.452538e+01    2.075754e+00   -3.548070e-05
