# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.989e-11, Err(n_e)=8.846e-11, Err(IET)=8.769e-01, Q_net=6.470e-08
# {"name":"Ar", "Z":18, "Zstar":0.06314322652790949, "A":39.948,  "μ[AU]": 6.6269992452e-02, "Te[AU]": 2.311e-03, "Ti[AU]": 2.311e-03, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02    1.747226e-01    2.807690e-01    0.000000e+00
   1.371565e-01    1.747226e-01    2.166922e-01    0.000000e+00
   2.057347e-01    1.747226e-01    2.028945e-01    0.000000e+00
   2.743130e-01    1.747226e-01    1.936508e-01    0.000000e+00
   3.428912e-01    1.747226e-01    1.902836e-01    0.000000e+00
   4.114694e-01    1.747226e-01    1.870282e-01    0.000000e+00
   4.800477e-01    1.747226e-01    1.856622e-01    0.000000e+00
   5.486259e-01    1.747226e-01    1.840455e-01    0.000000e+00
   6.172042e-01    1.747226e-01    1.833083e-01    0.000000e+00
   6.857824e-01    1.747226e-01    1.823235e-01    0.000000e+00
   7.543606e-01    1.747226e-01    1.818380e-01    0.000000e+00
   8.229389e-01    1.747226e-01    1.811494e-01    0.000000e+00
   8.915171e-01    1.747226e-01    1.807809e-01    0.000000e+00
   9.600953e-01    1.747226e-01    1.802496e-01    0.000000e+00
   1.028674e+00    1.747226e-01    1.799404e-01    0.000000e+00
   1.097252e+00    1.747226e-01    1.794997e-01    0.000000e+00
   1.165830e+00    1.747226e-01    1.792216e-01    0.000000e+00
   1.234408e+00    1.747226e-01    1.788355e-01    0.000000e+00
   1.302987e+00    1.747226e-01    1.785730e-01    0.000000e+00
   1.371565e+00    1.747226e-01    1.782203e-01    0.000000e+00
   1.440143e+00    1.747226e-01    1.779643e-01    0.000000e+00
   1.508721e+00    1.747226e-01    1.776316e-01    0.000000e+00
   1.577299e+00    1.747226e-01    1.773762e-01    0.000000e+00
   1.645878e+00    1.747226e-01    1.770546e-01    0.000000e+00
   1.714456e+00    1.747226e-01    1.767958e-01    0.000000e+00
   1.783034e+00    1.747226e-01    1.764792e-01    0.000000e+00
   1.851612e+00    1.747226e-01    1.762144e-01    0.000000e+00
   1.920191e+00    1.747226e-01    1.758983e-01    0.000000e+00
   1.988769e+00    1.747226e-01    1.756254e-01    0.000000e+00
   2.057347e+00    1.747226e-01    1.753067e-01    0.000000e+00
   2.125925e+00    1.747226e-01    1.750242e-01    0.000000e+00
   2.194504e+00    1.747226e-01    1.747004e-01    0.000000e+00
   2.263082e+00    1.747226e-01    1.744073e-01    0.000000e+00
   2.331660e+00    1.747226e-01    1.740766e-01    0.000000e+00
   2.400238e+00    1.747226e-01    1.737719e-01    0.000000e+00
   2.468817e+00    1.747226e-01    1.734328e-01    0.000000e+00
   2.537395e+00    1.747226e-01    1.731160e-01    0.000000e+00
   2.605973e+00    1.747226e-01    1.727674e-01    0.000000e+00
   2.674551e+00    1.747226e-01    1.724379e-01    0.000000e+00
   2.743130e+00    1.747226e-01    1.720789e-01    0.000000e+00
   2.811708e+00    1.747226e-01    1.717364e-01    0.000000e+00
   2.880286e+00    1.747226e-01    1.713663e-01    0.000000e+00
   2.948864e+00    1.747226e-01    1.710103e-01    0.000000e+00
   3.017443e+00    1.747226e-01    1.706286e-01    0.000000e+00
