# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.890e-11, Err(n_e)=9.015e-11, Err(IET)=9.231e+03, Q_net=2.837e-07
# {"name":"Ar", "Z":18, "Zstar":0.32048902293287895, "A":39.948,  "μ[AU]": -7.3588727753e-02, "Te[AU]": 2.378e-02, "Ti[AU]": 2.378e-02, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298699e+06    1.319133e+00    7.298698e+06    0.000000e+00    1.799153e+05   -1.434897e+02   -5.028698e+00    4.173035e+00   -2.418155e-01
   1.005935e-04    7.234201e+06    4.762161e+00    7.234196e+06    0.000000e+00    1.788533e+05   -1.430664e+02   -1.237384e+01    4.173021e+00   -2.418116e-01
   1.011905e-04    7.170267e+06    3.060762e+00    7.170264e+06    0.000000e+00    1.777976e+05   -1.426442e+02   -9.090988e+00    4.173007e+00   -2.418077e-01
   1.017911e-04    7.106894e+06   -2.785095e+00    7.106897e+06    0.000000e+00    1.767481e+05   -1.422233e+02    1.303206e+00    4.172992e+00   -2.418039e-01
   1.023952e-04    7.044093e+06    3.337182e+00    7.044090e+06    0.000000e+00    1.757048e+05   -1.418037e+02   -9.657508e+00    4.172978e+00   -2.417999e-01
   1.030029e-04    6.981842e+06    4.400013e+00    6.981837e+06    0.000000e+00    1.746677e+05   -1.413854e+02   -1.171145e+01    4.172963e+00   -2.417960e-01
   1.036142e-04    6.920136e+06    5.374004e-01    6.920135e+06    0.000000e+00    1.736366e+05   -1.409682e+02   -2.652850e+00    4.172949e+00   -2.417921e-01
   1.042292e-04    6.858979e+06    5.383721e-01    6.858978e+06    0.000000e+00    1.726117e+05   -1.405523e+02   -2.656267e+00    4.172934e+00   -2.417881e-01
   1.048478e-04    6.798366e+06    4.218327e+00    6.798362e+06    0.000000e+00    1.715928e+05   -1.401376e+02   -1.137198e+01    4.172919e+00   -2.417841e-01
   1.054700e-04    6.738284e+06    3.070728e+00    6.738281e+06    0.000000e+00    1.705799e+05   -1.397241e+02   -9.111583e+00    4.172904e+00   -2.417801e-01
