# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.022e-11, Err(n_e)=9.053e-11, Err(IET)=7.190e+00, Q_net=3.075e-07
# {"name":"Ar", "Z":18, "Zstar":0.3386514004796659, "A":39.948,  "μ[AU]": -7.7399089164e-02, "Te[AU]": 2.496e-02, "Ti[AU]": 2.496e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02    1.371211e+00    2.831548e+00    0.000000e+00
   1.371565e-01    1.013366e+00    9.961217e-01    0.000000e+00
   2.057347e-01    9.640386e-01    6.458201e-01    0.000000e+00
   2.743130e-01   -6.240029e-02    3.966339e-01    0.000000e+00
   3.428912e-01   -9.237101e-02    3.172817e-01    0.000000e+00
   4.114694e-01   -9.206003e-02    2.310297e-01    0.000000e+00
   4.800477e-01   -9.226676e-02    1.998537e-01    0.000000e+00
   5.486259e-01   -9.130679e-02    1.571292e-01    0.000000e+00
   6.172042e-01   -9.178014e-02    1.407183e-01    0.000000e+00
   6.857824e-01   -9.084211e-02    1.150912e-01    0.000000e+00
   7.543606e-01   -8.991225e-02    1.048495e-01    0.000000e+00
   8.229389e-01   -8.952465e-02    8.765545e-02    0.000000e+00
   8.915171e-01   -8.911467e-02    8.058442e-02    0.000000e+00
   9.600953e-01   -8.832413e-02    6.820382e-02    0.000000e+00
   1.028674e+00   -8.754620e-02    6.300344e-02    0.000000e+00
   1.097252e+00   -8.696188e-02    5.365044e-02    0.000000e+00
   1.165830e+00   -8.652985e-02    4.965969e-02    0.000000e+00
   1.234408e+00   -8.584910e-02    4.234381e-02    0.000000e+00
   1.302987e+00   -8.529053e-02    3.918604e-02    0.000000e+00
   1.371565e+00   -8.482299e-02    3.330994e-02    0.000000e+00
   1.440143e+00   -8.426914e-02    3.075247e-02    0.000000e+00
   1.508721e+00   -8.376845e-02    2.593304e-02    0.000000e+00
   1.577299e+00   -8.319080e-02    2.382350e-02    0.000000e+00
   1.645878e+00   -8.261889e-02    1.980316e-02    0.000000e+00
   1.714456e+00   -8.204860e-02    1.803723e-02    0.000000e+00
   1.783034e+00   -8.152215e-02    1.463624e-02    0.000000e+00
   1.851612e+00   -8.102373e-02    1.314001e-02    0.000000e+00
   1.920191e+00   -8.037093e-02    1.022906e-02    0.000000e+00
   1.988769e+00   -7.991553e-02    8.948637e-03    0.000000e+00
   2.057347e+00   -7.930236e-02    6.432297e-03    0.000000e+00
   2.125925e+00   -7.878854e-02    5.327473e-03    0.000000e+00
   2.194504e+00   -7.831825e-02    3.133768e-03    0.000000e+00
   2.263082e+00   -7.781246e-02    2.173911e-03    0.000000e+00
   2.331660e+00   -7.730782e-02    2.475328e-04    0.000000e+00
   2.400238e+00   -7.681562e-02   -5.911068e-04    0.000000e+00
   2.468817e+00   -7.632494e-02   -2.293365e-03    0.000000e+00
   2.537395e+00   -7.581476e-02   -3.029483e-03    0.000000e+00
   2.605973e+00   -7.532104e-02   -4.541867e-03    0.000000e+00
   2.674551e+00   -7.488034e-02   -5.190388e-03    0.000000e+00
   2.743130e+00   -7.442440e-02   -6.540396e-03    0.000000e+00
   2.811708e+00   -7.395607e-02   -7.113378e-03    0.000000e+00
   2.880286e+00   -7.352438e-02   -8.323343e-03    0.000000e+00
   2.948864e+00   -7.308967e-02   -8.830641e-03    0.000000e+00
   3.017443e+00   -7.263553e-02   -9.918896e-03    0.000000e+00
   3.086021e+00   -7.220919e-02   -1.036864e-02    0.000000e+00
   3.154599e+00   -7.178871e-02   -1.135037e-02    0.000000e+00
   3.223177e+00   -7.136621e-02   -1.174934e-02    0.000000e+00
   3.291755e+00   -7.094463e-02   -1.263725e-02    0.000000e+00
   3.360334e+00   -7.053611e-02   -1.299112e-02    0.000000e+00
   3.428912e+00   -7.012301e-02   -1.379590e-02    0.000000e+00
   3.497490e+00   -6.971066e-02   -1.410950e-02    0.000000e+00
   3.566068e+00   -6.929203e-02   -1.484021e-02    0.000000e+00
