# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=3.953e-11, Err(n_e)=9.555e-11, Err(IET)=9.907e-13, Q_net=-3.534e-07
# {"name":"Ar", "Z":18, "Zstar":0.07160084946445977, "A":39.948,  "μ[AU]": -2.8208536308e-02, "Te[AU]": 2.547e-03, "Ti[AU]": 2.547e-03, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02   -7.327103e-02    1.476418e-01    0.000000e+00
   1.371565e-01   -5.180558e-02    6.530221e-02    9.912071e-11
   2.057347e-01   -4.363487e-02    4.748222e-02    1.117187e-07
   2.743130e-01   -3.913200e-02    3.559766e-02    1.187797e-05
   3.428912e-01   -3.897307e-02    3.126983e-02    6.494320e-05
   4.114694e-01   -3.655502e-02    2.712041e-02    3.310058e-04
   4.800477e-01   -3.480912e-02    2.540662e-02    6.481744e-04
   5.486259e-01   -3.341851e-02    2.339172e-02    1.428361e-03
   6.172042e-01   -3.244380e-02    2.251475e-02    2.013044e-03
   6.857824e-01   -3.155080e-02    2.133516e-02    3.194581e-03
   7.543606e-01   -3.085205e-02    2.080502e-02    3.927808e-03
   8.229389e-01   -3.030977e-02    2.002693e-02    5.322450e-03
   8.915171e-01   -2.985960e-02    1.966806e-02    6.116623e-03
   9.600953e-01   -2.949120e-02    1.911200e-02    7.594133e-03
   1.028674e+00   -2.919351e-02    1.884939e-02    8.401094e-03
   1.097252e+00   -2.894494e-02    1.842911e-02    9.885968e-03
   1.165830e+00   -2.873135e-02    1.822606e-02    1.068052e-02
   1.234408e+00   -2.857175e-02    1.789511e-02    1.213148e-02
   1.302987e+00   -2.842828e-02    1.773161e-02    1.290074e-02
   1.371565e+00   -2.830892e-02    1.746270e-02    1.429653e-02
   1.440143e+00   -2.819445e-02    1.732686e-02    1.503447e-02
   1.508721e+00   -2.812800e-02    1.710280e-02    1.636547e-02
   1.577299e+00   -2.805218e-02    1.698706e-02    1.707005e-02
   1.645878e+00   -2.798660e-02    1.679645e-02    1.833345e-02
   1.714456e+00   -2.793543e-02    1.669571e-02    1.900498e-02
   1.783034e+00   -2.789895e-02    1.653068e-02    2.020187e-02
   1.851612e+00   -2.786450e-02    1.644137e-02    2.084200e-02
   1.920191e+00   -2.782598e-02    1.629626e-02    2.197567e-02
   1.988769e+00   -2.779562e-02    1.621582e-02    2.258679e-02
   2.057347e+00   -2.777134e-02    1.608649e-02    2.366163e-02
   2.125925e+00   -2.774446e-02    1.601300e-02    2.424648e-02
   2.194504e+00   -2.771446e-02    1.589631e-02    2.526737e-02
   2.263082e+00   -2.769720e-02    1.582832e-02    2.582881e-02
   2.331660e+00   -2.766888e-02    1.572188e-02    2.680074e-02
   2.400238e+00   -2.763862e-02    1.565827e-02    2.734159e-02
   2.468817e+00   -2.761108e-02    1.556020e-02    2.826945e-02
   2.537395e+00   -2.758378e-02    1.550009e-02    2.879243e-02
   2.605973e+00   -2.755023e-02    1.540892e-02    2.968087e-02
   2.674551e+00   -2.751126e-02    1.535160e-02    3.018856e-02
   2.743130e+00   -2.746696e-02    1.526613e-02    3.104195e-02
   2.811708e+00   -2.741775e-02    1.521104e-02    3.153676e-02
   2.880286e+00   -2.733385e-02    1.513032e-02    3.235917e-02
   2.948864e+00   -2.722196e-02    1.507700e-02    3.284333e-02
   3.017443e+00   -2.710208e-02    1.500023e-02    3.363851e-02
   3.086021e+00   -2.697260e-02    1.494829e-02    3.411413e-02
   3.154599e+00   -2.683356e-02    1.487483e-02    3.488553e-02
   3.223177e+00   -2.668798e-02    1.482397e-02    3.535453e-02
   3.291755e+00   -2.653031e-02    1.475327e-02    3.610535e-02
   3.360334e+00   -2.636369e-02    1.470322e-02    3.656952e-02
   3.428912e+00   -2.618324e-02    1.463482e-02    3.730269e-02
   3.497490e+00   -2.599247e-02    1.458537e-02    3.776370e-02
   3.566068e+00   -2.578494e-02    1.451889e-02    3.848193e-02
   3.634647e+00   -2.556346e-02    1.446985e-02    3.894135e-02
   3.703225e+00   -2.532512e-02    1.440496e-02    3.964713e-02
   3.771803e+00   -2.507454e-02    1.435617e-02    4.010640e-02
   3.840381e+00   -2.480473e-02    1.429259e-02    4.080205e-02
   3.908960e+00   -2.451896e-02    1.424392e-02    4.126256e-02
   3.977538e+00   -3.637721e-02    1.418142e-02    4.195022e-02
   4.046116e+00   -3.896386e-02    1.413274e-02    4.241324e-02
   4.114694e+00   -3.865548e-02    1.407111e-02    4.309493e-02
   4.183273e+00   -3.835732e-02    1.402234e-02    4.356169e-02
   4.251851e+00   -3.806861e-02    1.396140e-02    4.423928e-02
   4.320429e+00   -3.778914e-02    1.391245e-02    4.471094e-02
   4.389007e+00   -3.751830e-02    1.385203e-02    4.538618e-02
   4.457586e+00   -3.725557e-02    1.380283e-02    4.586386e-02
   4.526164e+00   -3.700094e-02    1.374281e-02    4.653842e-02
   4.594742e+00   -3.675370e-02    1.369330e-02    4.702318e-02
   4.663320e+00   -3.651374e-02    1.363356e-02    4.769862e-02
   4.731898e+00   -3.628071e-02    1.358367e-02    4.819150e-02
   4.800477e+00   -3.605490e-02    1.352411e-02    4.886932e-02
   4.869055e+00   -3.583522e-02    1.347381e-02    4.937131e-02
   4.937633e+00   -3.562183e-02    1.341434e-02    5.005295e-02
   5.006211e+00   -3.541412e-02    1.336358e-02    5.056503e-02
   5.074790e+00   -3.521188e-02    1.330411e-02    5.125184e-02
   5.143368e+00   -3.501518e-02    1.325287e-02    5.177497e-02
   5.211946e+00   -3.482356e-02    1.319334e-02    5.246827e-02
   5.280524e+00   -3.463684e-02    1.314157e-02    5.300339e-02
   5.349103e+00   -3.445483e-02    1.308192e-02    5.370446e-02
   5.417681e+00   -3.427741e-02    1.302961e-02    5.425249e-02
   5.486259e+00   -3.410447e-02    1.296979e-02    5.496257e-02
   5.554837e+00   -3.393576e-02    1.291692e-02    5.552442e-02
   5.623416e+00   -3.377114e-02    1.285687e-02    5.624472e-02
   5.691994e+00   -3.361080e-02    1.280342e-02    5.682131e-02
   5.760572e+00   -3.345431e-02    1.274311e-02    5.755301e-02
   5.829150e+00   -3.330148e-02    1.268906e-02    5.814525e-02
   5.897729e+00   -3.315218e-02    1.262845e-02    5.888951e-02
   5.966307e+00   -3.300629e-02    1.257380e-02    5.949831e-02
   6.034885e+00   -3.286368e-02    1.251287e-02    6.025628e-02
   6.103463e+00   -3.272425e-02    1.245760e-02    6.088255e-02
   6.172042e+00   -3.258788e-02    1.239631e-02    6.165537e-02
   6.240620e+00   -3.245453e-02    1.234043e-02    6.230004e-02
   6.309198e+00   -3.232410e-02    1.227876e-02    6.308883e-02
   6.377776e+00   -3.219644e-02    1.222225e-02    6.375281e-02
   6.446354e+00   -3.207145e-02    1.216019e-02    6.455870e-02
   6.514933e+00   -3.194905e-02    1.210305e-02    6.524294e-02
   6.583511e+00   -3.182916e-02    1.204058e-02    6.606705e-02
   6.652089e+00   -3.171185e-02    1.198282e-02    6.677249e-02
   6.720667e+00   -3.159686e-02    1.191992e-02    6.761595e-02
   6.789246e+00   -3.148413e-02    1.186153e-02    6.834356e-02
   6.857824e+00   -3.137367e-02    1.179820e-02    6.920749e-02
   6.926402e+00   -3.126544e-02    1.173918e-02    6.995824e-02
   6.994980e+00   -3.115928e-02    1.167541e-02    7.084378e-02
   7.063559e+00   -3.105542e-02    1.161577e-02    7.161868e-02
   7.132137e+00   -3.095362e-02    1.155155e-02    7.252697e-02
   7.200715e+00   -3.085365e-02    1.149129e-02    7.332701e-02
   7.269293e+00   -3.075565e-02    1.142662e-02    7.425922e-02
   7.337872e+00   -3.065944e-02    1.136575e-02    7.508545e-02
   7.406450e+00   -3.056496e-02    1.130062e-02    7.604273e-02
   7.475028e+00   -3.047229e-02    1.123915e-02    7.689621e-02
   7.543606e+00   -3.038117e-02    1.117357e-02    7.787975e-02
   7.612185e+00   -3.029183e-02    1.111150e-02    7.876155e-02
   7.680763e+00   -3.020393e-02    1.104546e-02    7.977256e-02
   7.749341e+00   -3.011773e-02    1.098281e-02    8.068378e-02
   7.817919e+00   -3.003288e-02    1.091632e-02    8.172347e-02
   7.886497e+00   -2.994966e-02    1.085309e-02    8.266524e-02
   7.955076e+00   -2.986772e-02    1.078615e-02    8.373486e-02
   8.023654e+00   -2.978730e-02    1.072236e-02    8.470833e-02
   8.092232e+00   -2.970815e-02    1.065497e-02    8.580914e-02
   8.160810e+00   -2.963036e-02    1.059062e-02    8.681549e-02
   8.229389e+00   -2.955386e-02    1.052279e-02    8.794877e-02
   8.297967e+00   -2.947856e-02    1.045790e-02    8.898921e-02
   8.366545e+00   -2.940460e-02    1.038964e-02    9.015628e-02
   8.435123e+00   -2.933173e-02    1.032422e-02    9.123204e-02
   8.503702e+00   -2.926009e-02    1.025554e-02    9.243423e-02
   8.572280e+00   -2.918960e-02    1.018960e-02    9.354658e-02
   8.640858e+00   -2.912014e-02    1.012050e-02    9.478525e-02
   8.709436e+00   -2.905186e-02    1.005406e-02    9.593550e-02
   8.778015e+00   -2.898463e-02    9.984555e-03    9.721204e-02
   8.846593e+00   -2.891837e-02    9.917624e-03    9.840151e-02
   8.915171e+00   -2.885319e-02    9.847722e-03    9.971734e-02
   8.983749e+00   -2.878900e-02    9.780317e-03    1.009474e-01
   9.052328e+00   -2.872574e-02    9.710030e-03    1.023040e-01
   9.120906e+00   -2.866341e-02    9.642165e-03    1.035760e-01
   9.189484e+00   -2.860209e-02    9.571505e-03    1.049748e-01
   9.258062e+00   -2.854170e-02    9.503195e-03    1.062902e-01
   9.326640e+00   -2.848225e-02    9.432174e-03    1.077327e-01
   9.395219e+00   -2.842368e-02    9.363436e-03    1.090930e-01
   9.463797e+00   -2.836602e-02    9.292066e-03    1.105807e-01
   9.532375e+00   -2.830915e-02    9.222916e-03    1.119874e-01
   9.600953e+00   -2.825307e-02    9.151211e-03    1.135220e-01
   9.669532e+00   -2.819776e-02    9.081666e-03    1.149765e-01
   9.738110e+00   -2.814327e-02    9.009640e-03    1.165595e-01
   9.806688e+00   -2.808956e-02    8.939715e-03    1.180635e-01
   9.875266e+00   -2.803657e-02    8.867383e-03    1.196966e-01
   9.943845e+00   -2.798429e-02    8.797097e-03    1.212516e-01
   1.001242e+01   -2.793272e-02    8.724472e-03    1.229364e-01
   1.008100e+01   -2.788183e-02    8.653842e-03    1.245440e-01
   1.014958e+01   -2.783168e-02    8.580940e-03    1.262823e-01
   1.021816e+01   -2.778220e-02    8.509985e-03    1.279442e-01
   1.028674e+01   -2.773336e-02    8.436822e-03    1.297377e-01
   1.035531e+01   -2.768517e-02    8.365558e-03    1.314555e-01
   1.042389e+01   -2.763760e-02    8.292151e-03    1.333059e-01
   1.049247e+01   -2.759064e-02    8.220598e-03    1.350814e-01
   1.056105e+01   -2.754428e-02    8.146962e-03    1.369904e-01
   1.062963e+01   -2.749852e-02    8.075139e-03    1.388254e-01
   1.069821e+01   -2.745335e-02    8.001292e-03    1.407948e-01
   1.076678e+01   -2.740878e-02    7.929218e-03    1.426909e-01
   1.083536e+01   -2.736476e-02    7.855177e-03    1.447226e-01
   1.090394e+01   -2.732130e-02    7.782870e-03    1.466817e-01
   1.097252e+01   -2.727838e-02    7.708652e-03    1.487775e-01
   1.104110e+01   -2.723598e-02    7.636133e-03    1.508013e-01
   1.110967e+01   -2.719410e-02    7.561757e-03    1.529630e-01
   1.117825e+01   -2.715274e-02    7.489045e-03    1.550534e-01
   1.124683e+01   -2.711188e-02    7.414528e-03    1.572830e-01
   1.131541e+01   -2.707151e-02    7.341643e-03    1.594418e-01
   1.138399e+01   -2.703162e-02    7.267004e-03    1.617410e-01
   1.145257e+01   -2.699221e-02    7.193966e-03    1.639701e-01
   1.152114e+01   -2.695327e-02    7.119224e-03    1.663410e-01
   1.158972e+01   -2.691478e-02    7.046052e-03    1.686421e-01
   1.165830e+01   -2.687675e-02    6.971225e-03    1.710866e-01
   1.172688e+01   -2.683916e-02    6.897941e-03    1.734617e-01
   1.179546e+01   -2.680201e-02    6.823048e-03    1.759816e-01
   1.186404e+01   -2.676529e-02    6.749671e-03    1.784327e-01
