# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.033e-11, Err(n_e)=9.813e-11, Err(IET)=9.986e-13, Q_net=-3.205e-07
# {"name":"Ar", "Z":18, "Zstar":0.17794539834948964, "A":39.948,  "μ[AU]": -1.9208028130e-02, "Te[AU]": 2.946e-03, "Ti[AU]": 2.946e-03, "rs[AU]": 1.372e+01 }
   r[AU]           n[AU]           nf[AU]          nb[AU]          n_ion[AU]       φtot[AU]        δVxc/δρ[Au]     U_ei[AU]        U_ii[AU]        g_ii            
   1.000000e-04    7.298700e+06    6.739780e+00    7.298694e+06    0.000000e+00    1.799152e+05   -1.434897e+02   -1.573284e+01    1.537449e+00   -3.057768e-12
   1.005935e-04    7.234202e+06    1.004662e+01    7.234192e+06    0.000000e+00    1.788532e+05   -1.430664e+02   -2.073735e+01    1.537445e+00   -3.057720e-12
   1.011905e-04    7.170263e+06    2.911632e+00    7.170260e+06    0.000000e+00    1.777975e+05   -1.426442e+02   -8.763704e+00    1.537441e+00   -3.057671e-12
   1.017911e-04    7.106902e+06    8.973807e+00    7.106893e+06    0.000000e+00    1.767480e+05   -1.422234e+02   -1.918064e+01    1.537436e+00   -3.057622e-12
   1.023952e-04    7.044094e+06    8.400203e+00    7.044085e+06    0.000000e+00    1.757047e+05   -1.418037e+02   -1.832475e+01    1.537432e+00   -3.057572e-12
   1.030029e-04    6.981837e+06    3.938938e+00    6.981833e+06    0.000000e+00    1.746676e+05   -1.413853e+02   -1.082722e+01    1.537428e+00   -3.057523e-12
   1.036142e-04    6.920141e+06    9.733680e+00    6.920131e+06    0.000000e+00    1.736366e+05   -1.409682e+02   -2.028923e+01    1.537423e+00   -3.057473e-12
   1.042292e-04    6.858980e+06    5.507497e+00    6.858974e+06    0.000000e+00    1.726116e+05   -1.405523e+02   -1.367485e+01    1.537419e+00   -3.057422e-12
   1.048478e-04    6.798365e+06    7.119501e+00    6.798358e+06    0.000000e+00    1.715927e+05   -1.401376e+02   -1.634225e+01    1.537414e+00   -3.057372e-12
   1.054700e-04    6.738286e+06    9.132626e+00    6.738277e+06    0.000000e+00    1.705798e+05   -1.397241e+02   -1.941533e+01    1.537410e+00   -3.057321e-12
   1.060960e-04    6.678728e+06    1.424441e+00    6.678726e+06    0.000000e+00    1.695729e+05   -1.393118e+02   -5.294384e+00    1.537405e+00   -3.057270e-12
   1.067257e-04    6.619711e+06    8.798713e+00    6.619702e+06    0.000000e+00    1.685720e+05   -1.389008e+02   -1.892168e+01    1.537401e+00   -3.057218e-12
   1.073591e-04    6.561207e+06    7.224784e+00    6.561200e+06    0.000000e+00    1.675769e+05   -1.384910e+02   -1.650859e+01    1.537396e+00   -3.057166e-12
   1.079962e-04    6.503219e+06    4.759585e+00    6.503215e+06    0.000000e+00    1.665877e+05   -1.380824e+02   -1.235460e+01    1.537391e+00   -3.057114e-12
   1.086372e-04    6.445751e+06    9.135778e+00    6.445741e+06    0.000000e+00    1.656044e+05   -1.376750e+02   -1.941996e+01    1.537387e+00   -3.057062e-12
   1.092819e-04    6.388780e+06    4.182028e+00    6.388776e+06    0.000000e+00    1.646268e+05   -1.372688e+02   -1.128929e+01    1.537382e+00   -3.057009e-12
   1.099305e-04    6.332321e+06    7.321815e+00    6.332314e+06    0.000000e+00    1.636550e+05   -1.368638e+02   -1.666256e+01    1.537377e+00   -3.056956e-12
   1.105830e-04    6.276359e+06    8.187534e+00    6.276351e+06    0.000000e+00    1.626890e+05   -1.364600e+02   -1.800202e+01    1.537373e+00   -3.056902e-12
   1.112393e-04    6.220884e+06    1.976878e+00    6.220882e+06    0.000000e+00    1.617286e+05   -1.360573e+02   -6.674969e+00    1.537368e+00   -3.056849e-12
   1.118995e-04    6.165912e+06    8.498395e+00    6.165904e+06    0.000000e+00    1.607739e+05   -1.356560e+02   -1.847248e+01    1.537363e+00   -3.056795e-12
   1.125636e-04    6.111417e+06    6.065471e+00    6.111411e+06    0.000000e+00    1.598249e+05   -1.352557e+02   -1.462322e+01    1.537358e+00   -3.056740e-12
   1.132316e-04    6.057405e+06    5.338940e+00    6.057400e+06    0.000000e+00    1.588814e+05   -1.348566e+02   -1.338250e+01    1.537354e+00   -3.056686e-12
   1.139037e-04    6.003875e+06    8.451481e+00    6.003866e+06    0.000000e+00    1.579435e+05   -1.344588e+02   -1.840141e+01    1.537349e+00   -3.056631e-12
   1.145797e-04    5.950808e+06    2.898814e+00    5.950805e+06    0.000000e+00    1.570112e+05   -1.340620e+02   -8.736731e+00    1.537344e+00   -3.056575e-12
   1.152597e-04    5.898220e+06    7.337489e+00    5.898213e+06    0.000000e+00    1.560843e+05   -1.336665e+02   -1.668731e+01    1.537339e+00   -3.056520e-12
   1.159437e-04    5.846093e+06    7.220987e+00    5.846086e+06    0.000000e+00    1.551629e+05   -1.332722e+02   -1.650263e+01    1.537334e+00   -3.056464e-12
   1.166319e-04    5.794422e+06    2.930122e+00    5.794419e+06    0.000000e+00    1.542470e+05   -1.328789e+02   -8.802400e+00    1.537329e+00   -3.056408e-12
