# All units in Hartree [AU] if not specified
# Convergence: Err(φ)=4.199e-11, Err(n_e)=9.002e-11, Err(IET)=6.978e-02, Q_net=3.561e-07
# {"name":"Ar", "Z":18, "Zstar":0.4599458632760758, "A":39.948,  "μ[AU]": -1.0600487759e-01, "Te[AU]": 3.341e-02, "Ti[AU]": 3.341e-02, "rs[AU]": 1.372e+01 }
   r[AU]           U_ei[AU]        U_ii[AU]        g_ii            
   6.857824e-02    1.099299e+00    5.261718e+00    0.000000e+00
   1.371565e-01    1.377155e+00    1.874560e+00    0.000000e+00
   2.057347e-01    1.304305e+00    1.225906e+00    0.000000e+00
   2.743130e-01   -1.031154e-01    7.653297e-01    0.000000e+00
   3.428912e-01   -1.270940e-01    6.181470e-01    0.000000e+00
   4.114694e-01   -1.254122e-01    4.587415e-01    0.000000e+00
   4.800477e-01   -1.258420e-01    4.009372e-01    0.000000e+00
   5.486259e-01   -1.235355e-01    3.220337e-01    0.000000e+00
   6.172042e-01   -1.241007e-01    2.916369e-01    0.000000e+00
   6.857824e-01   -1.226198e-01    2.443360e-01    0.000000e+00
   7.543606e-01   -1.210666e-01    2.253782e-01    0.000000e+00
   8.229389e-01   -1.203102e-01    1.936491e-01    0.000000e+00
   8.915171e-01   -1.200932e-01    1.805605e-01    0.000000e+00
   9.600953e-01   -1.184207e-01    1.577113e-01    0.000000e+00
   1.028674e+00   -1.170071e-01    1.480801e-01    0.000000e+00
   1.097252e+00   -1.159651e-01    1.308122e-01    0.000000e+00
   1.165830e+00   -1.150671e-01    1.234139e-01    0.000000e+00
   1.234408e+00   -1.140113e-01    1.098992e-01    0.000000e+00
   1.302987e+00   -1.129947e-01    1.040370e-01    0.000000e+00
   1.371565e+00   -1.122270e-01    9.317370e-02    0.000000e+00
   1.440143e+00   -1.110041e-01    8.841730e-02    0.000000e+00
   1.508721e+00   -1.104681e-01    7.949894e-02    0.000000e+00
   1.577299e+00   -1.093418e-01    7.556680e-02    0.000000e+00
   1.645878e+00   -1.084387e-01    6.811846e-02    0.000000e+00
   1.714456e+00   -1.076676e-01    6.481790e-02    0.000000e+00
   1.783034e+00   -1.069109e-01    5.850823e-02    0.000000e+00
   1.851612e+00   -1.058673e-01    5.570271e-02    0.000000e+00
