T[K]  Zbar   Δχ[eV]   χ[eV] 
5.000000e+03 5.719988e-06 2.721138e-07 1.212984e+01
5.091317e+03 7.462715e-06 2.721138e-07 1.212984e+01
5.184301e+03 9.693421e-06 2.721138e-07 1.212984e+01
5.278984e+03 1.253368e-05 2.721138e-07 1.212984e+01
5.375396e+03 1.613709e-05 2.721138e-07 1.212984e+01
5.473569e+03 2.068788e-05 2.721138e-07 1.212984e+01
5.573534e+03 2.640982e-05 2.721138e-07 1.212984e+01
5.675326e+03 3.357425e-05 2.721138e-07 1.212984e+01
5.778976e+03 4.251080e-05 2.721138e-07 1.212984e+01
5.884520e+03 5.361155e-05 2.721138e-07 1.212984e+01
5.991991e+03 6.734540e-05 2.721138e-07 1.212984e+01
6.101425e+03 8.427391e-05 2.721138e-07 1.212984e+01
6.212857e+03 1.050592e-04 2.721138e-07 1.212984e+01
6.326325e+03 1.304857e-04 2.721138e-07 1.212984e+01
6.441865e+03 1.614763e-04 2.721138e-07 1.212984e+01
6.559515e+03 1.991123e-04 2.721138e-07 1.212984e+01
6.679313e+03 2.446585e-04 2.721138e-07 1.212984e+01
6.801300e+03 2.995852e-04 2.721138e-07 1.212984e+01
6.925515e+03 3.656013e-04 2.721138e-07 1.212984e+01
7.051998e+03 4.446776e-04 2.721138e-07 1.212984e+01
7.180791e+03 5.390875e-04 2.721138e-07 1.212984e+01
7.311936e+03 6.514420e-04 2.721138e-07 1.212984e+01
7.445477e+03 7.847263e-04 2.721138e-07 1.212984e+01
7.581456e+03 9.423469e-04 2.721138e-07 1.212984e+01
7.719919e+03 1.128175e-03 2.721138e-07 1.212984e+01
7.860910e+03 1.346598e-03 2.721138e-07 1.212984e+01
8.004477e+03 1.602573e-03 2.721138e-07 1.212984e+01
8.150666e+03 1.901680e-03 2.721138e-07 1.212984e+01
8.299524e+03 2.250182e-03 2.721138e-07 1.212984e+01
8.451101e+03 2.655091e-03 2.721138e-07 1.212984e+01
8.605447e+03 3.124225e-03 2.721138e-07 1.212984e+01
8.762611e+03 3.666282e-03 2.721138e-07 1.212984e+01
8.922646e+03 4.290902e-03 2.721138e-07 1.212984e+01
9.085603e+03 5.008744e-03 2.721138e-07 1.212984e+01
9.251537e+03 5.831551e-03 2.721138e-07 1.212984e+01
9.420501e+03 6.772220e-03 2.721138e-07 1.212984e+01
9.592551e+03 7.844878e-03 2.721138e-07 1.212984e+01
9.767743e+03 9.064941e-03 2.721138e-07 1.212984e+01
9.946134e+03 1.044918e-02 2.721138e-07 1.212984e+01
1.012778e+04 1.201580e-02 2.721138e-07 1.212984e+01
1.031275e+04 1.378444e-02 2.721138e-07 1.212984e+01
1.050110e+04 1.577630e-02 2.721138e-07 1.212984e+01
1.069288e+04 1.801408e-02 2.721138e-07 1.212984e+01
1.088817e+04 2.052210e-02 2.721138e-07 1.212984e+01
1.108702e+04 2.332623e-02 2.721138e-07 1.212984e+01
1.128951e+04 2.645395e-02 2.721138e-07 1.212984e+01
1.149569e+04 2.993424e-02 2.721138e-07 1.212984e+01
1.170564e+04 3.379763e-02 2.721138e-07 1.212984e+01
1.191943e+04 3.807603e-02 2.721138e-07 1.212984e+01
1.213712e+04 4.280271e-02 2.721138e-07 1.212984e+01
1.235878e+04 4.801207e-02 2.721138e-07 1.212984e+01
1.258450e+04 5.373956e-02 2.721138e-07 1.212984e+01
1.281433e+04 6.002141e-02 2.721138e-07 1.212984e+01
1.304836e+04 6.689439e-02 2.721138e-07 1.212984e+01
1.328667e+04 7.439553e-02 2.721138e-07 1.212984e+01
1.352933e+04 8.256172e-02 2.721138e-07 1.212984e+01
1.377642e+04 9.142939e-02 2.721138e-07 1.212984e+01
1.402802e+04 1.010340e-01 2.721138e-07 1.212984e+01
1.428422e+04 1.114095e-01 2.721138e-07 1.212984e+01
1.454510e+04 1.225880e-01 2.721138e-07 1.212984e+01
1.481074e+04 1.345988e-01 2.721138e-07 1.212984e+01
1.508124e+04 1.474681e-01 2.721138e-07 1.212984e+01
1.535667e+04 1.612181e-01 2.721138e-07 1.212984e+01
1.563713e+04 1.758663e-01 2.721138e-07 1.212984e+01
1.592272e+04 1.914247e-01 2.721138e-07 1.212984e+01
1.621352e+04 2.078994e-01 2.721138e-07 1.212984e+01
1.650964e+04 2.252894e-01 2.721138e-07 1.212984e+01
1.681116e+04 2.435859e-01 2.721138e-07 1.212984e+01
1.711819e+04 2.627719e-01 2.721138e-07 1.212984e+01
1.743082e+04 2.828216e-01 2.721138e-07 1.212984e+01
1.774917e+04 3.036993e-01 2.721138e-07 1.212984e+01
1.807333e+04 3.253597e-01 2.721138e-07 1.212984e+01
1.840341e+04 3.477474e-01 2.721138e-07 1.212984e+01
1.873951e+04 3.707967e-01 2.721138e-07 1.212984e+01
1.908176e+04 3.944318e-01 2.721138e-07 1.212984e+01
1.943026e+04 4.185673e-01 2.721138e-07 1.212984e+01
1.978512e+04 4.431091e-01 2.721138e-07 1.212984e+01
2.014646e+04 4.679548e-01 2.721138e-07 1.212984e+01
2.051440e+04 4.929951e-01 2.721138e-07 1.212984e+01
2.088906e+04 5.181158e-01 2.721138e-07 1.212984e+01
2.127057e+04 5.431987e-01 2.721138e-07 1.212984e+01
2.165904e+04 5.681242e-01 2.721138e-07 1.212984e+01
2.205461e+04 5.927733e-01 2.721138e-07 1.212984e+01
2.245740e+04 6.170294e-01 2.721138e-07 1.212984e+01
2.286755e+04 6.407809e-01 2.721138e-07 1.212984e+01
2.328518e+04 6.639234e-01 2.721138e-07 1.212984e+01
2.371045e+04 6.863611e-01 2.721138e-07 1.212984e+01
2.414348e+04 7.080093e-01 2.721138e-07 1.212984e+01
2.458442e+04 7.287949e-01 2.721138e-07 1.212984e+01
2.503342e+04 7.486581e-01 2.721138e-07 1.212984e+01
2.549061e+04 7.675526e-01 2.721138e-07 1.212984e+01
2.595615e+04 7.854458e-01 2.721138e-07 1.212984e+01
2.643020e+04 8.023186e-01 2.721138e-07 1.212984e+01
2.691290e+04 8.181645e-01 2.721138e-07 1.212984e+01
2.740442e+04 8.329890e-01 2.721138e-07 1.212984e+01
2.790492e+04 8.468079e-01 2.721138e-07 1.212984e+01
2.841456e+04 8.596463e-01 2.721138e-07 1.212984e+01
2.893350e+04 8.715369e-01 2.721138e-07 1.212984e+01
2.946193e+04 8.825187e-01 2.721138e-07 1.212984e+01
3.000000e+04 8.926349e-01 2.721138e-07 1.212984e+01
